laden with a neat mahogany 75
later than i had expected 389
later than i had imagined 67
later than i had intended 453
later than i had promised 60
later than i had supposed 61
later than i was supposed 85
later that i was actually 45
later that i was awakened 50
later that i was informed 57
later that i was mistaken 51
leader was a man possessing 49
learning that i had assisted 75
learning that i had withdrawn 43
learning that i was pregnant 42
letting out a few horrible 48
level for a long distance 190
light for a long distance 41
light has a long wavelength 46
light that i see brightly 42
light with a long wavelength 97
light with a peak wavelength 52
lined for a long distance 90
lined with a low columnar 137
lined with a thin membrane 259
lines with a few obsolete 138
loans with a low interest 91
longer than i can possibly 191
longer than i can remember 2214
longer than i had designed 308
longer than i had expected 4528
longer than i had foreseen 44
longer than i had imagined 372
longer than i had intended 3648
longer than i had proposed 85
longer than i had reckoned 42
longer than i had supposed 428
longer than i may preserve 67
longer than i was supposed 202
looking for a job tomorrow 301
looking for a new approach 400
looking for a new audience 44
looking for a new business 615
looking for a new chairman 71
looking for a new challenge 1021
looking for a new computer 91
looking for a new contract 51
looking for a new direction 921
looking for a new director 232
looking for a new employee 89
looking for a new employer 116
looking for a new frontier 60
looking for a new homeland 86
looking for a new identity 176
looking for a new minister 133
looking for a new paradigm 88
looking for a new producer 42
looking for a new roommate 101
looking for a new sensation 86
looking for a new situation 68
looking for a new strategy 62
looking for a new supplier 120
looking for a real challenge 66
looking than i had expected 384
looking than i had imagined 70
lopping off a few branches 59
lower than i had believed 51
lower than i had expected 144
lower than i had supposed 40
