ladies looked 54 lagged shorty 50
larger special 42 lasted twenty 40
lasted twenty 157 lasted august 51
lasted twenty 53 latter causes 71
latter another 297 latter saddle 71
latter before 263 layers another 46
leaders killed 52 learned engaged 52
learned lesson 127 legions plunged 123
letter before 99 levels another 91
lifted singular 125 limits secure 48
limits senses 40 little reached 55
little should 44 little already 43
little pocket 98 little graves 65
little matter 61 little homely 49
little myself 42 little dental 152
little matter 140 little another 55
little behalf 67 little simple 66
little mutton 79 little affair 110
little matter 111 little almost 48
little mention 43 little suffer 133
little nodded 44 little little 209
little mention 62 little matter 207
little before 50 little dreamed 52
little softly 45 little profit 53
little turned 41 little spoken 42
little pocket 60 little danced 66
little preaching 100 little cotton 44
little enable 72 little archer 80
lively pretty 114 lizard another 58
loaded pocket 79 lonely errand 41
looked another 105 looked twenty 73
looked master 76 looked smiled 49
loosed moorings 70 lovely should 58
