laboratory should be built for 41
lamentably wasted to prove that 45
legislation became the basis for 44
legislation before the civil war 223
legislation before the house and 43
legislation formed the basis for 42
legislation limiting the working day 68
legislation needed to carry out 86
legislation passed the house and 41
legislation passed the house but 46
legislation relating to women and 44
legislation through the house and 122
legitimate course of action for 54
legitimate object of study and 52
legitimate object of study for 163
legitimate reasons to carry with 116
legitimate result of habit and 65
legitimate source of power and 75
legitimate source of pride and 63
legitimate sphere of action and 46
legitimate sphere of action for 124
literature became the basis for 42
literature became the model for 45
literature before the civil war 287
literature failed to reveal any 235
literature formed the basis for 47
literature through the mails and 53
