debilitated nursing home 86
debilitated state from 116
debilitated state into 52
decapitated human heads 442
decapitated snake will 51
decapitated under ether 116
decapitation under ether 133
decapitation would have 61
decelerated growth rate 119
deceleration would have 71
deceptively light tone 114
deceptively quiet tone 50
deceptively small from 104
declamations which have 199
declamations which were 132
declamations would have 71
declamatory vocal line 204
declarations about peace 77
declarations about their 481
declarations about these 49
declarations about what 1430
declarations about your 42
declarations based upon 43
declarations binding upon 44
declarations could also 42
declarations could have 162
declarations could only 63
declarations issuing from 47
declarations might have 240
declarations might look 49
declarations setting forth 245
declarations shall cease 83
declarations shall have 119
declarations taken from 107
declarations under such 50
declarations which form 103
declarations which give 55
declarations which grow 52
declarations which have 3274
declarations which made 51
declarations which make 53
declarations which must 112
declarations which only 43
declarations which seem 107
declarations which show 149
declarations which were 3420
declarations which will 156
declarations would have 684
declarations would make 54
declarations would only 54
declarations would seem 63
declaratory action when 41
declaratory bills have 51
declaratory order from 71
declivities slope down 180
declivities which form 119
declivities which rise 50
decremented every time 236
decrepitude would have 47
deductively drawn from 52
deductively valid form 175
defalcations which have 140
defalcations would have 57
defenseless human beings 1393
defenseless human life 173
defenseless people during 41
defenseless people from 169
defenseless people into 43
defenseless people like 47
defenseless people were 237
defenseless woman into 50
defenseless woman like 69
defenseless women were 93
defensively about their 68
definitional power over 48
deflationary period from 50
deformations arising from 209
deformations occur during 219
deformations occur only 104
deformations occur when 92
deformations under load 637
deformations which have 262
deformations which must 71
deformations which take 146
deformations which took 52
deformations which were 140
deformations which will 109
deformations would have 62
deformities arise from 91
deformities arising from 334
deformities occur more 41
deformities often have 63
deformities which have 382
deformities which make 68
deformities which were 349
deformities which will 86
deformities would have 59
degenerated again into 255
degenerated cells from 48
degenerated cells have 40
degenerated cells were 271
degenerated easily into 49
degenerated either into 162
degenerated first into 144
degenerated human beings 51
degenerated later into 194
degenerated nerve cell 149
degenerated often into 131
degenerated sadly from 142
degenerated since their 121
degenerated since those 115
degenerated still more 434
degenerated today into 59
degenerates easily into 567
degenerates either into 402
degenerates first into 117
