dabbled briefly in 371
dactyls according to 76
daemonic aspects of 81
daemonic element in 272
daemonic element of 56
daemonic quality of 123
daggers against the 235
daggers between the 42
daggers betwixt the 96
daggers flashed in 56
daggers pointed at 335
daggers reduced to 65
daggers similar to 65
dailies appeared in 126
dailies because of 107
dailies carried the 220
dailies covered the 103
dailies devoted to 46
dailies include the 234
dailies including the 237
dailies located in 41
dailies outside the 44
dailies printed in 197
dailies printed the 49
dailies refused to 61
dailies sneered at 87
dairies because of 47
dairies located in 98
dairies operating in 81
dairies outside the 55
dairies supplying the 132
daisies against the 63
daisies bloomed in 109
daisies covered the 71
daisies painted on 335
daisies printed on 51
daisies starred the 45
daisies together in 73
daisies wrapped in 66
damaged ability to 141
damaged according to 380
damaged against the 368
damaged although the 177
damaged article is 134
damaged article of 62
damaged aspects of 108
damaged baggage or 42
damaged because he 610
damaged because it 1249
damaged because no 47
damaged because of 10190
damaged because the 2555
damaged because we 107
damaged belonged to 49
damaged between the 511
damaged bridges in 108
damaged bridges on 41
damaged buildings as 158
damaged buildings at 258
damaged buildings by 47
damaged buildings in 1576
damaged buildings is 153
damaged buildings of 280
damaged buildings on 198
damaged buildings or 296
damaged buildings to 346
damaged careers if 65
damaged costume to 61
damaged depending on 41
damaged depends on 82
damaged despite the 180
damaged economy of 119
damaged efforts to 158
damaged element as 53
damaged example of 171
damaged figures of 336
damaged following an 91
damaged following the 99
damaged forests in 283
damaged forests of 48
damaged frescoes by 126
damaged frescoes in 220
damaged frescoes of 258
damaged function of 101
damaged herself by 65
damaged herself in 93
damaged himself by 270
damaged himself in 140
damaged himself so 120
damaged including the 60
damaged interior of 126
damaged kernels in 303
damaged kernels or 49
damaged kidneys in 45
damaged kidneys is 50
damaged kidneys or 114
damaged kidneys to 174
damaged material as 103
damaged material at 51
damaged material by 95
damaged material in 216
damaged material is 862
damaged material or 177
damaged material to 141
damaged members of 225
damaged millions of 347
damaged muscles in 133
damaged muscles of 102
damaged muscles or 51
damaged muscles to 92
damaged neurons by 99
damaged neurons in 436
damaged neurons or 119
damaged neurons to 146
damaged objects in 108
damaged objects of 43
damaged outside of 164
damaged outside the 213
damaged paintings in 50
damaged parties to 117
damaged patient in 137
damaged patient is 446
damaged patient to 137
damaged persons in 102
damaged picture in 45
damaged picture of 275
damaged portions of 4032
damaged product of 48
damaged protein is 48
damaged psyches of 90
damaged quality is 197
damaged quality of 95
damaged remains of 1971
damaged resulting in 380
damaged sections as 230
damaged sections in 61
damaged sections of 2742
damaged sectors of 57
damaged sectors on 53
damaged segment is 390
damaged segment of 1266
damaged several of 1016
damaged soldier on 54
damaged somehow in 95
damaged statues of 148
damaged streets of 105
damaged stretch of 100
damaged surface by 41
damaged surface in 43
damaged surface is 244
damaged surface of 964
damaged surface or 41
damaged tendons or 87
damaged tissues as 310
damaged tissues at 104
damaged tissues by 462
damaged tissues in 617
damaged tissues is 560
damaged tissues of 624
damaged tissues or 870
damaged tissues to 566
damaged tobacco in 52
damaged tobacco is 173
damaged towards the 112
damaged vehicle is 320
damaged vehicle or 153
damaged vehicle to 288
damaged versions of 136
damaged vessels as 93
damaged vessels at 58
damaged vessels in 472
damaged vessels is 218
damaged vessels of 136
damaged vessels or 190
damaged vessels to 280
damaged victims of 334
damaged windows nt 451
damages according to 8602
damages accrued or 46
damages accrued to 393
damages accrues to 59
damages adopted by 192
damages adopted in 131
damages affecting the 45
damages against an 5215
damages against co 85
damages against it 479
damages against me 249
damages against mr 61
damages against my 44
damages against the 97745
damages against us 93
damages alleged by 335
damages alleged in 961
damages alleged to 7254
damages allowed by 912
damages allowed in 838
damages allowed on 110
damages allowed the 142
damages allowed to 413
damages although he 257
damages although it 79
damages although the 249
damages amounting to 7060
damages amounts to 64
damages appeared to 76
damages applied by 171
damages applied in 147
damages applied to 226
damages applies in 83
damages applies to 315
damages arrived at 70
damages aspects of 82
damages attempt to 78
damages avoided by 100
damages awarded as 963
damages awarded at 531
damages awarded be 113
damages awarded by 12466
damages awarded do 153
damages awarded if 152
damages awarded in 19738
damages awarded is 381
damages awarded on 1145
damages awarded or 330
damages awarded the 605
damages awarded to 15135
damages awarded up 47
damages because an 118
damages because he 3001
damages because in 107
damages because it 2762
damages because no 365
damages because of 26057
damages because the 4840
damages belonged to 59
damages besides the 104
damages between the 1448
damages brought by 2549
damages brought in 404
damages brought on 420
damages capable of 311
damages charged to 177
damages claimed as 596
damages claimed be 78
damages claimed by 8252
damages claimed do 1974
damages claimed in 4878
damages claimed is 260
damages claimed on 383
damages claimed or 232
damages claimed to 1467
damages clauses in 289
damages clauses is 85
damages clauses to 102
damages consist of 485
damages covered by 1226
damages decreed by 49
damages depending on 528
damages depends on 1499
damages despite the 447
damages element of 133
damages entered in 55
damages exceeding the 968
damages exceeds the 219
damages following an 129
damages following the 335
damages founded on 576
damages granted by 245
damages granted in 82
damages granted to 113
damages happening to 83
damages himself or 42
damages implied by 43
damages imposed as 41
damages imposed by 591
damages imposed in 71
damages imposed on 1192
damages include an 52
damages include the 606
damages including the 262
damages increase the 41
damages induced by 1141
damages induced in 64
damages insofar as 1342
damages insured by 168
damages involving the 118
damages limited by 99
damages limited to 1647
damages measured as 207
damages measured at 57
damages measured by 8006
damages measured in 139
damages neurons in 61
damages occurring as 153
damages occurring by 89
damages occurring in 273
damages occurring on 111
damages occurring to 201
damages offered by 86
damages ordered by 149
damages ordered to 74
damages outside of 161
damages outside the 166
damages payable as 139
damages payable by 3229
damages payable in 1111
damages payable on 131
damages payable to 3893
damages payment of 42
damages peculiar to 138
damages portions of 151
damages present in 47
damages provide an 145
damages provide the 67
damages question is 95
damages reduced by 745
damages reduced in 48
damages reduced to 223
damages reduces the 47
damages reflect the 106
damages regarding the 78
damages related to 3772
damages relates to 88
damages remains to 42
damages resulting if 54
damages resulting in 844
damages resulting to 3777
damages results in 60
damages secured by 48
damages similar to 373
damages subject to 913
damages therefor at 70
damages therefor by 41
damages therefor in 174
damages therefor is 53
damages therefor to 103
damages tissues in 96
damages towards the 98
damages usually is 45
damages verdict in 74
damages verdict to 45
damages violated the 114
damages violates the 78
damages wrought by 2329
damages wrought in 63
damages wrought on 143
damages wrought to 133
dampening effects of 2977
dampening effects on 1449
dampening solution is 161
dampening solution to 74
dampers according to 118
dampers between the 128
dampers consist of 51
dampers control the 91
dampers located at 53
dampers located in 84
dampest forests to 58
damsels appeared to 57
damsels arrayed in 43
damsels dressed in 743
damsels entered the 55
damsels mounted on 403
dancers according to 152
dancers advance in 72
dancers advance to 49
dancers against the 167
dancers appeared as 175
dancers appeared at 117
dancers appeared in 1143
dancers appeared on 251
dancers appeared to 299
dancers arranged in 79
dancers arrived at 98
dancers arrived in 100
dancers assumed the 45
dancers attempt to 134
dancers attired in 117
dancers because he 68
dancers because it 116
dancers because of 278
dancers because the 61
dancers belonged to 83
dancers between the 118
dancers brought in 55
dancers brought the 67
dancers brought to 99
dancers capable of 108
dancers carried on 51
dancers carried the 75
dancers circled the 226
dancers compete in 45
dancers consist of 63
dancers crowded the 77
dancers decided to 87
dancers dressed as 1651
dancers dressed in 1596
dancers dressed up 237
dancers dropped to 40
dancers enacted the 43
dancers endeavor to 43
dancers enjoyed the 52
dancers entered the 405
dancers execute the 106
dancers executing the 61
dancers express the 71
dancers flocked to 114
dancers following the 79
dancers gathered at 58
dancers gathered in 303
dancers gathered on 51
dancers gyrated to 45
dancers imitate the 324
dancers imitating the 51
dancers indulge in 54
dancers managed to 96
dancers marched in 46
dancers outside the 159
dancers painted by 122
dancers painted in 44
dancers painted on 157
dancers perform an 75
dancers perform as 125
dancers perform at 468
dancers perform in 893
dancers perform it 58
dancers perform on 397
dancers perform the 703
dancers perform to 290
dancers portray the 65
dancers prepare to 52
dancers present the 45
dancers pretend to 117
dancers proceed to 57
dancers provide the 52
dancers refused to 180
dancers respond to 167
dancers retired to 87
dancers returning to 74
dancers similar to 42
dancers started to 210
