daemon configuration file 414
daily administered dose 48
daily agricultural wage 1066
daily agricultural work 78
daily augmentations from 45
daily communicated these 50
daily communication among 150
daily communication from 88
daily communication time 45
daily contributions from 65
daily conversations among 106
daily conversations over 50
daily conversations were 110
daily expenditures from 55
daily expenditures were 95
daily institutional life 196
daily instructional time 207
daily intellectual food 165
daily intellectual life 229
daily intelligence from 141
daily intermittent rest 72
daily international news 146
daily journalistic work 99
daily ministrations among 44
daily multivitamin pill 143
daily peregrination from 57
daily performances were 80
daily precipitation data 488
daily precipitation during 60
daily precipitation from 68
daily precipitation over 92
daily prophylactic dose 201
daily requirements during 54
daily requirements from 256
daily requirements have 240
daily requirements like 97
daily requirements must 58
daily requirements such 64
daily requirements vary 58
daily requirements were 176
daily requirements will 70
daily temperatures drop 49
daily temperatures during 351
daily temperatures fall 70
daily temperatures from 253
daily temperatures have 69
daily temperatures over 148
daily temperatures range 309
daily temperatures ranging 127
daily temperatures reach 77
daily temperatures rise 88
daily temperatures vary 115
daily temperatures were 504
daily transpiration rate 110
daily unremarkable life 45
dairy cooperatives have 257
dairy cooperatives were 200
dance particularly well 69
dance performances also 96
dance performances during 131
dance performances from 344
dance performances have 188
dance performances held 103
dance performances take 196
dance performances took 56
dance performances were 770
dance sufficiently well 105
danger sufficiently great 49
dangling nonchalantly from 42
dashing successively over 85
dashing successively upon 49
dated respectively from 70
dated respectively july 198
dated respectively june 327
dates historically from 121
dates particularly from 230
dates specifically from 128
dates substantially from 665
dates traditionally from 61
datum philosophers have 118
dawning comprehension came 42
dawning intellectual life 49
dazed intelligence beating 139
deadly consequences when 66
deadly intelligence born 47
debts legitimately owed 65
debts respectively were 64
decay exponentially along 219
decay exponentially away 570
decay exponentially fast 530
decay exponentially from 432
decay exponentially into 442
decay exponentially over 167
decay exponentially when 51
decay radioactively into 109
decay spontaneously into 607
decay sufficiently fast 164
deeds accomplished during 56
deeming spotlessness part 60
delay gratification have 50
delay gratification were 247
delay gratification when 257
delve specifically into 45
delve sufficiently into 45
dense impenetrable mass 67
dense inflammatory cell 537
dense inflammatory mass 46
dense interstellar dust 52
dense metropolitan areas 292
dense precipitates were 45
denying stockholders their 73
depths considerably less 87
deter organizations from 84
deter participants from 142
deter policymakers from 53
deter practitioners from 86
deter shareholders from 56
diced crystallized ginger 342
digging convulsively into 51
digging sufficiently deep 45
digit alphanumeric code 258
digit unemployment rate 413
dioxin contamination from 85
dipping continuously into 86
dipping respectively into 84
dipping strawberries into 89
dirty handkerchief from 284
dirty handkerchief into 68
dirty handkerchief over 46
dirty handkerchief tied 64
donor concentration will 44
donor organizations from 51
donor organizations have 520
donor organizations like 50
donor organizations such 500
donor organizations were 67
donor organizations will 59
doors sufficiently wide 58
doses administered during 289
doses administered have 40
doses administered more 41
doses administered over 746
doses administered were 524
