decontaminated before leaving 66
decontamination factor from 85
democratically agreed upon 1730
democratically choose their 53
democratically chosen body 148
democratically decide what 56
democratically manage their 40
democratically minded young 50
democratically passed laws 42
democratically through their 209
democratization should have 151
desensitization occurs when 74
desertification claims more 89
dicotyledonous plants from 74
dicotyledonous plants have 198
dicotyledonous plants such 255
dicotyledonous plants were 163
disadvantageous effect upon 242
disappointment amongst those 61
disappointment arises from 235
disappointment awaits those 70
disappointment became more 188
disappointment called forth 44
disappointment caused much 109
disappointment changed into 41
disappointment creeping into 66
disappointment ensued when 51
disappointment etched into 47
disappointment forces upon 40
disappointment hardly less 275
disappointment itself into 49
disappointment lasted only 67
disappointment melted away 40
disappointment occurs when 91
disappointment passed away 44
disappointment passed over 1950
disappointment pretty well 96
disappointment preyed upon 187
disappointment rolled down 59
disappointment rushed over 43
disappointment seemed coming 52
disappointment seized upon 97
disappointment served only 47
disappointment should come 62
disappointment should have 222
disappointment should take 60
disappointment spreading over 54
disappointment spreads among 58
disappointment spreads over 43
disappointment stemming from 96
disappointment sweeping over 75
disappointment through life 59
disappointment turned into 322
disappointment unless there 57
disappointment washed over 499
disappointment without having 48
disappointment without losing 43
discouragement arises from 83
discouragement seized upon 205
discouragement stemming from 84
discriminative reaction time 454
discriminatory actions have 61
discriminatory actions such 42
discriminatory actions were 156
discriminatory actions will 49
discriminatory burden upon 86
discriminatory duties upon 75
discriminatory duties were 122
discriminatory effect upon 331
discriminatory effect when 44
discriminatory effect will 48
discriminatory family laws 75
discriminatory harbor dues 44
discriminatory impact must 57
discriminatory impact upon 308
discriminatory import duty 61
discriminatory intent even 54
discriminatory intent from 120
discriminatory intent must 242
discriminatory intent need 123
discriminatory intent were 46
discriminatory intent when 100
discriminatory intent will 75
discriminatory liquor laws 42
discriminatory manner when 57
discriminatory motive from 44
discriminatory policy hangs 50
discriminatory policy into 157
discriminatory policy were 48
discriminatory policy will 55
discriminatory prices from 98
discriminatory prices upon 92
discriminatory prices were 181
discriminatory prices will 97
discriminatory quotas were 50
discriminatory toward other 53
disequilibrium arises from 66
disequilibrium exists when 71
disequilibrium occurs when 187
disequilibrium stemming from 97
disillusionment arises from 55
disillusionment occurs when 57
disillusionment should have 54
disillusionment stemming from 273
disillusionment turned into 49
disorganization occurs when 119
disorganization should have 50
disorganization stemming from 105
dissatisfaction amidst such 50
dissatisfaction amongst many 87
dissatisfaction amongst some 205
dissatisfaction amongst those 179
dissatisfaction arises from 433
dissatisfaction arises when 76
dissatisfaction became more 178
dissatisfaction boiled over 69
dissatisfaction caused among 63
dissatisfaction created among 132
dissatisfaction existing among 414
dissatisfaction exists among 375
dissatisfaction levels were 81
dissatisfaction occurs when 143
dissatisfaction passed into 68
dissatisfaction passed over 57
dissatisfaction reached such 99
dissatisfaction result from 131
dissatisfaction should have 144
dissatisfaction stemming from 576
dissatisfaction through their 59
dissatisfaction toward their 50
dissatisfaction turned into 70
diversification across many 62
diversification amongst farm 50
diversification became more 120
diversification lowers risk 98
diversification occurs when 247
diversification reduce risk 52
diversification should also 90
diversification should have 69
diversification should take 67
diversification through time 98
diversification without having 57
