ice sheets that covered the 139
idea already put forward by 71
idea behind this chapter is 104
idea behind this concept is 527
idea behind this concept of 40
idea behind this example is 42
idea behind this formula is 59
idea behind this function is 43
idea behind this process is 86
idea behind this program is 110
idea behind this project is 127
idea behind this question is 47
idea behind this research is 56
idea behind this solution is 46
idea turned her dislike of 71
ill pleased with himself if 62
ill suited for cavalry to 66
ill suited for studies of 47
ions inside and outside of 134
ions inside and outside the 1033
its actions and reactions on 103
its actions are limited to 59
its actions are mediated by 84
its actions are similar to 166
its actions are subject to 278
its actions not according to 86
its actions with respect to 265
its advice and consent as 140
its advice and consent by 73
its advice and consent in 216
its advice and consent on 218
its advice and consent to 3795
its advice and counsel in 126
its affect and behaves as 65
its agents with respect to 42
its allies and friends in 291
its allies and friends to 81
its allies with respect to 50
its annual net profits to 43
its ascent and descent in 63
its assets and payment of 48
its assets are located in 133
its assets are subject to 44
its battle for control of 63
its behalf than motives of 50
its behalf with members of 41
its behalf with respect to 202
its border with rhodesia in 91
its bottom and removed the 49
its bounds and pretend to 77
its brains out against the 331
its budget and balance of 59
its budget was devoted to 65
its burden with respect to 147
its buyers that exceeds the 50
its causes and effects as 51
its causes and effects in 191
its causes and effects is 79
its causes and effects on 98
its causes and effects to 86
its causes and objects we 106
its center with respect to 58
its changes with respect to 93
its charge with respect to 54
its church was rebuilt in 42
its claims are subject to 40
its claims now precede the 68
its claims with respect to 80
its course and crashed it 45
its course and exploring the 42
its course and material of 205
its course and returns to 52
its course and wrecked it 48
its course that carried it 50
its course with relation to 63
its course with respect to 137
its courts are typical of 50
its covert war against the 50
its cradle and punched in 49
its creator and brought to 43
its demand for control of 40
its demand for factors of 54
its demand for freedom of 65
its demand for imports is 96
its design was similar to 42
its desire and ability to 246
its desire for pleasure by 46
its docket with economy of 92
its domain was reduced to 67
its duties and achieve the 59
its duties and receive the 103
its duties and virtues by 47
its duties are limited to 47
its duties with respect to 358
its effect being similar to 48
its effect can usually be 59
its effect this extreme of 107
its effect was exactly the 44
its effect was limited by 121
its effect was limited to 125
its effect was similar to 85
its effect with respect to 235
its effort was devoted to 73
its embers and expired in 48
its energy and ability to 52
its energy and fitness by 51
its energy was devoted to 86
its energy with respect to 134
its errors and defects as 44
its estate and effects to 79
its extent and variety of 95
its extent was limited by 64
its findings and decision by 51
its findings and informing the 62
its findings are subject to 55
its findings with respect to 412
its forces and preparing to 47
its fruits and flowers of 58
its further end touched the 62
its future and develop the 72
its genius was humbled in 146
its glance was weakened by 58
its golden age between the 40
its ground and refused to 100
its habits and manners the 50
its habits are similar to 329
its height with respect to 72
its impact was blunted by 45
its impact was greatest in 45
its impact was limited by 68
its impact was limited to 81
its impact was reduced by 43
its impact was weakened by 40
its impact with respect to 62
its income tax returns on 1142
its income with respect to 73
its inputs and outputs as 44
its inputs and outputs in 97
its inputs and outputs is 62
its inputs and outputs of 52
its inputs and outputs to 102
its intent and ability to 58
its intent with respect to 150
its larger end towards the 43
its leaders and members as 139
its leaders and members of 44
its leaders and members to 79
its leaders are beginning to 40
its leaders had decided to 52
its lights and shadows of 41
its lights are stronger in 61
its limits are defined by 141
