if contrary effects were to 104
if protecting herself from the 49
if suddenly brought face to 61
if suddenly carried back to 47
in abruptly obtruding upon the 181
in absolute command over the 43
in absolute control over the 67
in absolute freedom from the 55
in absolute numbers during the 198
in absolute numbers over the 99
in absolute poverty during the 54
in absolute poverty rose by 48
in academic circles during the 347
in academic circles from the 56
in academic circles over the 130
in accounts payable must be 157
in accuracy resulting from the 70
in acquitting himself well in 83
in activity resulting from the 62
in adequate amounts during the 44
in adequate amounts from the 105
in advanced courses such as 43
in afferent pathways from the 52
in aircraft manuals used by 48
in airtight plastic bags or 63
in alkaline solution leads to 42
in allergic diseases such as 86
in allergic reactions such as 68
in alleviating poverty among the 52
in american affairs will be 42
in american culture during the 553
in american culture from the 1374
in american culture over the 153
in american culture tend to 56
in american culture there is 106
in american culture when the 55
in american culture will be 48
in american history came to 206
in american history done by 123
in american history down to 53
in american history during the 887
in american history ever to 84
in american history from the 1381
in american history have so 179
in american history have the 98
in american history have we 51
in american history lies in 41
in american history must be 60
in american history only by 68
in american history over the 82
in american history prior to 220
in american history such as 126
in american history there is 56
in american history told by 135
in american history were as 55
in american history were so 40
in american history were the 140
in american history when an 53
in american history when he 130
in american history when it 174
in american history when so 140
in american history when the 1193
in american history when we 77
in american history will be 184
in american letters during the 71
in american religion during the 78
in american schools during the 218
in american schools from the 41
in american schools over the 49
in american science during the 51
in american society came to 40
in american society during the 1779
in american society from the 457
in american society must be 179
in american society over the 774
in american society prior to 45
in american society seem to 80
in american society such as 183
in american society tend to 194
in american society there is 202
in american society were the 57
in american society when it 85
in american society when the 46
in american society will be 294
in american studies from the 873
in american vessels from the 120
in american vessels into the 112
in american vessels upon the 53
in annually rejoicing over the 49
in articles written during the 60
in artistic deviation from the 68
in assembly language must be 47
in attitude resulting from the 69
in attracting support from the 138
in baseball history when he 73
in beautiful ripples upon the 44
in benefits derived from the 55
in benefits resulting from the 100
in biblical studies from the 52
in bloodier flashes when ye 57
in breathless silence upon the 44
in buddhist studies from the 107
in business because there is 48
in business decision making is 87
in business depends upon the 68
in business resulting from the 81
in capacity resulting from the 118
in chemical physics from the 57
in chemical reactions from the 43
in chemical reactions such as 128
in children because there is 60
in children depends upon the 59
in children differs from the 49
in children resulting from the 45
in children suffering from the 175
in christian circles during the 50
in christian circles from the 44
in christian history from the 64
in christian history when the 89
in christian science there is 50
in christian worship from the 68
in christian writers from the 49
in circular letters from the 63
in clinical decision making as 42
in clinical decision making by 53
in clinical decision making in 327
in clinical decision making is 146
in collagen diseases such as 49
in collecting material from the 75
in collecting reliable data on 59
in collecting revenue from the 70
in collecting tribute from the 94
in commanding himself when he 116
in complete control from the 46
in complete control over the 252
in complete freedom from the 202
in complete reliance upon the 93
in complete secrecy from the 47
in computer science from the 12376
in computer science over the 55
in computer science such as 76
in computer science will be 158
in concrete genetic sets of 58
in condition resulting from the 59
in conducting research into the 151
in confusion together during the 41
in constant anxiety lest he 57
