ideal society there should be 91
ideas regarding what should be 50
inch diameter hole through the 116
into account during design of 44
into account only changes in 53
into account only through the 83
into account other changes in 43
into account other points of 96
into account some aspect of 45
into account some degree of 65
into account some measure of 81
into account some portion or 65
into account such changes in 59
into account such issues as 832
into account their degree of 128
into account their effect on 255
into account their impact on 370
into account these changes in 138
into account those changes in 48
into account three groups of 40
into account three levels of 43
into account what appears to 61
into account when applying the 525
into account when arranging the 68
into account when arriving at 316
into account when building the 121
into account when changes in 90
into account when checking the 48
into account when choosing an 228
into account when choosing the 907
into account when counting the 49
into account when deciding if 158
into account when deciding on 4045
into account when deciding the 687
into account when deciding to 401
into account when defining the 516
into account when deriving the 139
into account when devising the 67
into account when dividing the 44
into account when drafting the 124
into account when figuring the 258
into account when managing the 66
into account when measuring the 409
into account when modeling the 89
into account when planning an 182
into account when planning or 40
into account when planning the 1295
into account when planning to 110
into account when plotting the 60
into account when revising the 50
into account when studying the 748
into account when weighing the 266
into account when weighing up 57
into account will depend on 66
into account will result in 115
into aimless play instead of 50
into capital gain through the 182
into central high school in 157
into classes must always be 45
into eternal life through the 69
into glucose when needed by 47
into machine code before it 112
into machine code before the 63
into position just behind the 77
into question their status as 274
into suffering their troops to 87
iron railway from london to 82
iron stripes were turned by 47
