if a criminal conviction ensues 42
if a magnetic component exists 133
if a religious perception exists 79
if a security agreement covers 43
if a suitable deputation should 51
in a bacterial expression system 90
in a balanced wheatstone bridge 92
in a bitterly contested battle 62
in a cellular telephone system 59
in a christian missionary school 69
in a colossal equestrian statue 72
in a computer programming course 90
in a computer retrieval system 51
in a condition miserable enough 208
in a culpably negligent manner 148
in a database retrieval system 172
in a delicate capillary plexus 67
in a desolate expedition across 65
in a developing political system 335
in a document retrieval system 124
in a domestic political crisis 42
in a domestic political system 53
in a downtown apartment building 41
in a dramatic appearance before 60
in a dramatic television series 56
in a fiercely contested battle 158
in a forthcoming technical report 55
in a highrise apartment building 54
in a japanese irrigation system 48
in a japanese relocation center 79
in a liability insurance policy 162
in a mammalian expression system 62
in a mammalian expression vector 186
in a markedly different fashion 160
in a markedly different manner 424
in a methodist episcopal church 114
in a modestly tentative manner 41
in a multiple processor system 121
in a multiple regression format 49
in a multiply connected domain 55
in a mutually beneficial fashion 94
in a mutually beneficial manner 642
in a mutually dependent fashion 46
in a mutually dependent manner 72
in a mutually exclusive fashion 444
in a mutually exclusive manner 772
in a mutually reinforcing fashion 215
in a mutually reinforcing manner 569
in a mutually reinforcing system 74
in a nonlinear dynamical system 97
in a partially completed building 85
in a patently offensive manner 928
in a personal appearance before 157
in a personal interview survey 114
in a prepared statement before 50
in a proceeding commenced before 113
in a properly conducted school 45
in a properly conducted weapons 95
in a properly organized system 52
in a property insurance policy 110
in a publicly supported school 82
in a recently published letter 284
in a recently published memoir 111
in a recently published report 507
in a recently published review 233
in a recently published series 63
in a recently published survey 58
in a recently published volume 352
in a relevant antitrust market 117
in a relevant geographic market 123
in a religious procession through 72
in a religious revolution should 46
in a residual amorphous matrix 63
in a resonant microwave cavity 46
in a scottish secondary school 46
in a sensible statutory scheme 51
in a separate agreement signed 42
in a separate apartment called 73
in a separate container before 80
in a separate corporate entity 48
in a separate fireproof building 42
in a separate innovation market 59
in a separate subsidiary ledger 102
in a separate technical report 80
in a severely practical manner 43
in a severely technical manner 43
in a sexually dimorphic manner 85
in a sexually dimorphic spinal 101
in a sexually offensive manner 63
in a singularly deceptive manner 53
