impaired function 410 improved systems 47
inclined against 105 includes devices 44
includes numbers 71 increased research 43
increased schools 150 increased weights 201
increased profits 113 increased margins 44
indirect control 92 indirect effects 105
indirect measures 41 indirect results 65
indirect taxation 147 infernal delight 42
informal sources 56 interest fifteen 47
interest returns 58 interest because 43
interest private 43 interest exchange 44
interest increase 44 interest credits 68
interest financing 55 interest sharply 50
interest accrued 51 interval between 161
intimacy between 45 invasive species 76
