if borrower fails to respond 46
if cerebral edema is present 131
if evidence might be forever 265
if exercise clears the vessels 102
if exploded under the battery 45
if interest rates in general 121
if louisiana could be brought 59
if possible until the patient 42
if possible within the british 272
if probable cause is present 56
if sentence shall go against 132
if severely lamed or injured 53
if somebody below the horizon 70
if valuable goods be rescued 51
in abeyance pending the arrival 59
in abeyance pending the decision 127
in abeyance pending the outcome 396
in abeyance since the beginning 62
in abeyance since the previous 69
in abeyance until the arrival 101
in abeyance until the following 158
in abeyance until the question 93
in abeyance until the results 43
in absolute terms in relation 48
in absolute terms the decline 42
in absolute terms the increase 122
in absolute terms the largest 56
in absolute terms the numbers 108
in absolute units of current 48
in abstract terms as follows 52
in abstract terms the general 50
in activity which is socially 59
in actually solving the problem 181
in adoptive homes in infancy 47
in advanced cases of chronic 164
in advanced cases of dementia 52
in advanced cases of diabetes 137
in advanced cases the patient 123
in australia since the beginning 173
in australia under the colombo 47
in battered women to believe 46
in boldface refer to figures 99
in brackets after the letters 195
in brackets after the question 93
in brackets refer to entries 64
in brackets refer to numbers 64
in brackets refer to sections 119
in brussels after the arrival 71
in business alike to capital 53
in business until he retired 45
in chemical bonds of organic 48
in circuits where the current 100
in climates where the winters 103
in clinical trials to improve 71
in clinical trials to prevent 86
in clumsily round the corners 49
in complete works of abraham 226
in complete works of tacitus 97
in concrete slabs or masonry 111
in concrete terms the general 41
in condition would the removal 54
in conduits under the streets 52
in constant danger of assault 45
in constant danger of attacks 87
in constant danger of capsizing 72
in constant danger of capture 105
in constant danger of confusing 174
in constant danger of invasion 164
in constant danger of mistaking 88
in constant danger of producing 50
in constant danger of relapsing 79
in constant danger of suffering 64
in constant danger of violence 49
in constant motion to prevent 111
in contending about the trifles 76
in contexts where the subject 159
in conversing about the affairs 47
in cottages might be happier 97
in counties where the average 100
in criminal cases by enlarging 45
in criminal cases in federal 151
in criminal cases in general 170
in criminal cases in violation 66
in criminal cases is limited 122
in criminal cases is usually 46
in criminal cases the accused 199
in criminal cases to testify 43
in criminal trials the accused 40
in critical times go forward 55
in cultural change in postwar 43
in cultured cells of chicken 60
in cultured cells of chinese 239
in darkness under the shadows 70
in december after the election 68
in decisions about the content 223
in decisions about the location 63
in decisions about the program 41
in delivery after the receiving 61
in descending below the surface 128
in descending order as follows 734
in descending order of ability 53
in descending order of amounts 66
in descending order of average 422
in descending order of density 68
in descending order of gravity 94
in descending order of numbers 143
in descending order of overall 79
in descending order of percent 50
in descending order of potency 177
in descending order of priority 2682
