if anyone is enjoying himself 60
if belief in divine descent 47
if demand is highly elastic 66
if engaged in purely pacific 46
if forced to choose between 1599
if german or italian vessels 435
if instead of merely inferior 45
if placed in direct contact 67
if relief is sought against 328
in africa in recent decades 97
in almost an entire century 46
in almost the entire country 89
in ambush by prince maurice 57
in another or better position 86
in answer to another question 1104
in answer to direct question 58
in answer to horace greeley 41
in answer to prayer offered 75
in applying the finite element 55
in applying the initial letters 54
in armies on active service 42
in arranging my streaming hatband 72
in atomic or nuclear physics 67
in august it became evident 40
in battle of fallen timbers 58
in behalf of better schools 84
in behalf of common schools 110
in behalf of english liberty 40
in behalf of greater control 46
in behalf of guilty females 45
in behalf of infant baptism 61
in behalf of jewish victims 82
in behalf of prince charles 59
in behalf of public liberty 84
in behalf of public schools 103
in behalf of public welfare 134
in behalf of starving ireland 48
in behalf of william thompson 47
in bluffs of various heights 63
in brazil in recent decades 104
in bridging the divide between 168
in building the bridge between 109
in bumper to bumper traffic 157
in bursts of energy powered 54
in canada in recent decades 102
in carrying on public affairs 173
in carrying the gospel message 52
in charge by another monarch 53
in charge of almost everything 199
in charge of another officer 98
in charge of another project 50
in charge of boarding schools 46
in charge of bomber command 71
in charge of branch offices 79
in charge of cancer research 44
in charge of church affairs 194
in charge of damage control 126
in charge of deputy sheriff 43
in charge of english affairs 42
in charge of family affairs 122
in charge of fiscal affairs 126
in charge of fiscal matters 74
in charge of french affairs 103
in charge of french foreign 82
in charge of german affairs 117
in charge of german foreign 78
in charge of issues related 48
in charge of jewish affairs 962
in charge of liaison between 187
in charge of market research 104
in charge of measuring certain 90
in charge of muslim affairs 103
in charge of native affairs 347
in charge of native teachers 56
in charge of peasant affairs 42
in charge of police affairs 106
in charge of police matters 57
in charge of police stations 470
in charge of postal affairs 52
in charge of public affairs 2279
in charge of public buildings 917
in charge of public finance 100
in charge of public offices 46
in charge of public records 84
in charge of public schools 122
in charge of public service 89
in charge of public welfare 44
in charge of relief efforts 48
in charge of relief measures 113
in charge of russian affairs 104
in charge of russian foreign 104
in charge of school affairs 88
in charge of school buildings 87
in charge of school systems 46
in charge of soviet affairs 49
in charge of soviet foreign 91
in charge of special classes 58
in charge of special effects 139
in charge of special teachers 46
in charge of taiwan affairs 63
in charge of tribal affairs 84
in charge of tribal welfare 973
in charge of various aspects 243
in charge of various sections 93
in charge of various sectors 63
in checking the german advance 103
in checking the russian advance 67
in church of england circles 94
in church of england schools 540
in cities of twenty thousand 83
in classing the various objects 42
in common by family members 42
in courting the divine calliope 49
in courts of equity because 47
in courts of special sessions 102
in covering the entire surface 42
in crimes of sexual violence 116
in crossing the border between 69
in crossing the divide between 69
in crossing the english channel 375
in debate the various charges 62
in defining the powers granted 72
in defining the various classes 41
in degree is another question 49
in delaying the german advance 95
in demand as public speakers 42
in demand at dinner parties 73
in design of manual machine 52
in detail by earlier thinkers 103
in detail by various workers 64
in detail in another article 218
in detail in another chapter 2558
in detail in another context 101
in detail in earlier reports 41
in detail in earlier sections 207
in detail in earlier studies 40
in detail in recent reviews 162
in detail in upcoming sections 52
in detail in various sections 76
in detail on another occasion 151
in detail the actual process 61
in detail the entire content 52
in detail the entire history 53
in detail the entire process 68
in detail the further history 76
in detail the methods adopted 103
in detail the methods whereby 41
in detail the policy adopted 47
in detail the reasons therefor 88
in detail the special features 61
in detail the striking results 50
in detail the various aspects 609
in detail the various classes 56
in detail the various devices 43
in detail the various factors 252
in detail the various features 120
in detail the various matters 48
in detail the various measures 133
in detail the various schemes 43
in detail the various sources 70
in detail the various systems 70
in detail to resist lateral 73
in devoting an entire chapter 42
in double the amount claimed 235
in dublin of english parents 142
in effect the golden dustman 45
in effect to choose between 60
in england by william collins 47
in england in recent decades 45
in england of english parents 151
in england of french parents 121
in england of german parents 49
in england of italian parents 52
in england the middle classes 43
in england to cruise against 85
in england to settle certain 43
in english as second language 159
in english at boston college 49
in english at hunter college 54
in english at vassar college 55
in english by native speakers 89
in english on russian history 310
in english on various aspects 115
in english or another foreign 43
in english or another language 625
in english or french according 82
in english or french history 43
in entering the public service 58
in equity to compel payment 45
in essays in english history 65
in essays in jewish history 170
in europe in recent decades 140
in europe to defend against 41
in excess of actual damages 338
in excess of amount allowed 287
in excess of eighty percent 61
in excess of eighty thousand 104
in excess of eleven thousand 66
in excess of market demands 124
in excess of ninety percent 117
in excess of ninety thousand 49
in excess of normal amounts 108
in excess of normal demands 51
in excess of normal operating 333
