if duly made by resolution 104
if ever time or necessity 91
if foul play is suspected 74
if free from the influence 53
if great care be exercised 63
if great care is exercised 282
if hearing loss is suspected 64
if kept there by purchases 40
if less time is available 72
if made during the existence 41
if more time is available 199
if none other is available 68
if nothing else is available 1733
if nothing else is indicated 64
if nothing else is specified 147
if nothing more is necessary 40
if only from the narrowest 85
if only from the viewpoint 207
if only left to themselves 53
if only meant of contracts 90
if other food is available 49
if seen from the viewpoint 92
if some care is exercised 88
if some kind of agreement 55
if some means is available 86
if some sort of agreement 99
if such data is available 58
if such help is available 44
if such item be supported 53
if such were in existence 43
if such were the conditions 52
if such work is available 56
if taft lost the nomination 53
if their cost of production 56
if their diet is deficient 43
if their meaning be different 53
if their sons or daughters 85
if there must be invisible 46
if there were an abundance 186
if there were an additional 244
if there were an advantage 68
if there were an afterlife 90
if there were an agreement 318
if there were an appearance 91
if there were an artificer 130
if there were an association 49
if there were an assurance 40
if there were an automatic 78
if there were an effective 217
if there were an effectual 129
if there were an efficient 71
if there were an emergency 763
if there were an emigration 76
if there were an equitable 48
if there were an excessive 44
if there were an imaginary 71
if there were an important 159
if there were an incentive 41
if there were an intrinsic 45
if there were an invisible 609
if there were an objective 341
if there were an obligation 94
if there were an orchestra 49
if there were an ordinance 41
if there were an organized 122
if there were an unlimited 260
if there were an unwritten 66
if there were in existence 221
if there were no absorption 329
if there were no accidents 102
if there were no adaptation 41
if there were no additional 327
if there were no admixture 58
if there were no advantage 98
if there were no advertising 258
if there were no afterlife 40
if there were no aggression 131
if there were no agreement 754
if there were no ambiguity 73
if there were no americans 40
if there were no antitrust 43
if there were no arbitrary 43
if there were no arguments 46
if there were no artificial 91
if there were no association 513
if there were no assurance 60
if there were no attendant 42
if there were no attraction 88
if there were no available 156
if there were no biological 63
if there were no certainty 98
if there were no challenges 53
if there were no christians 158
if there were no collisions 139
if there were no commercial 68
if there were no communist 413
if there were no community 121
if there were no compulsion 68
if there were no computers 58
if there were no conception 59
if there were no conditions 111
if there were no conflicting 199
if there were no conflicts 176
if there were no connection 757
if there were no consensus 62
if there were no consumers 93
if there were no controlling 113
if there were no convection 54
if there were no conversion 75
if there were no copyright 64
if there were no corporate 93
if there were no corruption 83
if there were no criminals 105
if there were no customers 201
if there were no daughters 70
if there were no depression 46
if there were no distortion 115
if there were no diversity 72
if there were no dividends 63
if there were no documents 75
if there were no dominance 41
if there were no economies 111
if there were no effective 155
if there were no efficient 41
if there were no emergency 55
if there were no emigration 167
if there were no empirical 94
if there were no englishmen 46
if there were no enjoyment 62
if there were no exceptions 174
if there were no executive 46
if there were no exemptions 58
if there were no exhaustion 67
if there were no exhibition 40
if there were no existence 57
if there were no foundation 131
if there were no frictional 345
if there were no functional 50
if there were no guarantee 131
if there were no happiness 67
if there were no hindrance 65
if there were no ignorance 45
if there were no important 226
if there were no incentive 124
if there were no incidents 46
if there were no indication 104
if there were no industrial 58
if there were no influence 106
if there were no injustice 163
if there were no instances 90
if there were no insurance 231
if there were no intellect 90
if there were no interfering 44
if there were no intervening 689
if there were no intrinsic 217
if there were no knowledge 161
if there were no limitation 148
if there were no listeners 60
if there were no machinery 69
if there were no mechanism 153
if there were no molecular 59
if there were no mortality 70
if there were no mosquitoes 67
if there were no mountains 170
if there were no mysteries 74
if there were no necessary 205
if there were no necessity 607
if there were no objections 636
if there were no objective 561
if there were no obligation 204
if there were no observers 78
if there were no obstacles 604
if there were no operations 46
if there were no opposition 492
if there were no organisms 54
if there were no organized 266
if there were no outsiders 59
if there were no outstanding 64
if there were no overlapping 52
if there were no parliament 152
if there were no passengers 61
if there were no penalties 80
if there were no permanent 190
if there were no physicians 54
if there were no policemen 58
if there were no political 692
if there were no population 95
if there were no practical 243
if there were no precedent 198
if there were no predators 48
if there were no prejudice 52
if there were no principle 100
if there were no prisoners 42
if there were no privilege 47
if there were no production 127
if there were no prospects 75
if there were no protection 196
if there were no provisions 134
if there were no purgatory 49
if there were no qualified 103
if there were no railroads 66
if there were no reasonable 262
if there were no receivers 322
if there were no reference 172
if there were no reflected 67
if there were no reflection 121
if there were no refraction 300
if there were no regulation 138
if there were no relatives 184
if there were no repetition 111
if there were no resonance 71
if there were no restraint 124
if there were no revelation 150
if there were no revolution 54
if there were no saturation 107
if there were no scripture 68
if there were no secondary 180
if there were no selective 53
if there were no sensitive 46
if there were no separation 103
if there were no shortages 53
if there were no sovereign 182
if there were no spiritual 142
if there were no standards 118
if there were no statutory 121
if there were no structure 54
if there were no subsidies 74
if there were no substance 144
if there were no surprises 65
if there were no surrounding 53
if there were no survivors 108
if there were no technical 163
if there were no television 108
if there were no temptation 70
if there were no terrorism 61
if there were no theoretical 47
if there were no tomorrows 48
if there were no transport 151
if there were no unclouded 55
if there were no universal 156
if there were no vacancies 145
if there were no viscosity 55
if there were no witnesses 509
if there were no yesterday 51
if there were the necessary 48
if there were the political 108
if there were the slightest 1967
if these arts be honorable 52
if these means of production 54
if these were my sensations 134
if these were the conditions 77
if what those of alexandria 68
if your baby is premature 85
if your book is published 42
if your brow be unruffled 84
if your diet is deficient 52
if your hair is naturally 40
if your home is destroyed 57
if your media is defective 76
if your mind is elsewhere 54
if your name is available 54
if your skin is sensitive 217
in acting upon the assumption 115
in acting upon the conclusion 40
in acting upon the principle 84
in acting upon the suggestion 60
in areas such as admissions 63
in areas such as advertising 544
in areas such as antitrust 131
in areas such as arithmetic 41
in areas such as artificial 110
in areas such as astronomy 95
in areas such as attitudes 46
in areas such as bangladesh 47
in areas such as biological 62
in areas such as california 479
in areas such as cardiology 48
in areas such as carpentry 40
in areas such as catalysis 113
in areas such as chemicals 97
in areas such as chemistry 103
in areas such as childcare 131
in areas such as classroom 41
in areas such as cognitive 161
in areas such as commercial 190
in areas such as community 277
in areas such as computers 197
in areas such as contracts 43
in areas such as copyright 47
in areas such as corporate 501
in areas such as creativity 59
in areas such as determining 42
in areas such as economics 324
in areas such as emergency 94
in areas such as equipment 54
in areas such as evaluation 47
in areas such as fisheries 118
in areas such as hospitals 56
in areas such as household 46
in areas such as industrial 397
in areas such as innovation 63
in areas such as insurance 248
in areas such as inventory 179
in areas such as irrigation 141
in areas such as knowledge 98
in areas such as leadership 219
in areas such as linguistics 43
in areas such as liverpool 48
in areas such as livestock 50
in areas such as logistics 66
in areas such as microfilm 59
in areas such as molecular 119
in areas such as motivation 82
in areas such as multimedia 53
in areas such as operations 90
in areas such as pediatrics 66
in areas such as perception 59
in areas such as personnel 524
in areas such as petroleum 56
in areas such as physiology 47
in areas such as political 238
in areas such as population 144
in areas such as production 761
in areas such as programming 129
in areas such as protection 67
in areas such as psychiatry 52
in areas such as regulation 48
in areas such as sanitation 76
in areas such as sexuality 207
in areas such as standards 84
in areas such as strategic 172
in areas such as substance 80
in areas such as technical 150
in areas such as transport 429
in areas such as vocational 121
in arms upon the peninsula 62
in bile into the intestine 101
in bold type to distinguish 75
in book form by doubleday 88
in book form by macmillan 86
in book form in september 162
in book form the substance 63
in bringing back the deserters 50
in bringing back the pretender 45
in bringing down the communist 68
in bringing down the incidence 57
in bringing down the population 64
in bringing over the parliament 57
in bull form is sometimes 45
in calm peace the appointed 101
in cape town in september 214
in cape town on september 78
in cape town to celebrate 42
in case acts of aggression 89
in case such an agreement 65
in case such an emergency 105
in cash plus the assumption 79
in clay pots or crucibles 40
in coming back to woodstock 114
in coming over the mountains 73
