idea which apparently had but 43
its agent designated for that 68
its basic assumptions and its 77
its basic assumptions are not 45
its basic philosophy and its 49
its basic principles and its 127
its basic principles are not 57
its chief importance was that 55
its class composition and its 66
its ethnic composition and its 45
its exact boundaries are not 42
its exact composition has not 89
its faces horizontal and its 60
its first annunciation and its 66
its first magistrate can not 99
its first principles and its 54
its first publication and its 40
its growing importance and its 43
its guiding principles and its 42
its large membership and its 64
its lipid solubility and its 46
its lofty pretensions and its 116
its major conclusions was that 87
its moral earnestness and its 45
its moral principles and its 48
its owner apparently had not 57
its racial composition and its 44
its rigid discipline and its 43
its small membership and its 58
its social composition and its 132
its social conscience and its 59
its social structures and its 45
its social visibility and its 48
its steps distinctly set out 55
its treaty obligations and its 42
its unreal occupations and then 40
its value orientation and its 44
its vital properties one year 66
