if an adult sought death 50
if an armed attack has 64
if an equal amount had 40
if an error occurs and 173
if an error occurs that 57
if an event occurs that 315
if an issue arises that 45
if an offer indeed was 57
if an offer states that 40
if an older person has 161
if at first glance they 86
if he asked whether she 50
if he cared enough for 67
if he cared little for 105
if he cares enough for 64
if he chose another cup 54
if he comes across any 53
if he comes across one 41
if he could absorb her 48
if he could accept her 42
if he could accept that 109
if he could advise her 107
if he could advise him 43
if he could afford one 321
if he could afford that 114
if he could afford them 242
if he could almost hear 83
if he could almost see 57
if he could already see 188
if he could answer him 69
if he could answer that 122
if he could answer them 56
if he could arrange for 1284
if he could arrange his 57
if he could arrange that 46
if he could arrange with 110
if he could assert his 43
if he could assign any 63
if he could assist her 143
if he could assist him 186
if he could assist them 88
if he could assume that 170
if he could assure them 69
if he could attain his 106
if he could attend his 63
if he could become his 51
if he could become one 45
if he could behold them 72
if he could borrow her 254
if he could borrow his 584
if he could borrow one 463
if he could borrow our 44
if he could borrow them 68
if he could choose his 142
if he could clearly see 47
if he could compel her 79
if he could conceal his 55
if he could confer with 53
if he could detect any 580
if he could devise any 128
if he could devote his 41
if he could devour her 86
if he could direct her 180
if he could direct him 397
if he could direct them 85
if he could effect his 152
if he could effect this 132
if he could endure any 73
if he could ensure that 106
if he could entice him 98
if he could escape and 47
if he could escape his 77
if he could escape out 89
if he could escape this 65
if he could escort her 129
if he could expect any 43
if he could extend his 148
if he could ferret out 59
if he could figure out 1548
if he could finish his 139
if he could follow her 62
if he could follow him 46
if he could follow his 64
if he could follow them 40
if he could forget his 142
if he could forget that 184
if he could handle any 50
if he could handle his 57
if he could handle that 135
if he could handle them 50
if he could handle this 72
if he could hardly bear 182
if he could hardly bring 44
if he could hardly get 83
if he could impute his 97
if he could induce any 48
if he could induce her 180
if he could induce him 134
if he could induce his 209
if he could induce them 236
if he could inform her 48
if he could inform him 210
if he could invent any 63
if he could locate any 95
if he could locate her 70
if he could locate him 62
if he could locate his 83
if he could locate them 61
if he could manage his 66
if he could manage not 56
if he could manage that 163
if he could neither buy 89
if he could neither read 73
if he could oblige him 59
if he could obtain and 43
if he could obtain any 236
if he could obtain for 178
if he could obtain her 142
if he could obtain his 472
if he could obtain one 207
if he could obtain that 112
if he could obtain them 117
if he could obtain this 46
if he could realize his 56
if he could realize that 137
if he could recall any 203
if he could recall his 40
if he could reduce his 92
if he could regain his 125
if he could regard them 55
if he could relive his 48
if he could remove his 94
if he could render any 234
if he could render each 150
if he could render him 100
if he could render them 43
if he could rescue her 48
if he could rescue his 44
if he could resume his 46
if he could retain his 170
if he could return and 121
if he could return for 45
if he could return with 63
if he could secure for 145
if he could secure him 41
if he could secure his 138
if he could secure one 45
if he could secure that 132
if he could secure them 52
if he could secure this 41
if he could shield her 45
if he could snatch her 47
if he could subdue that 85
if he could supply any 47
if he could supply him 92
if he could supply them 96
if he could thereby get 66
if he could travel with 87
if he could without too 50
if he either refuse this 65
if he finds another man 50
if he finds someone who 62
if he finds something that 120
if he found someone who 54
if he found something that 110
if he knows anyone who 160
if he knows better than 93
if he knows someone who 75
if he knows something that 200
if he later changed his 61
if he later changes his 67
if he leaves behind him 98
if he lived another year 135
if he lived through this 228
if he lived without any 55
if he lives through this 122
if he looks behind him 52
