ignored during his lifetime and 63
imagine what had happened and 56
imagine what his intention was 59
imagining what her daughter was 49
imbibed from his precepts and 113
immense need for direction and 61
implied from any doubtful and 45
imports were raw materials and 67
imposed upon his judgment and 42
impress upon his audience his 41
impress upon his audience that 238
impress upon his students that 108
impress upon our children that 82
impress your own children with 85
improve care for patients with 65
improve care for seriously ill 894
improve health and education and 62
improve their own condition and 180
improve their own economic and 164
improve their own fortunes and 41
improve their own positions and 54
improve their own practice and 66
improve their own relations with 83
improve their own situation and 141
improving their own condition and 55
include only our relations with 97
include those that restrict any 69
including their own potential for 227
including those for children and 51
including those for children with 43
including those who believed that 113
including those who disagree with 130
including those with physical and 55
incomes from this monarchy and 42
increase their own authority and 70
increase their own capacity for 51
increase their own prestige and 102
increase their own salaries and 46
increase their own security and 42
increase your lung capacity and 69
inferior sort are numerous and 51
ingenuous arts had softened his 42
initiate their own projects and 49
inquire into and consider all 118
inquire into his pursuits and 53
inquiry into our purposes and 58
insight into her condition and 93
insight into her problems and 80
insight into her situation and 46
insight into his condition and 354
insight into his problems and 386
insight into his relations with 104
insight into his situation and 53
insight into how decisions are 70
insight into how students are 42
insight into its problems and 59
intense love and affection for 60
intense will had mastered his 64
invalid when they conflict with 76
invited into his regiment all 70
irksome duty that washington had 80
