ideal purpose which had inspired 44
into account costs and benefits 144
into account first and foremost 247
into account rather than specifying 42
into account social and cultural 285
into account social and economic 368
into account under this provision 49
into alliance rather than continue 42
into between james and elizabeth 48
into british guiana and trinidad 112
into company where she receives 42
into contact under low pressure 58
into desired goods and services 69
into language under its authority 76
into measures which may possibly 42
into national plans for economic 48
into natural right and positive 58
into nucleic acids and proteins 172
into private grief and distress 65
into producing goods and services 65
into shallow water and grounded 44
into smaller towns and villages 62
into smaller units for purposes 95
into tangible goods and services 41
