if ever ancient saw spake 59
if ever matches are really 51
if five hundred men would 59
if four hundred and fifty 43
if great britain and japan 58
if great britain and russia 62
if great britain had given 43
if half mankind had sworn 56
if nothing unusual had taken 234
if nothing unusual was about 40
if only because both sides 44
if only because few people 58
if only because his father 43
if only because its author 49
if only because one could 87
if only because she could 217
if only because she knows 56
if only because she would 175
if only because that would 302
if only because they alone 71
if only because they appear 61
if only because they could 905
if only because they feared 90
if only because they might 137
if only because they never 43
if only because they offer 65
if only because they often 129
if only because they reveal 67
if only because they serve 69
if only because they share 137
if only because they stand 47
if only because they would 1050
if only because this would 501
if only because you could 54
if other factors are equal 437
if other factors are taken 47
if side effects are noted 59
if some magician had waved 43
if some mystery thou didst 262
if such measures are taken 143
if such members are found 153
if such officer has reason 44
if such persons are found 68
if such vehicle has first 41
if their amounts are fixed 169
if their answers are right 55
if their conduct that evening 58
if their desires are fully 77
if their incomes are below 152
if their madness and folly 150
if their moments are equal 205
if their numbers are large 43
if their numbers are small 84
if their parents are still 75
if their parents are wealthy 42
if their parents are willing 52
if their parents are working 43
if their parents had lived 56
if their parties are grown 134
if their sluices had burst 57
if there existed any doubt 51
if there remains any doubt 112
if these beliefs are false 44
if these factors are known 67
if these factors are taken 195
if these figures are taken 79
if these measures are taken 136
if these reports are false 45
if those classes had really 48
if three hundred and sixty 88
if your answers are right 106
if your enemies are hungry 172
if your friends can guess 52
if your majesty had given 68
if your muscles are tense 64
if your parents are alive 49
if your parents are still 81
if your parents are willing 84
if your partner can guess 82
if your pockets are empty 74
if your printer can print 194
if your servant has found 219
if your stockings set neatly 58
if your stockings sit neatly 114
in acting against that strong 51
in angle between two lines 67
in arms against his father 1077
in arms against his liege 45
in arms against his people 86
in arms against his royal 43
in arms against one petty 115
in awed mutters all round 166
in beings endowed with reason 157
in blue blazers and white 65
in blue dresses with white 40
in blue jackets and white 252
in blue letters with burnt 53
in blue uniform and white 50
in body language and facial 59
in body tissues and blood 44
in body tissues and fluid 172
in bringing forward his motion 122
in bringing forward old fungus 61
in bringing forward this motion 195
in bringing justice and mercy 44
in bringing together and keeping 127
in bringing together and uniting 115
in bringing together things which 47
in case reports and small 81
in cell division and growth 809
in cell mediated and tumor 97
in city streets and parks 126
in city streets and quiet 50
in clean blouses and extra 41
in cold dollars and cents 123
in cold storage for about 193
in cold storage for later 43
in cold storage for months 77
in cold vinegar and water 120
in dark corners and under 62
in dark despair and burying 82
in days between two dates 64
in deep concern and alarm 52
in deep trouble and would 60
in dire straits for money 278
in diving mammals and birds 356
in early infancy and later 242
in ethyl alcohol and water 143
in face perhaps ten times 59
in fact advance and change 104
in fact believe that solon 43
in fact carried out under 48
in fact chapter and verse 46
in fact endanger his throne 43
in fact everything for which 41
in fact everything that comes 54
in fact everything that could 301
in fact everything that forms 49
in fact everything that makes 99
in fact everything that would 83
in fact everything they could 68
in fine language with finer 40
in fine restore this noble 57
in fine spirits this evening 58
in fine spirits this morning 57
in fine together and wager 55
in fine velvets and laces 48
in five hundred and fifty 438
in five hundred and forty 122
in five hundred and sixty 242
in five hundred and thirty 188
in five hundred who would 74
in five minutes and would 42
in five minutes she would 108
in five minutes they would 130
in five minutes was sound 79
in five minutes you shall 62
in five minutes you would 77
in food retailing and dairy 70
in food science and human 59
in four hundred and fifty 1010
in four hundred and forty 190
in four hundred and sixty 424
in four hundred and thirty 494
in four minutes and fifty 131
in four minutes and forty 93
in four minutes and thirty 252
in full payment for goods 70
in full sympathy with every 123
in full together with costs 77
in full uniform and armed 155
in full uniform with sword 64
in gene function that occur 51
in good devotion and amity 81
in good manners and right 61
in good manners and social 43
in good spirits all round 46
in good spirits and asked 40
in good spirits and began 43
in good spirits and feeling 118
in good spirits and happy 97
in good spirits and hopes 111
in good spirits and looking 124
in good spirits and never 42
in good spirits and quite 110
in good spirits and still 41
in good spirits and would 92
in good spirits that evening 74
in good spirits that morning 56
in good spirits that night 69
in good spirits this evening 79
in good spirits this morning 289
in great anxiety and alarm 46
in great britain and about 194
in great britain and china 60
in great britain and every 42
in great britain and found 115
in great britain and israel 73
in great britain and italy 598
in great britain and japan 674
in great britain and later 332
in great britain and nearly 74
in great britain and others 60
in great britain and parts 144
in great britain and russia 295
in great britain and spain 150
in great britain and spread 108
in great britain and still 126
in great britain and under 98
in great britain and wales 230
in great britain and which 226
in great britain and whose 46
in great britain and would 84
in great britain are about 45
in great britain are based 69
in great britain are either 103
in great britain are found 55
in great britain are given 144
in great britain are known 46
in great britain are often 114
in great britain are owned 60
in great britain are shown 76
in great britain are still 271
in great britain are under 83
in great britain but which 52
in great britain for about 141
in great britain for basil 335
in great britain for every 63
in great britain for hurst 75
in great britain for nearly 189
in great britain for peter 117
in great britain for proof 57
in great britain for seven 42
in great britain for which 75
in great britain had begun 66
in great britain had grown 40
in great britain had risen 105
in great britain had taken 52
in great britain has given 53
in great britain has grown 90
in great britain has never 102
in great britain has often 81
in great britain has risen 129
in great britain has shown 165
in great britain has taken 62
in great britain long after 41
in great britain that could 72
in great britain that would 112
in great britain they would 68
in great britain was about 314
in great britain was built 42
in great britain was first 160
in great britain was found 47
in great britain was given 97
in great britain was nearly 44
in great britain was never 45
in great britain was quite 51
in great britain was still 116
in great britain was taken 85
in great britain who could 206
in great britain who might 40
in great britain who shall 87
in great britain who still 63
in great britain who would 216
in great britain with which 51
in great delight ran thither 70
in great jeopardy and peril 44
in great jeopardy long while 51
in great majesty and glory 50
in great matters and small 111
in great numbers all round 45
in great numbers and began 58
in great numbers and close 123
in great numbers and found 46
in great numbers and often 128
in great numbers and still 44
in great numbers and under 197
in great numbers and where 48
in great numbers and which 86
in great numbers and would 57
in great numbers are found 121
in great numbers had taken 64
in great numbers they either 93
in great numbers with tanks 93
in great poverty and others 44
in great spirits one morning 106
in great spirits that evening 48
in great spirits that night 86
in great straits for money 1317
in great trouble and danger 83
in great trouble and shame 74
in great variety and beauty 164
in great variety are found 63
in hard dollars and cents 186
in having carried her point 115
in having induced that silly 65
in having printed all names 42
in heart failure and shock 96
in high quarrel with count 45
in high schools and grade 64
in high schools and junior 608
in high schools for girls 55
in high society and ended 76
in high spirits and began 61
in high spirits and could 56
in high spirits and happy 109
in high spirits and looking 80
in high spirits and quite 59
in high spirits and under 101
in high spirits and would 84
in high spirits that evening 144
in high spirits that morning 89
in high spirits that night 251
in high spirits this evening 173
in high spirits this morning 208
in hugh patrick and henry 618
in huts covered with leaves 66
in india persons who shall 72
in india wrapped them close 85
in jail because they could 107
in land control and social 131
in late colonial new spain 69
in late imperial and modem 76
in late january and again 43
in late october and again 55
in length between two lines 42
in less skilled and lower 53
in life because they never 46
in living tissues and cells 40
in living together with others 43
in loving concern for others 48
in making certain that every 40
in making contact with others 240
in making contact with people 151
in making friends and getting 84
in making friends and keeping 46
in making friends with people 51
in making pleasure for others 61
in making saddles and boots 49
in many african and latin 416
in many animals and birds 71
