if a alters his course 57
if a battle was fought 102
if a blight had fallen 128
if a blight had passed 54
if a breeze had passed 45
if a brother and sister 205
if a bullet goes through 68
if a bullet had passed 93
if a bullet had struck 408
if a burden had fallen 122
if a burden had lifted 62
if a burden was lifted 46
if a client has already 43
if a corpse had spoken 108
if a family can afford 73
if a french and english 41
if a greater than itself 67
if a hammer had struck 51
if a higher than normal 61
if a larger and larger 54
if a linnet had hopped 79
if a lovely and tender 93
if a master was killed 57
if a nuclear war should 99
if a patent has issued 66
if a person can accept 41
if a person can afford 86
if a person can manage 45
if a person does become 43
if a person does something 361
if a person goes through 66
if a person had enough 115
if a person had something 55
if a person has agreed 44
if a person has already 321
if a person has become 154
if a person has cancer 57
if a person has enough 272
if a person has failed 91
if a person has learned 148
if a person has little 73
if a person has reached 57
if a person has something 78
if a person has worked 91
if a person was caught 61
if a person was forced 42
if a person was guilty 76
if a person was killed 125
if a person was struck 48
if a person was unable 91
if a person who wishes 41
if a person with normal 43
if a plague had struck 82
if a roller had passed 50
if a shadow had fallen 225
if a shadow had passed 187
if a shilling was enough 61
if a should die before 47
if a should die without 204
if a sleeping tear should 54
if a spirit had passed 61
if a spirit hath spoken 46
if a strike was called 82
if a sunbeam had fallen 43
if a talent for reasoning 49
if a thought had struck 271
if a weight had fallen 193
if a weight had lifted 101
if a weight was lifted 76
if a wicked man should 46
if a window had opened 163
if a window was broken 44
if a window was opened 42
if a writer has chosen 44
if a writer has something 54
if b should die without 70
if i adored her before 89
if i always saw clearly 85
if i caused you sorrow 95
if i failed and wished 57
if i looked long enough 390
if i missed this chance 47
if i needed any advice 50
if i needed any coddling 59
if i needed any further 205
if i passed you without 83
if i retain any memory 148
if i revoke that person 148
if i should die before 2280
if i should die without 166
if i should get caught 132
if i should get killed 42
if i should get wicked 49
if i should let myself 93
if i should not accept 80
if i should not arrive 91
if i should not behave 63
if i should not depart 74
if i should not follow 48
if i should not happen 83
if i should not indeed 50
if i should not insist 50
if i should not mention 45
if i should not prefer 50
if i should not refuse 70
