if all trade barriers were 46
if her whole innocent life 43
if his royal highness were 45
if his whole attention were 51
if its motion occupies more 41
if men would honestly make 40
if men would remember what 78
if not taken directly from 40
if one author composed more 119
if one could actually find 51
if one takes seriously what 50
if our lives depended upon 241
if she could actually feel 82
if she could discover what 110
if she could possibly come 75
if she could possibly find 71
if she could possibly have 328
if she could possibly help 612
if she could possibly know 56
if she could possibly make 66
if she could remember what 182
if she could remember when 42
if she could scarcely keep 63
if she might actually have 59
if she might possibly have 42
if she really believed what 80
if she would consider coming 104
if she would consider giving 42
if she would consider having 58
if she would consider moving 57
if she would consider taking 125
if they could continue their 104
if they could convince their 84
if they could describe what 51
if they could discover some 59
if they could discover what 93
if they could identify their 53
if they could identify what 44
if they could maintain their 249
if they could otherwise have 57
if they could overcome their 226
if they could overcome these 75
if they could persuade their 135
if they could possibly find 109
if they could possibly have 266
if they could possibly help 605
if they could possibly know 54
if they could possibly make 54
if they could preserve their 99
if they could remember their 52
if they could remember what 97
if they could retrieve their 43
if they could scarcely hold 54
if they might possibly have 73
if they really believed their 69
if they really believed what 116
if they still retained some 99
if they still retained their 79
if they would assemble their 83
if they would complete their 48
if they would consider giving 56
if they would consider having 40
if they would consider moving 44
if they would consider taking 86
if they would consider their 44
if they would consider what 76
if they would continue their 80
if they would continue upon 59
if they would exercise their 47
if they would maintain their 215
if they would organize their 41
if they would otherwise have 182
if they would otherwise lose 48
if they would postpone their 49
if they would preserve their 610
if they would renounce their 383
if they would transfer their 93
if this could possibly have 44
if thou hadst suffered great 45
if you allow yourself some 44
if you could convince your 41
if you could describe what 57
if you could describe your 45
if you could maintain your 86
if you could overcome your 75
if you could persuade your 143
if you could possibly come 148
if you could possibly find 94
if you could possibly give 94
if you could possibly have 135
if you could possibly help 146
if you could possibly lend 64
if you could possibly make 80
if you could possibly take 62
if you could possibly tell 55
if you could preserve such 52
if you could remember what 91
if you could sometime come 48
if you count yourself among 40
if you might possibly have 42
if you shall continue some 64
if you shall continue such 40
if you shall hereafter form 208
if you still remember your 42
if you value yourself upon 53
if you would approach your 67
if you would complete your 53
if you would consider coming 83
if you would consider giving 57
if you would consider having 83
if you would consider making 45
if you would consider taking 106
if you would consider what 49
if you would continue there 45
if you would continue your 77
if you would maintain your 63
if you would otherwise have 45
if you would preserve your 200
in all cases depended upon 41
in all cases disappear from 67
in all cases excluded from 55
in all cases obtained from 63
in all cases presided over 91
in all cases whatever over 80
in all local authority areas 63
in all minds tempered like 44
in all times selected from 46
in all which concerns their 52
in and about chancery lane 82
in and about washington such 470
in any civil proceeding what 56
in any given concrete case 83
in any given direction from 111
in any given direction mere 86
in any given direction must 77
in any given direction will 178
in any given industry will 136
in any given instance must 95
in any given instance there 63
in any given instance were 50
in any given instance what 54
in any given instance when 95
in any given instance will 363
in any given intuition must 118
in any given literary work 44
in any given locality from 83
in any given locality must 43
in any given locality there 45
in any given locality will 103
in any given situation have 54
in any given situation must 184
in any given situation only 142
in any given situation some 41
in any given situation there 818
in any given situation what 163
in any given situation when 71
in any given situation will 828
in any large american city 1152
in any latin american city 53
in any major american city 701
in any sense detracting from 49
in any sense distinct from 110
in any sense separate from 99
in any shape inquired into 64
in any small american town 86
in any social situation will 53
in both cases generous areas 51
in both cases resulted from 53
in easy walking distance from 147
in head start programs have 56
in her first american film 135
in her first broadway play 115
in her first broadway role 41
in her first broadway show 68
in her first dramatic role 73
in her first entrance into 56
in her first original form 41
in her frank uplifted eyes 84
in her large immature hand 72
in her right temporal lobe 179
in her still beautiful face 51
in her usual cheerful tone 71
in his above mentioned book 99
in his above mentioned work 103
in his award assesses such 49
in his black business suit 43
in his black clerical garb 44
in his daily business life 119
in his daily forenoon walk 60
in his dress exceeded most 139
in his field suddenly rose 47
in his first american film 143
in his first begotten into 41
in his first broadway play 138
in his first broadway show 106
in his first dispatch from 68
in his first dramatic role 99
in his first eighteen years 49
in his first entrance into 40
in his first entrance upon 61
in his first excursion into 60
in his first fireside chat 183
in his first fourteen years 48
in his first literary work 54
in his fringed buckskin suit 44
in his large resolute hand 40
in his march casually fell 62
in his meanly unctuous tone 60
in his noble teutonic beard 45
in his opening argument upon 210
in his poetic imitation were 77
in his quiet progress over 110
in his right shoulder from 47
in his right temporal lobe 43
in his rocky mountain news 41
in his slimy progress from 58
in his usual careless tone 55
in his usual cheerful mood 51
in his usual cheerful tone 59
in his usual friendly tone 47
in his usual moralizing vein 53
in his usual sauntering gait 57
in his usual vigorous health 50
in his white tropical suit 41
in hot water containing some 64
