cab alongside the driver 43
can abstract the common 89
can acquires the tender 230
can activate an enzyme 51
can activate by clicking 47
can activate by pressing 50
can activate the clotting 105
can activate the device 54
can activate the entire 137
can activate the enzyme 327
can activate the immune 151
can activate the latent 49
can activate the memory 49
can activate the object 58
can activate the release 41
can activate the rights 54
can activate the switch 46
can activate the system 123
can actively do something 92
can actually be argued 86
can actually be better 642
can actually be boiled 40
can actually be bought 177
can actually be broken 261
can actually be called 564
can actually be caught 43
can actually be caused 202
can actually be changed 400
can actually be cheaper 160
can actually be chosen 76
can actually be closed 42
can actually be created 320
can actually be damaging 272
can actually be driven 57
can actually be fairly 70
can actually be faster 336
can actually be filled 77
can actually be fitted 81
can actually be forced 76
can actually be formed 199
can actually be gained 85
can actually be greater 178
can actually be harder 125
can actually be harmed 80
can actually be helped 70
can actually be higher 205
can actually be highly 94
can actually be killed 54
can actually be larger 120
can actually be learned 161
can actually be linked 94
can actually be loaded 51
can actually be looked 88
can actually be mapped 73
can actually be opened 59
can actually be passed 75
can actually be picked 58
can actually be placed 322
can actually be played 230
can actually be pretty 177
can actually be proved 512
can actually be proven 142
can actually be pulled 84
can actually be pushed 52
can actually be raised 120
can actually be reached 442
can actually be sensed 57
can actually be served 82
can actually be shaped 53
can actually be shared 51
can actually be slower 45
can actually be solved 416
can actually be something 59
can actually be stated 102
can actually be stored 192
can actually be taught 322
can actually be termed 64
can actually be tested 321
can actually be thought 368
can actually be traced 1769
can actually be traded 45
can actually be treated 214
can actually be turned 360
can actually be useful 484
can actually be varied 47
can actually be viewed 570
can actually be worked 128
can actually do better 386
can actually do damage 91
can actually do little 55
can actually do something 1537
can actually do without 149
can actually go beyond 84
can actually go further 46
can actually go inside 70
can actually go through 345
can advocate on behalf 90
can alienate the domain 40
can alienate to someone 50
can alleviate so severe 182
can alleviate the burden 144
can alleviate the effect 45
can alleviate the impact 79
can alleviate the misery 103
can alleviate the sorrow 58
can alleviate the stress 310
can alleviate the tension 57
can allocate the memory 69
can appraise the effect 42
can approach an answer 168
can approach an object 43
can approach it through 162
can approach it without 351
can approach no closer 101
can approach or exceed 291
can approach or recede 55
can approach or retire 44
can approach the actual 76
can approach the answer 98
can approach the center 70
can approach the client 43
can approach the courts 67
can approach the design 150
can approach the divine 361
can approach the future 237
can approach the gospel 134
can approach the height 155
can approach the higher 45
can approach the horror 49
can approach the island 70
can approach the issues 96
can approach the latter 53
can approach the limits 44
can approach the market 141
can approach the matter 354
can approach the nature 62
can approach the nearest 51
can approach the object 71
can approach the person 94
can approach the public 86
can approach the reality 93
can approach the sacred 70
can approach the second 45
can approach the shores 54
can approach the status 46
can approach the target 81
can approach the teacher 41
can approach the temple 40
can approach the united 80
can arguably be called 212
can arguably be linked 48
can arguably be placed 42
can arguably be traced 278
can arguably be viewed 162
can arrogate to itself 602
