calamities were less remembered 45
calculated from food composition 79
calculated from mass composition 67
calculated from other information 102
calculated from other parameters 57
calculated from other properties 64
calculated from past experience 69
calculated from some simplified 58
calculated from their composition 67
calculated from their definitions 177
calculated from their respective 262
calculated from these assumptions 55
calculated from these expressions 165
calculated from these parameters 601
calculated from these quantities 108
calculated much more accurately 88
calculation have been discovered 41
campaigned even more vigorously 45
candidates from their respective 97
candidates have been considered 174
candidates have been determined 47
candidates have been discovered 59
candidates have been eliminated 136
candidates have been identified 732
candidates have been successful 194
candidates into three categories 45
candidates must have sufficient 76
candidates were also successful 41
candidates were more successful 76
capacities have been calculated 58
capacities have been determined 125
capacities have been identified 49
capacitors have been fabricated 60
capitalism have been eliminated 56
capitalism look more attractive 83
carcinomas have been classified 44
carcinomas have been identified 69
categories have been calculated 49
categories have been classified 96
categories have been considered 223
categories have been criticized 45
categories have been designated 103
categories have been determined 203
categories have been discovered 74
categories have been elaborated 43
categories have been eliminated 120
categories have been formulated 65
categories have been identified 1222
categories have been introduced 189
categories have been recognized 158
categories have been subdivided 110
categories were also identified 49
cemeteries have been desecrated 82
cemeteries have been discovered 401
cemeteries have been identified 131
centralism free from stereotyped 56
centralizing ever more manifestly 43
ceremonies have been instituted 55
ceremonies have been introduced 97
ceremonies have been simplified 50
ceremonies were very impressive 82
chaperones have been identified 60
characters from their surroundings 43
characters have been completely 71
characters have been considered 154
characters have been criticized 48
characters have been deciphered 57
characters have been deservedly 42
characters have been determined 116
characters have been discovered 334
characters have been eliminated 120
characters have been identified 418
characters have been introduced 709
characters have been recognized 107
characters have been reproduced 42
characters have been sacrificed 41
characters have been simplified 202
characters have been strengthened 53
characters have been translated 57
characters have been vindicated 43
characters into other characters 41
characters into three categories 62
characters were more completely 47
characters were more consistent 88
characters were more sanctified 48
cheekbones were more pronounced 203
cheerfully give their assistance 71
cheerfully lent their assistance 42
chromosome ends from degradation 41
chromosome have been identified 115
chronicles have been translated 68
circulated among those interested 78
circulation among those interested 44
circulation have been considered 49
circulation have been identified 42
classified into five categories 8506
classified into four categories 20885
classified into four generations 45
classified into many categories 321
classified into nine categories 452
classified into other categories 161
classified into some categories 42
classified into such categories 273
classified into their appropriate 64
classified into their respective 162
classified into these categories 402
classified into three approaches 92
classified into three categories 47091
classified into three components 78
classified into three generations 108
classified into three structural 61
classified into three subclasses 66
