call stored procedures from 59
came almost completely from 111
came almost immediately from 185
came almost immediately into 138
came almost immediately upon 111
came almost immediately when 45
care versus supportive care 243
case almost everywhere else 82
case neither legislation will 112
case without assistance from 45
cash without appreciable loss 64
cash without substantial loss 49
cast severe reflections upon 52
cell volume calculated from 81
chip memory management unit 264
city passed insensibly into 68
city planning commissions have 71
city planning commissions were 74
city without encountering muck 49
clear nuclear superiority over 52
clear policy directives from 44
clear policy guidelines from 46
coal called bituminous coal 41
coil regions calculated from 96
come across expressions like 228
come across expressions such 51
come across statements like 264
come across statements such 99
come almost completely from 43
come almost immediately upon 68
come through remarkably well 51
come without preparation upon 54
come without reluctance into 63
