cakes like sugar plums 41
calling into action every 64
calling other people names 98
calling such meeting shall 92
calling their names aloud 51
calling those anions which 82
calling upon every ounce 54
calls during working hours 534
calls forth roman drops 121
calls from hotel rooms 268
calls from people about 41
calls from people looking 203
calls from people seeking 270
calls from people telling 184
calls from people wanting 1248
calls from people whose 250
calls from phone booths 212
calls from phone boxes 51
calls from white house 70
calls from women wanting 45
calls here every morning 81
calls into action every 234
camel hair paint brush 127
camps have taken place 58
camps were named after 72
canal from which water 44
canal into which water 40
canoes were close under 44
cards during working hours 43
cards into piles based 60
cards into seven piles 63
cared less about anything 172
cared less about either 177
cared less about getting 63
cared less about money 100
cared less about social 58
cared more about finding 44
cared more about getting 253
cared more about helping 64
cared more about keeping 114
cared more about money 354
cared more about others 75
cared more about people 112
cared more about pleasing 105
cared more about serving 52
cared more about winning 120
cared much about anything 318
cared much about either 55
cared much about money 453
cared nothing about anything 90
cared nothing about either 113
cared nothing about heroes 46
cared nothing about human 53
cared nothing about money 409
cared nothing about music 51
cared only about finding 81
cared only about getting 183
cared only about money 155
cared only about pleasing 40
cared only about winning 79
cared only about writing 40
cares five cents about 42
cares more about getting 236
cares more about money 169
cares more about people 228
cares more about winning 134
cares nothing about anything 484
cares nothing about dress 47
cares nothing about either 50
cares nothing about money 73
cares only about getting 153
cares only about money 197
cares only about winning 62
cargo into small boats 60
cargo worth sixty times 81
carry away flood water 51
carry away human waste 41
carry away storm water 113
carry away waste water 289
carry back seven which 40
carry heavy loads which 42
carry heavy teaching loads 83
carry home every night 41
carry into nearly every 53
carry just about anything 88
carry more water vapor 185
carry much money about 68
carry news items about 46
carry only light loads 81
carry only small loads 91
carry their black brows 74
carry their coals seven 43
carry their noses close 44
carry their ships within 104
carry their state either 45
carry their tails erect 56
carry their whole study 122
carry very large loads 99
carry your hands easily 59
carry your house aloft 71
carry your story fifty 77
carts were hauling goods 57
cases also occur where 105
cases fall within either 49
cases from cases where 61
cases from every state 64
cases from saudi arabia 82
cases from state court 112
cases have found state 46
cases have taken place 313
cases having taken place 40
cases healing takes place 104
cases last above cited 332
cases like agent orange 65
cases most often cited 137
cases must arise where 46
cases must occur where 57
cases must often occur 41
cases reading aloud would 48
cases such period shall 54
cases take place within 50
cases there arise within 49
cases there takes place 82
cases there would appear 190
cases there would still 62
cases three months after 41
cases took place after 59
cases took place under 44
cases took place within 44
cases union takes place 52
cases very large doses 81
cases were cases where 47
cases were cited where 158
cases were cited which 99
cases were cured after 72
cases were cured within 54
cases were filed after 47
cases were filed under 189
cases were found after 40
cases were found where 875
cases were found which 144
cases were found within 51
cases were known where 225
cases were negro women 43
cases were never tried 61
cases were noted where 167
cases were still alive 48
cases were still pending 1204
cases were still under 257
cases were tried under 168
cases were under appeal 50
cases will arise where 573
cases will arise which 94
cases will exist where 44
cases will never equal 41
cases will occur where 271
cases will occur which 67
cases will often arise 43
cases will often occur 139
cases will often reveal 54
cases will prove fatal 49
caste from whose hands 71
casting away every earthly 51
casting their fishing lines 42
casting those large works 43
casting vote which shall 54
casts some doubt about 118
catch cold walking about 73
catch fire after brief 68
catch fish under water 60
catch good seamen napping 44
catch just about anything 65
catch some sleep after 49
catch some sleep while 107
catch some sound which 70
catch their exact shade 59
catch their first sight 265
catch your first sight 89
catch your royal fleet 129
catch your trout alive 46
cause from which change 70
cause from which every 93
cause harm under given 40
cause high blood sugar 146
cause many hearts which 181
cause more rapid growth 265
cause more sweet could 43
cause more water vapor 72
