cable connections should be 227
canal immediately behind the 80
cargo containers entering the 55
carry briefcases around to 49
carry destruction through the 112
carry information across the 177
carry information around the 45
carry information relating to 124
carry information through the 87
carry information toward the 115
carry particular weight in 101
carry propagation through the 90
carry substantial weight in 197
carry sufficient energy to 178
carry sufficient oxygen to 602
carry sufficient weight in 168
carry sufficient weight to 690
carry tremendous weight in 127
cases application should be 73
cases considered earlier in 68
cases discharges itself in 48
cases eventually reached the 64
cases identified through the 66
cases illustrate clearly the 50
cases immediately before the 43
cases impossible without the 55
cases instituted before the 60
cases manifested itself in 41
cases precautions should be 43
cases preference should be 56
cases pronounced enough to 68
cause appreciable changes in 1199
cause appreciable damage to 564
cause appreciable errors in 305
cause appreciable injury to 113
cause appropriate changes in 136
cause autoimmune disease in 87
cause biochemical changes in 273
cause chromosome damage in 106
cause collateral damage to 325
cause compensating changes in 110
cause connective tissue to 88
cause consumption spending to 152
cause continuous changes in 52
cause correlated changes in 137
cause cumulative damage to 191
cause deleterious changes in 127
cause democratic nations to 118
cause detectable changes in 473
cause dimensional changes in 214
cause electrical changes in 114
cause electrical damage to 40
cause hereditary changes in 46
cause incidental damage to 85
cause intestinal disease in 123
cause investment spending to 202
cause mechanical damage to 1291
cause mechanical injury to 541
cause mechanical trauma to 204
cause negligible changes in 149
cause observable changes in 238
cause particular damage to 46
cause persistent changes in 123
cause pronounced changes in 362
cause radioactive debris to 182
cause reciprocal changes in 174
cause remarkable changes in 127
cause resentment amongst the 86
cause resentment toward the 116
cause reversible changes in 137
cause structural changes in 1470
cause structural changes of 97
cause structural changes to 169
cause structural damage in 193
cause structural damage or 183
cause structural damage to 1992
cause subsequent changes in 206
cause subsequent damage to 85
cause substantial changes in 2574
cause substantial changes to 139
cause substantial damage in 166
cause substantial damage or 264
cause substantial damage to 2925
cause substantial delays in 174
cause substantial errors in 340
cause substantial injury in 153
cause substantial injury or 54
cause substantial injury to 3020
cause substantial losses in 342
cause substantial losses of 232
cause substantial losses to 314
cause substantial public or 49
cause substantial shifts in 112
cause sufficient changes in 110
cause sufficient damage to 947
cause sufficient injury to 143
cause sufficient stress to 126
cause superficial damage to 45
cause systematic changes in 159
cause systematic errors in 454
cause tremendous changes in 257
cause tremendous damage to 971
cause tremendous losses to 60
cause unexpected changes in 301
causing appreciable changes in 66
causing appreciable damage to 110
causing collateral damage to 81
causing instruction therein to 52
causing investment spending to 45
causing mechanical damage to 128
causing mechanical injury to 50
causing pronounced changes in 53
causing structural changes in 240
causing structural damage to 485
causing substantial changes in 153
causing substantial damage to 1467
causing substantial injury to 326
causing substantial losses to 97
causing sufficient damage to 135
causing tremendous damage to 216
causing tremendous losses to 59
ceased publication before the 165
cells accumulate around the 119
cells completely devoid of 49
cells immediately around it 55
cells immediately around the 210
cells immediately behind the 72
cells immediately inside the 46
cells progressed through the 56
cells stimulated through the 77
chain covalently linked to 137
chain department stores in 95
chain management refers to 196
chain management should be 109
chain management system in 42
chain management system is 134
chain management system to 136
chain management through the 42
chain termination occurs at 44
chain termination occurs by 146
chain termination reaction is 49
chair immediately behind the 77
change activities should be 50
change appreciably across the 123
change appreciably through the 64
change completely alters the 42
change cumulative effect of 520
change electrical energy to 334
change frequently enough to 112
change government policy by 66
change government policy in 89
change government policy on 100
change government policy or 66
change government policy to 52
change information stored in 117
change management should be 252
change management skills to 58
change management system is 238
change management system to 119
change manifested itself in 1042
change mechanical energy to 61
change procedures should be 93
change propagates through the 65
change relatively little in 366
change relatively slowly in 186
change strategies should be 182
change traditional methods of 147
changing consumption habits of 49
changing electrical energy to 83
changing facilities should be 119
changing government policy in 60
changing government policy on 69
changing government spending or 139
changing mechanical energy to 54
changing traditional methods of 48
chase reproduced itself in 53
check determines whether the 140
chest compression should be 398
chest discomfort caused by 60
chest discomfort should be 50
chest immediately behind the 56
chest measurement should be 48
chest radiography should be 208
chick erythrocyte nuclei in 210
chief advantages gained by 108
chief commanders should be 76
chief complicating factor in 43
chief conclusions forced on 49
chief conclusions reached by 56
chief conclusions reached in 52
chief constables should be 47
chief contributing causes of 129
chief contributing causes to 58
chief contributing factor in 179
chief contributing factor is 44
chief contributing factor to 225
chief decorative feature of 121
chief dependence should be 73
chief difference appears to 205
chief difference seemed to 54
chief difficulty appears to 277
chief difficulty arises in 281
chief difficulty likely to 46
chief difficulty occurs in 159
chief difficulty seemed to 216
chief disappeared behind the 66
chief distinction appears to 47
chief distinguishing feature in 58
chief distinguishing feature is 429
chief distinguishing feature of 1351
chief distributing center of 81
chief educational agency in 57
chief educational agency of 72
chief etiological factor in 184
chief etiological factor is 64
chief executives across the 84
chief executives around the 86
chief executives should be 469
chief executives tended to 49
chief expressive actions in 45
chief historical events in 54
chief historical events of 132
chief historical source of 50
chief importance indeed of 49
chief importance should be 146
chief industries should be 42
chief inspiration behind the 123
chief magistracy should be 240
chief magistrate called the 76
chief magistrate chosen by 52
chief magistrate enters the 91
chief magistrate should be 339
chief ministerial office in 46
chief objectives should be 41
chief ostensible object of 56
chief personages engaged in 58
chief predisposing causes of 379
chief predisposing factor in 60
chief principles relating to 54
chief regulative agents in 45
chief scientific bodies of 46
chief scientific device of 42
chief settlement belonging to 63
chief structural feature of 93
chief subversive thinker of 58
chief supporters amongst the 42
chief veterinary surgeon of 114
child allowances should be 135
child eventually begins to 58
child immediately before the 192
child immediately begins to 81
child interaction appears to 40
child interaction should be 272
child interaction styles in 94
child management skills in 103
child management skills on 66
child management skills to 146
child nutritional status in 808
child nutritional status is 269
child ordinarily begins to 40
child progressed through the 96
child progresses through the 1400
child progresses toward the 40
child protective agency in 314
child protective agency is 296
child protective agency or 302
child protective agency to 303
child protective system in 104
child protective system is 49
child psychiatric clinic in 113
child psychology should be 171
chose mistresses indeed by 53
cited literature should be 480
cited references should be 234
civil authorities before the 42
civil authorities deemed it 67
civil authorities failed to 161
civil authorities refuse to 163
civil authorities should be 343
civil authorities sought to 62
civil authorities through the 53
civil authorities wanted to 45
civil authorities without the 47
civil commitment should be 97
civil examination system in 51
civil government appears to 47
civil government assume the 57
civil government became the 40
civil government before the 62
civil government belongs to 43
civil government beyond the 59
civil government instead of 54
civil government itself of 50
civil government seemed to 52
civil government should at 54
civil government should be 1188
civil government through the 87
civil government without the 70
civil magistrate before the 100
civil magistrate beyond the 113
civil magistrate orders to 56
civil magistrate should be 119
claim hereditary rights to 54
