cabs and coaches too 98
cafe and marched out 132
cafe and ordered two 52
cafe was crowded and 72
cafe was crowded with 295
cafe with paradox and 89
cage and abdomen and 54
cage and abdomen are 94
cage and brought him 62
cage and brought out 76
cage and carried him 89
cage was covered with 363
cage was removed and 93
caging her between his 83
cake and almonds and 58
cake and berries for 41
cake and candles and 182
cake and candles for 44
cake and cookies and 225
cake and cookies for 84
cake and custard and 45
cake and drummed them 144
cake and garnish with 114
cake and vanilla ice 359
cake for dessert and 155
cake for herself and 148
cake for himself and 58
cake was brought out 406
cake was covered with 182
cake was wheeled out 152
cake with almonds and 56
cake with apricot jam 221
cake with candles and 296
cake with candles for 57
cake with caramel icing 151
cake with coconut icing 128
cake with raisins and 140
cake with vanilla ice 353
cake with vanilla icing 165
calf was branded with 81
calf was observing her 135
call and arranged for 83
call and assured her 41
call and believe him 88
call and command all 86
call and confirm that 174
call and consult with 243
call and counsel you 113
call and decided that 112
call and discuss this 45
call and discuss with 54
call and examine any 144
call and examine for 262
call and examine his 349
call and examine our 288
call and examine them 296
call and explain how 66
call and explain that 275
call and explain why 201
call and express his 104
call and inquire for 256
call and inquire how 142
call and inspect our 259
call and invited him 45
call and perform his 55
call and procure him 100
call and provide for 101
call and purpose for 43
call and realized that 45
call and reassure her 102
call and request for 40
call and request one 45
call and request that 193
call and respond with 49
call and suggest that 70
call and welcome you 96
call any function that 156
call any witness who 80
call being logical and 120
call each company and 126
call for alliance with 48
call for amnesty for 137
call for answers and 117
call for answers that 353
call for apology and 97
call for balance and 145
call for behavior that 198
call for capital and 54
call for careful and 548
call for charity and 135
call for clarity and 216
call for comment and 464
call for comment are 276
call for complex and 52
call for contact with 45
call for control and 61
call for counsel and 44
call for courage and 812
call for creative and 162
call for decency and 93
call for decided and 107
call for decision and 426
call for defiance and 479
call for details and 366
call for dialogue and 376
call for dialogue with 456
call for dignity and 54
call for doctors and 139
call for drastic and 115
call for economy and 172
call for entries for 251
call for everything that 49
call for exertion and 111
call for federal aid 324
call for foreign aid 236
call for freedom and 1160
call for freedom for 230
call for freedom that 46
call for freedom was 104
call for general and 194
call for harmony and 150
call for heroism and 42
call for honesty and 143
call for ingenuity and 208
call for inquiry and 218
call for instant and 48
call for justice and 2402
call for justice for 658
call for justice that 149
call for justice was 67
call for justice with 42
call for letters and 162
call for liberty and 383
call for liberty now 158
call for liberty was 157
call for loyalty and 192
call for measures that 307
call for medical aid 902
call for medical and 52
call for modesty and 47
call for national and 346
call for outside aid 115
call for patient and 176
call for payment and 119
call for payment for 127
call for persons and 1858
call for persons with 57
call for prayers and 143
call for prayers for 234
call for protest and 41
call for radical and 99
call for receive and 75
call for records and 307
call for redress and 42
call for reforms and 250
call for reforms that 199
call for regular and 43
call for renewal and 290
call for renewed and 65
call for repairs and 56
call for reports and 360
call for research and 560
call for research that 578
call for respect and 322
call for respect for 1080
call for returns and 331
call for revision and 258
call for schools and 48
