cab drivers refused to 64
cab stopped outside the 98
can abandon herself to 83
can abandon himself to 502
can abandon oneself to 79
can abolish poverty by 55
can abolish slavery in 152
can absolve himself of 147
can account because it 43
can achieve according to 47
can achieve against the 67
can achieve balance by 66
can achieve balance in 92
can achieve because of 81
can achieve between the 50
can achieve control in 40
can achieve control of 211
can achieve depends on 200
can achieve economy of 42
can achieve effects of 54
can achieve everything by 45
can achieve everything in 40
can achieve exactly the 292
can achieve freedom in 40
can achieve heights of 52
can achieve mastery of 144
can achieve moments of 50
can achieve results as 94
can achieve results by 446
can achieve results in 219
can achieve results of 55
can achieve roughly the 40
can achieve similar or 45
can achieve success as 194
can achieve success at 90
can achieve success by 319
can achieve success if 120
can achieve success in 1294
can achieve success on 79
can achieve success or 42
can achieve victory by 81
can achieve victory in 88
can achieve wonders in 58
can acquire control of 225
can acquire everything in 93
can acquire mastery of 42
can address aspects of 52
can address himself to 542
can address matters of 47
can address oneself to 51
can address several of 47
can advance according to 51
can advance against the 88
can advance himself by 42
can advance matters by 66
can advance rapidly in 53
can advance towards the 153
can anchovy fillets in 50
can anybody believe in 43
can appoint counsel to 431
can appoint himself as 47
can appoint members of 88
can appoint members to 49
can appoint persons to 56
can approve himself to 43
can attract capital by 57
can attract millions of 54
can attract support to 64
can balance against the 45
can balance between the 47
can balance forever on 46
can balance himself on 78
can believe himself an 87
can believe himself to 167
can benefit because the 64
can benefit himself by 64
can benefit millions of 44
can benefit society as 203
can benefit society by 114
can benefit society in 53
can briefly discuss the 126
can briefly examine the 216
can briefly explain the 92
can briefly outline the 124
can capture aspects of 52
can certain aspects of 65
can clarify aspects of 49
can clarify matters by 74
can closely control the 86
can closely examine the 155
can closely imitate the 41
can closely monitor the 251
can closely observe the 133
can closely predict the 54
can cluster together in 58
can collect against the 58
can collect between the 72
can collect damages if 60
can collect samples of 148
can collect together in 60
can collect together the 119
can combine according to 50
can combine against the 67
can combine aspects of 74
can combine efforts to 47
can combine features of 68
can combine several of 210
can combine together in 106
can combine together to 384
can comfort himself by 79
can command against the 41
can command because he 71
can command himself so 48
can command millions of 43
can command outside the 77
can command respect by 43
can command respect in 106
can command respect or 129
can command success in 41
can commend himself to 54
can comment briefly on 64
can compare against the 56
can compare degrees of 55
can compare features of 43
can compare himself to 148
can compare results of 56
can compete against the 536
can compete because of 42
can compete equally in 48
can compute exactly the 95
can conduct classes in 51
can conduct current in 257
can conduct himself as 42
can conduct himself in 171
can conduct research in 138
can conduct research on 218
can conduct research to 91
can conduct searches by 50
can conduct searches of 49
can conduct surveys to 47
can confide everything to 47
can confine herself to 49
can confine himself to 576
can confine oneself to 149
can conform himself to 121
can connect together in 42
can connect together the 48
can consist largely of 94
can console herself by 53
can console himself by 222
can console himself in 68
can consult chapter iv 56
can contain billions of 119
can contain depends on 106
can contain details of 56
