cab with my portmanteau 59
can act as activators 88
can act as adjectives 107
can act as amplifiers 60
can act as antecedent 108
can act as arbitrator 71
can act as assistants 45
can act as autonomous 70
can act as benchmarks 50
can act as camouflage 41
can act as collateral 127
can act as conductors 76
can act as consultant 112
can act as containers 137
can act as deterrents 162
can act as diffraction 82
can act as dislocation 63
can act as electrical 45
can act as generators 58
can act as guarantors 49
can act as guidelines 180
can act as incentives 125
can act as indicators 220
can act as information 254
can act as inhibitors 328
can act as insulators 87
can act as lubricants 43
can act as mechanical 66
can act as mechanisms 48
can act as modulators 47
can act as motivators 103
can act as pacemakers 53
can act as phagocytes 77
can act as precursors 288
can act as protective 151
can act as protectors 43
can act as recipients 64
can act as references 47
can act as regulators 66
can act as regulatory 54
can act as reservoirs 408
can act as stimulants 111
can act as structural 49
can act as substitute 169
can act as substrates 334
can act as surrogates 145
can act in accordance 1222
can act in combination 212
can act in conformity 128
can act in conjunction 238
can act in cooperation 58
can act in deliberate 77
can act in solidarity 51
can act on immediately 44
can act on individual 48
can act on information 107
can act on principles 69
can act to accelerate 87
can act to coordinate 80
can act to discourage 58
can act to facilitate 155
can act to neutralize 51
can add an application 94
can add an appropriate 103
can add an attractive 93
can add an explanation 47
can add an individual 92
can add my attestation 52
can add no information 46
can add or substitute 189
can add the appropriate 323
can add the attributes 47
can add the capability 78
can add the components 80
can add the constraint 83
can add the difference 62
can add the equivalent 158
can add the experience 49
can add the individual 256
can add the information 271
can add the numerators 123
can add the observation 112
can add to individual 43
can aid an individual 140
can aid in assessment 54
can aid in constructing 65
can aid in distinguishing 650
can aid in establishing 626
can aid in facilitating 51
can aid in implementing 66
can aid in interpreting 261
can aid the assessment 42
can aid the government 58
can aid the individual 576
can aid the instructor 56
can aid the management 62
can aid the programmer 41
can all be accurately 174
can all be adequately 208
can all be appreciated 102
can all be approached 148
can all be appropriate 82
can all be attributed 1366
can all be calculated 857
can all be classified 1819
can all be completely 121
can all be components 47
can all be compressed 60
can all be configured 149
can all be considered 4273
can all be contrasted 43
can all be contributing 81
can all be controlled 982
can all be correlated 182
can all be criticized 84
can all be cultivated 91
can all be customized 90
can all be decomposed 75
can all be designated 72
can all be determined 1465
can all be discovered 144
can all be distinctly 55
can all be documented 123
can all be downloaded 121
can all be duplicated 193
can all be eliminated 443
can all be encouraged 96
can all be enumerated 63
can all be evaporated 45
can all be expressions 80
can all be fabricated 64
can all be formulated 237
can all be identified 1520
can all be implicated 51
can all be indications 48
can all be indicators 65
can all be influenced 350
can all be influential 41
can all be integrated 893
can all be introduced 190
can all be maintained 292
can all be multiplied 78
can all be paralleled 476
can all be positively 48
can all be potentially 45
can all be predicated 62
can all be profitably 65
can all be programmed 106
can all be pronounced 54
can all be propagated 85
can all be quantified 106
can all be recognized 471
can all be reconciled 190
can all be registered 49
can all be reproduced 167
can all be separately 54
can all be simplified 58
can all be stimulated 57
can all be strengthened 53
can all be structured 50
can all be successful 174
can all be summarized 594
can all be surmounted 49
can all be symbolized 52
can all be synthesized 112
can all be translated 551
can all be understood 3778
can all be undertaken 138
can all be visualized 188
can all the characters 45
can all the information 68
can and do accomplish 771
can and do accumulate 182
can and do administer 41
can and do anticipate 119
can and do appropriate 63
can and do articulate 113
can and do assimilate 104
can and do capitalize 54
can and do compensate 76
can and do complement 58
can and do comprehend 109
can and do consciously 105
can and do constantly 556
can and do constitute 142
can and do contradict 46
can and do contribute 2833
can and do deliberate 56
can and do distribute 90
can and do eventually 57
can and do experience 1803
can and do facilitate 94
can and do frequently 751
can and do generalize 54
can and do interbreed 391
can and do intermarry 43
can and do manipulate 557
can and do perpetuate 97
can and do profoundly 55
can and do promulgate 83
can and do substitute 210
can and do supplement 163
can and do understand 1251
can and to understand 47
can any thing unchangeable 70
can art be considered 76
can ask an individual 127
can ask the appropriate 116
can ask the authorities 60
can ask the bankruptcy 98
can ask the department 62
can ask the government 657
can ask the individual 237
can ask the instructor 87
can ask the management 49
can ask the pharmacist 175
can ask the respondent 274
can bear no comparison 2063
can bear the application 117
can bear the comparison 131
can bear the frustration 43
can bear the loneliness 81
can bear the punishment 214
can bear the reproaches 112
can bear the temptations 141
can bear the tremendous 52
can beat the australians 78
can beat the competition 228
can both be accurately 54
can both be attributed 168
can both be calculated 267
can both be classified 219
can both be completely 44
can both be configured 52
can both be considered 1008
can both be controlled 183
can both be determined 405
can both be eliminated 140
can both be formulated 57
can both be identified 225
can both be influenced 69
can both be integrated 109
can both be introduced 46
can both be maintained 99
can both be predicated 80
can both be recognized 101
can both be reconciled 46
can both be subdivided 73
can both be successful 68
can both be translated 279
can both be understood 474
can bow in resignation 65
can bring an application 131
can bring an individual 378
can bring an infringement 72
can bring an overwhelming 55
can bring an unexpected 72
can bring in information 44
can bring in substantial 69
