cabin fourteen feet square 155
cable dispatch from london 71
canoes projecting from behind 133
cared probably very little 67
carry purposes into effect 58
carry slightly more weight 45
carry somewhat more weight 52
cases addressing these issues 43
cases operated upon before 109
cases operated upon without 41
cases questions have arisen 54
cases reported from various 68
casting covetous eyes across 54
casting covetous eyes toward 55
catch yourself saying something 97
cause abnormal heart rhythms 710
cause allergic skin rashes 88
cause coronary heart disease 689
cause deviations from normal 157
cause distinct from itself 267
cause distinct from matter 123
cause grievous hurt except 143
cause increased soil erosion 94
cause required such special 72
cause valvular heart disease 96
causing abnormal heart rhythms 237
causing coronary heart disease 135
causing infection during handling 58
cells containing high levels 78
cells containing many nuclei 229
cells cultured from normal 153
cells expressing high levels 885
cells isolated from bovine 186
cells isolated from mature 65
cells isolated from mucosa 124
cells isolated from normal 431
cells isolated from rabbit 615
cells isolated from spleen 106
cells isolated from tissue 54
cells isolated from tumors 57
cells isolated from various 86
cells maintain their normal 135
cells obtained from another 49
cells obtained from donors 73
cells obtained from humans 80
cells obtained from normal 400
cells obtained from tissue 57
cells obtained from various 93
cells produced during meiosis 106
cells produced high levels 70
cells responds more readily 44
cells retained their normal 46
chain contains five carbon 47
change involves some degree 109
change occurred more slowly 84
change occurred very slowly 81
change proceeds very slowly 88
change yourself into something 74
changing consumer buying habits 58
changing hydrogen into helium 87
changing interest rate levels 44
changing magnetic flux through 1113
changing suddenly into english 44
chief deserves great praise 64
chief interest among readers 45
chief minister just before 42
chief officers have thought 45
chief officers were called 54
chief officers were killed 63
chief returned well pleased 66
child excluded from school 76
child expelled from school 49
child finished high school 71
child finishes high school 127
child marriages were common 164
child recovering from measles 51
child requires more energy 41
child responds more readily 46
child returned from school 121
child suffered from severe 80
child whenever such agency 92
chips obtained from drilling 125
cited passages from various 43
cites examples from modern 44
cites respecting their effect 79
civil authority were lodged 46
civil censures were issued 74
civil engineering from purdue 70
civil functions were united 46
civil officers were chosen 56
civil officers were mainly 54
civil resister will behave 54
civil servants from becoming 78
civil servants from belonging 82
civil servants from england 41
civil servants from france 63
civil servants from london 97
civil servants from madras 202
civil servants from member 43
civil servants from office 72
civil servants from public 59
civil servants from various 248
civil servants have already 48
civil servants have always 115
civil servants have become 351
civil servants have little 113
civil servants have played 49
civil servants have tended 103
civil servants have worked 43
civil servants hold office 79
civil servants were active 44
civil servants were afraid 49
civil servants were almost 58
civil servants were already 225
civil servants were always 76
civil servants were anxious 48
civil servants were barred 52
civil servants were becoming 48
civil servants were called 93
civil servants were chosen 81
civil servants were clearly 189
civil servants were engaged 54
civil servants were forced 191
civil servants were highly 55
civil servants were killed 73
civil servants were mostly 51
civil servants were needed 47
civil servants were placed 86
civil servants were purged 54
civil servants were raised 51
civil servants were sacked 82
civil servants were simply 55
civil servants were unable 62
civil servants will become 40
claim authority over another 40
claim embodied other points 50
claim exemption from excise 317
claim exemption from income 217
claim immunity from arrest 130
claim immunity from attack 77
claim immunity from public 138
class american high school 90
class barriers were broken 48
class carriages were packed 46
class children have access 228
class children have greater 86
class children have learned 112
class children left school 128
class children more likely 43
class children were already 44
class children were helped 40
class children were taught 198
class conflict among whites 253
class contains four methods 49
class contains many methods 54
class divisions among blacks 229
class divisions among negroes 40
class divisions among whites 224
class divisions have become 144
class divisions were becoming 44
class families have always 109
class families have become 126
class families have little 48
class families were better 45
class families were forced 213
class families were likely 114
class inherits from another 361
class inherits from system 119
class movement from without 58
class performing arts center 46
class provides many methods 62
class provides many useful 45
class provides three methods 82
class receives will indeed 47
class struggle from without 626
class struggle will become 213
class struggle will depend 95
class suburban high school 376
click encrypting file system 103
close analysis will always 104
close attention when someone 52
close observer will detect 46
close observer will notice 136
close relations were formed 44
closing quotation mark unless 59
clothing imported from england 58
clothing imported from europe 53
cloths imported from england 71
clubs awakened their sleeping 65
coach services from london 72
coals imported into london 164
colds observed upon sleeping 99
color graphics file format 88
comes directly from africa 40
comes directly from another 41
comes directly from christ 182
comes directly from figure 46
comes directly from french 119
comes directly from nature 92
comes directly from plants 89
comes entirely from without 94
comes suddenly upon something 52
conic purposes must starve 50
cooking utensils were packed 98
