calico robes which had 74
called after world war 43
called again later and 63
called again later that 48
called again while you 68
called amino acids and 201
called amino acids are 85
called amino acids that 186
called atoms which are 157
called basic earnings per 105
called black patch war 107
called cells which are 106
called cunning rather than 69
called every morning and 94
called every morning for 107
called every night and 79
called every night for 62
called facts which are 46
called fancy about him 221
called fatty acids and 215
called first opium war 85
called first world and 176
called first world war 158
called fixed costs and 109
called fixed costs are 137
called fixed stars and 107
called fixed stars are 350
called genes which are 181
called greek forms and 53
called growing pains are 41
called happy until his 73
called happy until that 69
called henry after his 51
called human which are 63
called james after his 55
called labor leader who 176
called looking about them 42
called moral sense and 64
called nearly every day 246
called nerve signs and 45
called optic lobes are 45
called queen could not 48
called right after she 45
called right after you 240
called saint peter and 57
called shaking hands with 71
called shall draft and 55
called simon peter and 58
called stiff books for 43
called strong acids and 139
called tommy brock and 51
called upper class and 91
called water rather than 85
called white races are 134
called white slave act 144
called working class and 120
called worse names than 80
calmly flows above his 98
calmly where fools may 53
camels shall cover thee 942
camels shall cover you 167
camera while still wet 74
campus after world war 73
canals which could not 54
canals which serve for 43
cancer cells could not 72
cancer cells rather than 134
cancer cells which are 507
cancer cells which can 149
cancer cells which had 94
cancer cells which may 150
cancer cells would not 44
cancer which could not 89
candid reader knows that 121
candle burns stiff and 45
candle every night for 60
candle flame blown out 58
candle nearly burnt out 46
candle power lamps are 76
candle which fuchs had 65
candle which stood near 87
candle whose flame was 41
canine upper class was 171
canned foods which are 297
canned fruit juice and 137
canned fruit salad and 53
canned goods which are 189
canned goods which had 42
canned orange juice and 320
cannon balls could not 152
cannon balls which had 271
cannon begin roaring and 52
cannon which burst near 64
cannon which could not 89
cannon would carry them 78
canopy under which all 45
canopy under which she 90
canopy under which they 300
canopy which shuts out 49
canvas which shall not 77
canyon whose walls are 76
capped every story with 62
carbon atoms could not 91
carbon atoms fewer than 57
carbon atoms minus one 41
carbon atoms rather than 182
carbon atoms share two 82
carbon atoms shows that 42
carbon atoms unite with 56
carbon atoms which are 1206
carbon atoms which can 184
carbon atoms which may 129
carbon atoms which they 94
carbon atoms within each 47
carbon atoms would not 44
carbon black mixed with 89
carbon bonds which are 46
carbon chain lengths and 86
carbon cycle model and 50
carbon cycle model with 77
carbon fatty acids and 106
carbon fatty acids are 175
carbon fatty acids that 257
carbon fatty acids with 99
carbon steel lined with 62
carbon steel pipes and 115
carbon steel plate and 48
carbon steel rather than 73
carbon steel sheet and 144
carbon steel shell and 69
carbon steel tools are 43
carbon steel tubes and 64
carbon steel welding rod 64
carbon steel which can 46
carbon steel which had 64
carbon steel which has 289
carbon steel which was 50
carbon units which are 51
career after world war 318
career began after her 56
career began after his 45
career began after she 57
career began while she 57
career comes first and 66
career goals rather than 75
career never really got 51
career really began with 194
career which began with 322
career which calls for 75
career which could lead 50
career which could not 172
career which earned him 51
career which ended with 221
career which might lead 98
career which would bring 94
career which would end 41
career which would lead 154
career which would not 114
career which would see 45
caress which meets its 45
cargoes which could not 59
carrion eagles would spy 44
carrion woman faced him 48
carrot juice every day 169
carrot juice mixed with 193
carrying about forty men 40
carrying about sixty men 40
carrying about thirty men 139
carrying black flags and 118
carrying books under his 84
carrying brief cases and 47
carrying every state but 175
carrying every where with 133
carrying fishing poles and 48
carrying fresh water and 58
carrying fresh water for 108
carrying goods bound for 70
carrying loads which are 53
carrying lunch pails and 44
carrying parts which are 97
carrying signs calling for 76
carrying signs which read 155
carrying spare parts and 49
carrying trade goods and 98
carrying trade might thus 68
carrying trade which had 196
carrying trade which they 41
carrying trade which was 173
carrying trays laden with 233
carrying white flags and 97
carved front doors and 45
carved house posts and 203
carved ivory chess set 82
carved newel posts and 129
carved round about with 133
carved stone bowls and 108
carved stone walls and 103
carved totem poles and 206
carved walking stick and 89
carved walking stick that 41
castle where arthur was 42
castle which gives its 43
castle which holds you 63
castle which stood near 150
castle whose ruins are 43
castle whose walls are 45
castle within about ten 54
casual dress every day 63
casual khaki pants and 45
casual meeting place for 52
casual reader could not 91
casual reader might not 105
