cabinets of exquisite work 47
caffeine is extracted from 72
caitiffs of corruption were 72
calculus is extremely rare 60
calendar is different from 199
calendar of political duty 40
calendar to determine when 55
calmness of confident hope 72
calmness or reflection among 49
calories as saturated fats 68
campaign by penetrating into 43
campaign is different from 100
campaign is virtually over 99
campaign of liberation from 42
campaign of opposition from 99
campaign of political spying 239
campaign the democrats made 44
campaign the democrats were 105
campaign to determine what 53
campaign to discredit their 91
campaign to eliminate from 59
campaign to eliminate such 58
campaign to eliminate their 48
campaign to eliminate these 60
campaign to encourage more 358
campaign to encourage their 74
campaign to encourage young 76
campaign to eradicate polio 332
campaign to eradicate these 62
campaign to establish such 54
campaign to establish their 84
campaign to publicize their 71
campaign to transform their 47
campaign to undermine their 46
canister of peculiarly fine 60
canvassing the electoral vote 58
capacity at different ages 133
capacity at reasonable cost 42
capacity he continued till 124
capacity he displayed great 233
capacity in congestive heart 83
capacity in countries such 40
capacity in different areas 49
capacity in different ways 106
capacity in suspected heart 49
capacity is available during 72
capacity is available from 108
capacity is available only 65
capacity is available when 134
capacity is converted into 44
capacity is dependent upon 556
capacity is different from 199
capacity is estimated from 94
capacity is extremely high 65
capacity is generally high 46
capacity is generally less 47
capacity is generally used 65
capacity is precisely what 87
capacity is sometimes used 62
capacity of appreciating fine 42
capacity of appreciating such 114
capacity of appreciating their 44
capacity of available land 68
capacity of computers have 93
capacity of computers will 45
capacity of different areas 109
capacity of different cell 45
capacity of different soil 65
capacity of enjoyment left 64
capacity of penetrating into 97
capacity of political good 53
capacity of political unit 70
capacity of sediments from 49
capacity of spiritual life 91
capacity or political will 219
capacity to appreciate fair 61
capacity to appreciate good 87
capacity to appreciate life 94
capacity to appreciate other 69
capacity to appreciate such 100
capacity to appreciate their 173
capacity to appreciate these 76
capacity to appreciate what 361
capacity to apprehend truth 61
capacity to apprehend what 48
capacity to attribute meaning 150
capacity to calculate their 51
capacity to celebrate life 46
capacity to construct meaning 230
capacity to construct such 86
capacity to construct their 84
capacity to determine their 595
capacity to determine what 557
capacity to determine when 81
capacity to discharge their 179
capacity to discharge these 44
capacity to distinguish among 214
capacity to distinguish fact 45
capacity to distinguish good 363
capacity to distinguish self 373
capacity to distinguish their 43
capacity to distinguish true 63
capacity to distinguish truth 202
capacity to distinguish what 161
capacity to diversify into 43
capacity to diversify their 60
capacity to entertain such 101
capacity to establish good 58
capacity to establish such 96
capacity to establish their 90
capacity to fertilize eggs 73
capacity to formulate ideas 88
capacity to formulate such 41
capacity to formulate their 81
capacity to implement such 395
capacity to implement their 259
capacity to implement these 395
capacity to implement those 108
capacity to implement what 46
capacity to influence other 362
capacity to influence such 60
capacity to influence their 550
capacity to influence these 105
capacity to influence those 123
capacity to influence what 86
capacity to integrate into 214
capacity to integrate such 70
capacity to integrate their 101
capacity to integrate these 192
capacity to interpret their 105
capacity to interpret these 77
capacity to interpret what 134
capacity to intervene into 51
capacity to intervene more 42
capacity to intervene when 40
capacity to introduce into 594
capacity to originate ideas 48
capacity to penetrate into 320
capacity to recognize good 83
capacity to recognize other 107
capacity to recognize self 97
capacity to recognize some 42
capacity to recognize such 147
capacity to recognize their 284
capacity to recognize these 133
capacity to recognize those 57
capacity to recognize truth 108
capacity to recognize what 309
capacity to recognize when 164
capacity to reconcile these 49
capacity to reorganize their 44
capacity to represent ideas 45
capacity to represent other 42
capacity to represent self 110
capacity to represent such 50
capacity to represent their 214
capacity to represent these 51
capacity to represent what 55
capacity to reproduce their 113
capacity to reproduce what 45
capacity to safeguard their 72
capacity to stimulate cell 116
capacity to synthesize some 45
capacity to synthesize their 87
capacity to synthesize these 121
capacity to transcend mere 42
capacity to transcend self 212
capacity to transcend their 202
capacity to transcend these 76
capacity to transcend those 95
capacity to transcend time 129
capacity to transcend what 55
capacity to transform from 44
capacity to transform into 239
capacity to transform such 53
capacity to transform their 316
capacity to transform these 105
capacity to transform those 78
capacity to transform what 65
capacity to translate from 46
capacity to translate ideas 49
capacity to translate into 118
capacity to translate their 159
capacity to translate these 89
capacity to translate those 63
capacity to translate what 42
capacity to transport more 84
capacity to undertake more 140
capacity to undertake other 40
capacity to undertake some 58
capacity to undertake such 533
capacity to undertake their 76
capacity to undertake these 162
capacity to undertake work 74
capitals of countries were 81
captains of companies were 206
captains of companies will 83
captured an important hill 41
captured an important part 123
captured an important town 40
captured an important truth 62
captured by approaching very 41
captured in different ways 69
captured or abandoned during 48
captured or destroyed came 79
captured or destroyed during 172
captured or destroyed five 112
captured or destroyed many 60
captured or destroyed more 279
captured or destroyed most 86
captured or destroyed over 86
captured or destroyed some 43
captured or destroyed their 47
captured or destroyed three 74
captured or destroyed when 43
captured or purchased from 89
captured the byzantine city 46
captured the electoral vote 89
captured the fortified city 188
captured the fortified town 197
captured the important city 726
captured the important fort 59
captured the important port 259
captured the important post 90
captured the important town 415
captured the initiative from 66
captured the strategic city 84
captured the strategic port 43
captured the strategic town 86
captures an important part 416
captures an important truth 262
captures the important role 44
captures the objective truth 130
captures the transition from 226
caravans of merchants from 77
caravans of merchants were 48
caravels be separated from 101
carbolic or salicylic acid 568
careless or negligent acts 45
caressed the sensitive skin 108
carloads of champagne were 78
carnival or amusement park 117
carotene in petroleum ether 94
carotene is converted into 672
carotene on alternate days 48
carriers is different from 50
carriers of anthracite coal 51
carriers of passengers must 58
carriers to transport their 110
caseload of appellate work 43
cassette is available from 57
cassette or cartridge tape 56
catalogs to determine what 68
catalyst is different from 45
catalyst is generally used 62
catalyst is separated from 242
cataract is sometimes seen 41
category in different ways 53
category is available only 55
category is dependent upon 95
category is different from 371
category is divisible into 43
category is expressly made 112
category is generally used 46
category is separated from 47
category is separated into 51
category of causality from 72
category of discarded myths 49
category of forbidden acts 375
category of protected areas 128
category of spiritual beings 110
category of substance from 40
category of substance will 53
category to determine what 48
cathedral in guatemala city 81
catheters to visualize your 48
causation as displayed among 76
causation is derivable from 96
causation is different from 76
causation is prevented from 52
causation of aggression among 94
cavities in deciduous teeth 155
cavities in permanent teeth 188
cavities of different size 64
cavities of irregular form 60
cemetery by moonlight have 42
censored or truncated data 48
centered in guatemala city 83
centered on determining what 44
centered the effective means 147
cerebrum is separated from 128
ceremony be adjourned till 53
ceremony is different from 85
ceremony is generally held 84
ceremony is generally used 43
ceremony is performed among 58
ceremony is performed during 175
ceremony is performed just 51
ceremony is performed once 135
ceremony is performed only 244
ceremony is performed over 361
ceremony is performed there 105
ceremony is performed three 53
ceremony is performed when 461
ceremony is sometimes held 42
ceremony of abjuration took 57
ceremony of civilized life 127
ceremony of coronation took 112
ceremony of dedication took 77
ceremony of surrender took 110
ceremony of transition from 47
ceremony on parliament hill 111
ceremony to celebrate their 77
cessation of abdominal pain 63
cessation of artillery fire 110
cessation of biological life 57
cessation of discharge during 41
cessation of discharge from 77
cessation of effective heart 59
cessation of emigration from 96
cessation of ignorance there 153
cessation of menstrual flow 831
cessation of operations during 45
cessation of production during 90
cessation of production from 100
cessation of production means 43
cessation of production will 69
cessation of shipments from 45
cessation of spiritual life 64
chairman is appointed from 47
chairman of president bush 126
chairman of president ford 112
chairman or committee will 43
challenge in different ways 825
challenge is determining what 90
challenge is different from 171
challenge is especially great 103
challenge is especially true 46
challenge is permitted when 60
challenge of determining what 159
challenge of discovering what 50
challenge of identifying those 44
challenge of identifying what 56
challenge of integrating into 53
challenge of integrating their 110
challenge of integrating these 136
challenge of maintaining high 55
challenge of maintaining their 203
challenge of palliative care 63
challenge of reconciling their 83
challenge of reconciling these 59
challenge of transition from 59
challenge of translating their 43
challenge or undermine their 44
challenge the assumption made 52
challenge the classical view 52
challenge the consensus view 95
challenge the deductions made 51
challenge the generally held 105
challenge the prevalent view 58
challenge the production from 41
challenge the statement made 172
challenge the widespread view 48
challenge to byzantine rule 60
challenge to communist rule 428
challenge to democracy from 86
challenge to determine what 239
challenge to everybody else 118
challenge to political theory 170
challenge to president bush 145
challenge to president ford 120
challenge to themselves much 58
challenge to translate these 40
challenging in different ways 115
chambers at auschwitz were 103
chambers in congenital heart 59
chambers in identical form 191
chambers of auschwitz were 109
chambers of different size 92
chambers of parliament were 110
champions of communism have 73
champions of democracy have 71
champions of democracy were 65
changeable king alienated from 44
channeling of aggression into 143
channeling of resources from 98
channeling of resources into 313
channeling of sexuality into 79
channels in different ways 78
channels in excitable cell 304
channels in pancreatic beta 69
channels is dependent upon 49
channels is different from 57
channels of different length 44
channels of different size 73
channels of expression have 45
channels of expression open 87
channels of expression were 73
channels of influence among 50
channels of influence from 105
channels of influence have 82
channels of influence into 46
channels of influence open 85
channels of influence over 144
channels of influence upon 51
channels of influence were 169
channels of political life 69
