calamitous an appointment made 237
calculable in perturbation theory 98
calculated at replacement cost 44
calculated by conventional means 57
calculated by extrapolating from 92
calculated by perturbation theory 421
calculated by probability theory 45
calculated by substitution into 107
calculated in perturbation theory 291
calculated on replacement cost 93
calculated the approximate time 63
calculated the contribution from 42
calculated the opportunity cost 49
calculated the percentages from 41
calculated the temperature rise 50
calculated to accommodate from 74
calculated to accommodate three 53
calculated to demonstrate their 66
calculation of groundwater flow 55
calculation of opportunity cost 229
calculation of permeability from 50
calculation of replacement cost 133
calculation of statistical data 49
calculation of temperature from 49
calculation of temperature rise 256
calculation of transmission loss 65
calibration of instruments used 109
candidates to communicate their 45
candidates to concentrate their 60
candidates to demonstrate their 340
capability of improvement here 54
capability of understanding what 62
capability to communicate over 44
capacities of individuals made 50
capacities of individuals vary 41
capitalism is distinguished from 94
capitalism is inseparable from 133
capitalism is transformed into 111
captivated the susceptible heart 63
carelessly in conversation such 43
catafalque in westminster hall 71
categories as independent beings 52
categories in qualitative data 47
categories of citizenship were 40
categories of commodities were 59
categories of established theory 131
categories of expenditure have 93
categories of expenditure such 64
categories of expenditure were 152
categories of explanations have 49
categories of individuals from 176
categories of individuals have 98
categories of individuals such 94
categories of individuals were 168
categories of individuals will 74
categories of institutions have 52
categories of investments have 50
categories of jurisdiction upon 70
categories of merchandise sold 52
categories of metaphysics rest 40
categories of respondents have 65
categories of respondents were 304
categories of sociological theory 43
categories of statistical data 56
categories of temperament were 57
categories of transactions from 47
categories of understanding from 50
categories of understanding have 93
categories of understanding such 47
categories of understanding were 86
celebrated by distinguished poets 383
celebrated the deliverance from 63
celebrates the deliverance from 45
celebration of deliverance from 100
ceremonies of consecration were 53
ceremonies of inauguration were 105
ceremonies of installation were 97
ceremonies of introduction were 97
ceremonies of purification were 116
chancellor in westminster hall 40
chancellor to communicate their 47
characters as ascertained from 61
characters as distinguished from 68
characters in huckleberry finn 119
characters is transformed into 41
characters of individuals from 108
characters of individuals have 41
characters of individuals were 40
characters of vertebrates form 68
characters to demonstrate their 61
characters to inheritance from 59
chromosome is represented once 61
chromosome is represented only 73
chromosome is represented three 101
chromosome is transferred from 121
chromosome is transmitted from 69
circulated in handwritten form 79
circulated in mimeographed form 538
circulated in preliminary form 64
circulated in unpublished form 63
circulation in mimeographed form 61
circulation of anesthetized dogs 40
circulation of commodities among 101
circulation of commodities from 68
circulation of commodities into 68
circulation of commodities such 58
circulation of commodities were 41
circulation of counterfeit coin 55
circulation of individuals from 74
circulation of manuscripts among 47
circulation of unauthorized bank 48
classified as intermediate risk 58
classified as transitional cell 45
classified the respondents into 48
coagulation of hydrophobic sols 91
coefficient is identically zero 55
coefficient is practically zero 100
coefficient is significant only 605
coefficient of concordance among 60
coefficient of performance from 48
coefficient of performance when 70
coefficient of performance will 128
coefficient of permeability from 98
coefficient of permeability will 54
coefficient of relatedness among 49
collateral or subordinate ideas 41
collections of antiquities from 135
collections of antiquities were 89
collections of individuals from 48
collections of individuals into 49
collections of individuals such 51
collections of inscriptions were 44
collections of lymphocytes were 55
collections of manuscripts from 54
collections of manuscripts have 59
collections of manuscripts were 130
collections of photographs from 93
collections of photographs have 43
collections of photographs were 48
collections of respectable rank 57
collections of statistical data 213
collections of translations from 73
collective as distinguished from 48
collective of independent media 151
collective or cooperative farm 72
combination is transformed into 42
combination of antagonisms must 65
combination of antecedents will 77
combination of authoritarian rule 58
combination of chemotherapy plus 131
combination of chromosomes from 123
combination of enlightened self 178
combination of enterprises will 57
combination of evolutionary theory 42
combination of excessively high 47
combination of expenditure cuts 82
combination of fluorescent dyes 43
combination of individuals from 74
combination of individuals into 155
combination of instruments from 67
combination of instruments used 154
combination of instruments will 89
combination of investments will 44
combination of mathematical theory 55
combination of measurements from 77
combination of observations from 154
combination of observations made 91
combination of probability theory 53
combination of propositions into 63
combination of qualitative data 42
combination of statistical data 108
combination of statistical theory 49
combination of synchronous mode 133
commanders of constantine were 132
commanders to concentrate their 118
commentary on civilization such 42
commissions to investigate these 50
commitment is inseparable from 40
commitment to evolutionary theory 89
commitment to occupational health 108
commitment to professional work 65
commitment to progressive ideas 57
commitment to understanding their 52
commitment to understanding what 80
committees to investigate into 49
committees to investigate such 65
committees to investigate their 119
commonwealth by concentrating their 112
commonwealth by undignified acts 44
commonwealth of pennsylvania upon 44
communists to consolidate their 46
comparable to measurements made 48
comparable to observations made 42
comparison is occasionally made 46
comparison of achievement test 52
comparison of alternative means 143
comparison of alternative ways 118
comparison of deliverance from 76
comparison of demographic data 59
comparison of differences among 76
comparison of individuals from 96
comparison of mathematical work 51
comparison of measurements from 105
comparison of measurements made 358
comparison of observations from 78
comparison of observations made 552
comparison of performance among 125
comparison of performance data 67
comparison of performance over 70
comparison of photographs made 42
comparison of relationship type 70
comparison of statistical data 218
comparison the corresponding data 58
compendium of statistical data 95
competence is distinguished from 44
competition as distinguished from 78
competition is distinguished from 55
competition is encountered from 58
competition is inseparable from 47
competition is transferred from 212
competition is transformed into 86
competition of alternative uses 49
competition of capitalists among 53
competition of capitalists will 60
competition to demonstrate their 41
compilation of biographical data 105
compilation of comparative data 101
compilation of demographic data 73
compilation of observations from 59
compilation of observations made 47
compilation of statistical data 1212
compilation of testimonies from 42
compilation of topographic maps 184
compilation of translations from 46
complained of intolerable pain 51
complement of chromosomes from 365
complement the observations made 102
completely as practicable from 80
complexity is encountered when 62
complexity of interactions among 506
complexity of organization from 44
complexity of organization there 65
complexity of professional life 42
components of acceleration along 147
components of accumulated other 85
components of atmospheric salt 75
components of groundwater flow 52
components of manufacturing cost 257
components of personality have 44
components of ribonucleic acid 87
components to communicate over 99
composition as distinguished from 118
composition in sedimentary rock 125
composition is distinguished from 65
composition is inseparable from 43
composition is transformed into 69
composition of assemblages from 51
composition of gallbladder bile 267
composition of groundwater from 57
composition of huckleberry finn 127
composition of mitochondria from 70
composition of propositions into 64
composition of ribonucleic acid 287
composition of sedimentary rock 53
compounded by uncertainty over 67
compounded of indifferent poems 44
comprehend the relationship among 48
computation is distributed over 91
computation of permeability from 57
conceptions is inseparable from 66
