cactus needles from her 41
called abraham from his 138
called according unto god 41
called america into being 41
called baghdad pact was 144
called because from its 143
called because from this 87
called because only one 46
called because there are 1092
called because there was 1368
called because these are 114
called because those who 361
called because when one 76
called because when they 184
called because when you 41
called british india and 126
called caustic soda and 44
called chicken soup for 52
called congress back for 43
called culture wars that 41
called everything into being 46
called exactly once for 63
called friends were not 49
called herself when she 118
called himself their god 65
called hundred years war 329
called johnson from her 84
called johnson into his 47
called lantern jaws and 75
called lazarus from his 44
called liberal arts and 620
called mcmahon line and 113
called mcmahon line was 216
called missions were but 96
called national wealth that 272
called natural laws and 188
called natural laws are 294
called parents were old 107
called perfect when all 93
called quentin from his 92
called rickety from his 74
called several days ago 97
called several years ago 156
called together from all 440
called together into one 74
called together more than 97
called together next day 46
called together only for 83
called together those who 246
called victims were not 81
called western union and 224
callus derived from dna 57
callus derived from leaf 98
calmed herself down and 135
calmed himself down and 179
calmed himself down with 45
calmly retired into his 132
calmly withdrew from this 57
camera control unit and 127
camera dollies back and 41
camera flashes went off 208
camera operating mode that 43
camera shutter open for 113
campus because there are 49
campus because there was 40
campus several years ago 177
cancer because there are 68
cancer because there was 46
cancer becomes more and 42
cancer differs from that 81
cancer fifteen years ago 158
cancer include early age 81
cancer include those with 64
cancer removed from her 77
cancer removed from his 87
cancer screening among low 119
cancer several years ago 754
candid inquiry into our 48
candid towards those who 49
candle dropped from her 65
candle dropped from his 51
candle emitted made her 159
canine arterial tree with 165
canned chicken broth and 175
canned coconut milk and 127
canned tomatoes salt and 113
cannon belched forth its 111
cannon mounted upon them 187
canons against those who 71
canopy carried over him 78
carbon content less than 306
carbon content more than 47
carbon content must not 53
carbon content will not 75
carbon isotope data are 81
carbon isotope data for 101
carbon isotope ratio and 108
carbon numbers less than 48
carbon released from peat 53
carbon resulting from this 42
carbon sources other than 299
carbon support film and 72
cardiac chamber size and 231
cardiac failure from any 93
cardiac failure there may 42
career because there are 51
career because there was 82
career brought upon them 46
career choices were not 51
career choices when they 45
career covered more than 43
career decision making and 897
career decision making are 165
career decision making for 157
career decision making has 69
career decision making may 55
career decision making than 53
career decision making that 128
career depends upon his 80
career derives from this 56
career differs from that 51
career divides into two 71
career finally took off 151
career quickly took off 40
career requiring other than 113
career several years ago 92
career spanned less than 51
career spanned more than 1024
career started when she 101
carrying between four and 44
carrying between three and 58
carrying congress along with 61
carrying everything along with 106
carrying everything away with 75
carrying forward from one 61
carrying forward their own 106
carrying freight from one 65
carrying letters back and 51
carrying letters from his 41
carrying letters from one 64
carrying machine guns and 393
carrying material from one 70
carrying objects from one 138
carrying signals from one 75
carrying sixteen guns and 304
carrying slipped from his 41
cartel members will set 42
castle himself made his 76
casual contact will not 41
casual sallies from him 44
casual visitor will not 68
casual workers were not 66
catching lightning bugs and 51
cattle because there was 97
cattle brought into this 41
cattle differs from that 46
cattle including cows and 51
cattle suffering from this 61
