cabaret singer in a 47
cabbage heads in a 49
cabbage soup in a 55
cabinet acting as a 43
cabinet acts as a 140
cabinet came to a 88
cabinet drew up a 89
cabinet fell as a 45
cabinet made by a 43
cabinet must be a 84
cabinet next to a 131
cabinet post as a 121
cabinet post in a 138
cabinet post or a 46
cabinet post to a 57
cabinet rank to a 43
cabinet there is a 190
cabinet were in a 81
cabinet will be a 110
cabinet work as a 45
cadence ending on a 65
cadence leading to a 41
cadence there is a 66
cadenza leads to a 130
cadmium cell is a 53
calcium acting as a 109
calcium acts as a 709
calcium leads to a 209
calcium salt in a 64
calcium salt is a 82
calcium salt of a 349
calcium salt to a 55
calcium there is a 224
caloric need of a 51
calorie diet is a 116
calorie diet or a 157
cameras come in a 156
cameras there is a 166
cameras used in a 46
camphor acts as a 215
camphor tree is a 83
cancers there is a 102
candles were on a 177
canines there is a 101
cannons roar on a 65
cantering along at a 66
cantering along on a 53
cantons there is a 109
cantons were in a 64
capable also of a 339
capable even of a 163
capable only in a 57
capable only of a 2452
capable only to a 83
capital acting as a 71
capital acts as a 801
capital also is a 42
capital base as a 69
capital base in a 56
capital base is a 45
capital base of a 246
capital base to a 43
capital brings in a 97
capital came as a 43
capital came at a 47
capital came to a 251
capital case in a 97
capital case is a 72
capital city as a 690
capital city at a 107
capital city by a 191
capital city in a 1371
capital city is a 652
capital city of a 8589
capital city on a 287
capital city or a 244
capital city to a 226
capital cost as a 453
capital cost at a 50
capital cost by a 54
capital cost in a 138
capital cost is a 236
capital cost of a 13447
capital cost on a 72
capital cost to a 120
capital down to a 89
capital even as a 51
capital even in a 70
capital even of a 48
capital fell to a 43
capital firm in a 109
capital firm is a 126
capital flow as a 82
capital flow is a 114
capital fund as a 76
capital fund in a 55
capital fund is a 102
capital fund of a 146
capital fund or a 68
capital gain as a 397
capital gain at a 218
capital gain by a 103
capital gain if a 58
capital gain in a 324
capital gain is a 457
capital gain of a 401
capital gain on a 1076
capital gain or a 953
capital gain to a 228
capital gave it a 55
capital good as a 119
capital good in a 46
capital good is a 223
capital good or a 102
capital grew at a 125
capital grow at a 61
capital hand at a 148
capital held by a 291
capital just as a 67
capital leading to a 107
capital leads to a 859
capital lease as a 62
capital lease by a 63
capital lease is a 179
capital lent to a 89
capital levy as a 196
capital levy is a 81
capital levy of a 55
capital levy on a 58
capital levy or a 79
capital lies in a 75
capital lies on a 40
capital loss as a 183
capital loss in a 349
capital loss is a 235
capital loss of a 563
capital loss on a 507
capital loss or a 530
capital loss to a 120
capital made by a 68
capital made it a 116
capital must be a 309
capital only as a 116
capital only at a 52
capital only by a 41
capital only in a 285
capital only to a 60
capital part of a 48
capital ratio as a 201
capital ratio is a 430
capital ratio of a 60
capital such as a 219
capital sunk in a 137
capital theory as a 368
capital theory in a 137
capital theory is a 305
capital there is a 2554
capital took on a 116
capital town of a 229
capital trial in a 49
capital used as a 150
capital used by a 295
capital used in a 284
capital wealth of a 109
capital were at a 80
capital were in a 239
capital were of a 77
capital were on a 44
capital will be a 858
capital will go a 57
capital work of a 40
capsule acts as a 483
capsule form as a 152
capsule form in a 94
capsule leads to a 55
capsule made of a 115
capsule there is a 877
captain came in a 62
captain came to a 127
captain died of a 61
captain drew up a 54
captain gave me a 613
captain gave me i 88
captain gave to a 53
captain gave us a 416
captain held up a 150
captain kept up a 42
captain made it a 42
captain made me a 118
captain made us a 66
captain must be a 223
captain only of a 74
captain said in a 650
captain said to a 61
captain sent in a 68
