call another woman a 56
call blocks until a 122
call madame merle a 55
call myself anything i 65
calm amidst which i 67
calm myself after a 40
calm myself until i 61
calm survey which i 123
came across about a 76
came across quite a 384
came across while i 56
came around after a 131
came around again i 102
came around twice a 94
came around where i 67
came around while i 68
came ashore after a 84
came ashore under a 52
came ashore within a 68
came slowly round a 68
came sweeping round a 67
came through about a 96
came through after a 74
came through twice a 49
came through while i 143
came through within a 82
came waddling round a 42
came without warning a 50
came worrying where i 50
card through which a 89
card without speaking a 46
care center where a 148
care center where i 282
care deeply about a 522
care enough about a 984
care little about a 467
care little where i 80
care settings where a 91
care system needs a 123
care system within a 138
caring enough about a 43
case anyone thinks i 79
case arises under a 97
case arises where a 181
case before issuing a 50
case before reaching a 111
case behind which i 142
case caused quite a 69
case created quite a 72
case exists where a 40
case occurs where a 141
case report about a 73
case should abort a 105
case someone makes a 47
case something which i 79
case through which a 54
case without calling a 77
case without forcing a 60
casing through which a 159
cast anchor about a 588
cast anchor under a 114
cast anchor within a 1784
cast ashore after a 163
cave through which a 56
cave through which i 60
cell bodies within a 108
cell groups within a 85
cell number within a 46
cell through which a 243
city buried under a 62
city fathers built a 41
city should adopt a 80
city should build a 255
city should create a 55
city should erect a 77
city street after a 65
city street where a 44
city through which a 65
city through which i 475
city without drawing a 54
city without finding a 43
city without knowing a 65
city without meeting a 60
clay placed under a 49
clay through which a 44
clean clothes after a 92
clean clothes twice a 113
clean shirts twice a 60
clear enough after a 44
clear shadow where a 62
clot formed within a 161
cloth should begin a 46
coal burned under a 69
coal fields within a 42
coat pocket where i 50
coat pocket which i 43
code sample shows a 63
code through which a 44
coil itself round a 42
coil passes under a 80
coil through which a 1373
cold dinner under a 64
cold shower after a 162
cold stormy evening i 42
cold winter evening i 69
cold winter morning a 62
cold winter morning i 120
cold winter night a 158
cold winter night i 143
cold winter weather i 44
come across anything i 71
come across either a 53
come across quite a 794
come across since i 104
come across where a 44
come around after a 378
come around twice a 45
come around until i 41
come around where i 226
come around while i 66
come around within a 45
come ashore after a 124
come ashore under a 41
come inside while i 108
come monday morning i 55
come through about a 48
come through after a 127
come through quite a 85
come through while i 107
come through within a 53
coming around after a 41
coming ashore after a 105
coming created quite a 43
cook slowly until a 131
cool breeze after a 127
cool shower after a 62
cool slowly under a 118
cool slowly until a 75
copy number within a 48
core around which a 884
core through which a 55
core values within a 86
cork through which a 781
corn without feeling a 42
cost eighty cents a 129
cost ninety cents a 46
cost something under a 46
cost twelve cents a 142
cost twenty cents a 439
cows milked twice a 71
cream cheese makes a 55
cream parlor where i 43
curt praise which i 65
