cabin door closed behind 200
cakes were passed around 170
cakes were placed before 40
calling from public phones 95
calling upon member nations 68
calling upon member states 346
calling your little sister 121
calls from mobile phones 64
calls from public phones 346
calls upon member states 1212
calls upon willie hughes 100
calls were placed through 43
calls were routed through 175
calyx were called sepals 101
camps were almost always 45
canoes were dropping slowly 46
canoes were heavily loaded 60
canoes were slowly drifting 65
cards have changed before 84
cards have passed through 62
cards were almost always 75
cards were already issued 103
cards were passed around 125
cared very little indeed 108
cared very little whether 1342
cared what anyone thought 399
cares very little whether 753
cargo into boston harbor 61
cargo were safely landed 44
carry arms without special 40
carry away carbon dioxide 283
carry away excess energy 102
carry even greater weight 175
carry into effect before 45
carry into effect divers 58
carry into effect orders 73
carry into effect powers 143
carry into effect rights 62
carry into effect without 249
carry more carbon dioxide 89
carry more weight without 55
carry much greater weight 405
carry much larger stocks 42
carry much weight unless 90
carry such person before 75
carry their babies around 321
carry their cargoes direct 40
carry their causes before 105
carry their excess weight 56
carry their gospel through 65
carry their initial burden 71
carry their measure through 44
carry their proper weight 85
carry their weapons openly 150
carry their weight around 111
carry their younger siblings 41
carry very little energy 83
carry very little weight 906
carts were filled through 124
cases coming before courts 93
cases from united states 153
cases from various courts 42
cases from various states 79
cases have already arisen 47
cases have already become 41
cases have already reached 53
cases have already struck 59
cases have called strict 42
cases have little effect 41
cases have passed through 159
cases have raised issues 57
cases have relied heavily 59
cases like united states 184
cases more highly gifted 91
cases must always remain 44
cases there should always 42
cases were almost always 193
cases were almost evenly 41
cases were argued before 302
cases were closed without 98
cases were common enough 162
cases were fairly common 58
cases were fairly evenly 51
cases were little better 41
cases were placed before 66
cases were seldom trivial 83
cases were serious enough 69
cases were severe enough 60
cases were treated before 40
cases were treated without 149
cases were united states 155
cases will almost always 75
cases will always remain 67
casting their crowns before 441
casting their shadow before 449
casts some serious doubts 108
catch from inland waters 113
catch lice through direct 118
catch these exciting titles 50
catch these lovely summer 42
catch what little breeze 143
cation flux versus source 42
cause bone marrow damage 70
cause even further damage 96
cause even greater changes 113
cause even greater damage 509
cause even greater injury 81
cause even greater losses 141
cause great bodily injury 268
cause high output cardiac 51
cause less severe disease 95
cause less tissue damage 173
cause less tissue reaction 241
cause more serious damage 743
cause more serious disease 179
cause more serious errors 40
cause more serious injury 241
cause more severe damage 396
cause more severe disease 500
cause more severe injury 150
cause more subtle changes 89
cause more tissue damage 292
cause most serious damage 62
cause much damage before 48
cause much greater changes 134
cause much greater damage 399
cause much larger changes 107
cause much tissue damage 49
cause only slight changes 340
cause only slight damage 126
cause other mental events 51
cause other mental states 106
cause other serious damage 115
cause sets farther strife 107
cause soft tissue damage 104
cause soft tissue injury 91
cause some serious damage 168
cause some tissue damage 99
cause such bodily injury 300
cause such public notice 50
cause such result without 199
cause such serious damage 129
cause such severe damage 198
cause upon another praetor 59
cause very little damage 407
cause very little injury 44
cause very serious damage 819
cause very serious disease 44
cause very serious errors 56
cause very serious injury 427
cause very serious losses 206
cause very severe damage 251
cause will almost always 96
cause your immune system 73
causing even greater damage 106
causing great bodily injury 177
causing less tissue damage 75
causing more carbon dioxide 42
causing more serious damage 50
causing more severe disease 46
causing much damage amongst 44
causing much greater damage 62
causing only slight damage 106
causing sheath blight disease 54
causing some serious damage 46
causing such bodily injury 697
causing very little damage 104
causing very serious damage 110
causing very serious injury 46
causing very serious losses 48
causing very severe damage 46
caves very curious indeed 41
caves were sacred places 50
ceased making itself anxious 115
cedar wood beyond flints 53
ceiling fans turned slowly 50
ceiling more richly gilded 53
cells during various stages 67
cells form muscle tissue 58
cells from another animal 240
cells from another person 173
cells from another source 52
cells from another strain 103
cells from bovine trachea 49
cells from carbon dioxide 74
cells from carrying oxygen 85
cells from damage caused 212
cells from deeper layers 157
cells from further damage 40
cells from higher plants 220
cells from immune donors 166
