can absorb water vapor 170
can access files within 43
can access which files 66
can affect blood sugar 239
can affect brain growth 46
can affect crime rates 77
can affect every facet 55
can affect every organ 410
can affect fetal growth 106
can affect growth rates 90
can affect human lives 64
can affect nearly every 226
can affect older people 95
can affect plant growth 403
can affect social change 182
can affect trade flows 128
can afford finer moral 45
can afford irish crape 57
can afford shall bless 43
can almost never fully 45
can almost shake hands 152
can almost stand alone 85
can almost taint beauty 79
can always argue about 152
can always begin again 232
can always change later 78
can always either avoid 156
can always marry again 55
can always print money 119
can always raise money 128
can always raise taxes 106
can always sleep later 40
can always start again 327
can always worry about 110
can always write about 91
can always write where 100
can answer every point 49
can anyone really doubt 87
can anyone write about 50
can appease again every 65
can arrange fishing trips 157
can assist older people 87
can assume anything about 44
can assume human shape 70
can attain large sizes 56
can attend above fifty 43
can barely catch sight 71
can barely stand alone 79
can barely stand still 61
can become alive again 72
can become easily bored 137
can become fully aware 270
can become fully human 283
can become fully known 92
can become habit forming 267
can become healthy again 79
can become human again 79
can become liable under 47
can become quite acute 43
can become quite adept 303
can become quite dense 73
can become quite heated 206
can become quite large 4012
can become quite lengthy 324
can become quite messy 100
can become quite nasty 42
can become quite rigid 54
can become quite rough 47
can become quite small 187
can become quite strong 187
can become quite upset 302
can become quite vocal 41
can become rather large 287
can become rather lengthy 50
can become strong again 56
can become sweet which 54
can become truly human 141
can become whole again 379
can become world class 42
can better judge after 43
can better judge where 89
can better judge which 67
can better serve others 55
can charge lower rates 84
can choose either method 89
can choose either option 117
can choose which cases 57
can choose which files 148
can choose which group 62
can choose which items 97
can choose which level 104
can choose which method 159
can choose which pages 85
can choose which parts 140
can choose which style 48
can choose which types 105
can damage brain cells 207
can damage healthy cells 105
can damage liver cells 46
can damage nerve cells 97
can damage plant roots 69
can decide anything about 65
can decide later about 42
can decide later which 62
can decide which action 86
can decide which books 62
can decide which cases 75
can decide which group 70
can decide which items 94
can decide which level 91
can decide which method 576
can decide which option 80
can decide which parts 133
can decide which party 51
can decide which shall 51
can decide which style 45
can decide which tasks 62
can decide which types 48
can decide which words 43
can decide which works 105
can detect quite small 48
can detect sound waves 163
can double click field 84
can effect change within 55
can effect large savings 50
can effect social change 331
can employ human reason 56
can enable older people 61
