calamity i was fated 42
calmness i had never 43
calories a day above 217
calories a day could 108
calories a day until 74
calories a day which 121
calories a day while 331
calories a day would 161
campaign a few months 338
campaign a few weeks 132
campaign a year later 234
campaign i had taken 50
campaign i was asked 46
campsite a few miles 142
canceled a few months 43
canceled a few weeks 44
capacity a year later 122
capacity i now stand 68
captives a few might 47
captured a boy named 40
captured a day later 50
captured a few hours 260
captured a few miles 187
captured a few months 413
captured a few ships 66
captured a few small 176
captured a few towns 72
captured a few weeks 374
captured a man named 124
captured a man worthy 56
captured a year later 146
carbines i had given 57
cardinal a year later 42
casually a few times 202
cataract a few miles 44
cathedral a fit scene 116
cemetery a few miles 279
censures i may gather 45
centered a few miles 51
ceremony a few hours 44
ceremony a few months 91
ceremony a few weeks 119
ceremony a year later 90
ceremony i had never 86
ceremony i was about 80
ceremony i was given 47
ceremony i was thrown 45
chairman a year later 101
challenge i was looking 127
charcoal i had found 59
chattering i mean talking 42
children a bit older 133
children a few cents 41
children a few hours 233
children a few miles 97
children a few months 452
children a few times 249
children a few weeks 231
children a few words 55
children a head start 1490
children a lot about 95
children a new mother 86
children a new sense 63
children a real sense 49
children a year after 60
children a year apart 71
children a year later 164
children a year older 113
children i had beaten 40
children i had given 47
children i had grown 50
children i had known 375
children i had never 130
children i had taken 52
children i hear weeping 57
children i saw every 45
children i was teaching 148
children i was thinking 42
children i was working 84
chuckled a few times 66
churches a few miles 41
churches i had known 43
cinnamon a few drops 226
citizens a new sense 78
clemency a few words 254
climaxed a long period 84
collapse a few hours 134
collapse a few months 240
collapse a few weeks 111
collapse a year later 113
collated a few pages 44
colleague a few months 93
collecting a few books 49
collecting a few drops 101
collecting a few facts 41
collecting a few items 47
collecting a few latin 41
collecting a few pence 50
collecting a few small 67
collecting a tax which 99
collects a few green 43
colonize a new world 323
colonizing a new world 43
combines a low level 51
comeback a year later 42
commands a low price 251
commence a few hours 86
commence a few miles 138
commence a new action 2665
commence a new cycle 127
commence a new epoch 134
commence a new order 69
commence a new period 126
commence a new phase 51
commence a new piece 55
commence a new round 103
commence a new score 53
commence a new study 49
commence a war which 102
commencing a few hours 68
commencing a few miles 104
commencing a new action 152
commencing a new cycle 64
commencing a new period 47
commencing a war which 46
committing a bad action 244
committing a mean action 83
committing a new crime 419
