cab with every appearance 49
can all enjoy ourselves 69
can all sleep peacefully 43
can all train ourselves 46
can any longer distinguish 66
can any longer entertain 65
can any longer guarantee 54
can any longer undermine 61
can any really important 51
can any state prescribe 54
can any treaty guarantee 70
can bear ample testimony 539
can bear strong testimony 51
can bear willing testimony 74
can bring about additional 66
can bring about agreement 91
can bring about astonishing 66
can bring about behavioral 72
can bring about beneficial 84
can bring about compliance 54
can bring about conditions 160
can bring about depression 104
can bring about desirable 183
can bring about different 228
can bring about effective 267
can bring about extensive 63
can bring about happiness 95
can bring about important 305
can bring about liberation 106
can bring about measurable 44
can bring about necessary 72
can bring about permanent 145
can bring about political 187
can bring about premature 45
can bring about reductions 71
can bring about resolution 41
can bring about revolution 59
can bring about situations 62
can bring about spiritual 103
can bring about stability 73
can bring about sustained 42
can bring about temporary 102
can bring about universal 46
can bring about widespread 50
can bring about wonderful 50
can bring lasting happiness 56
can bring legal proceedings 48
can but dimly apprehend 250
can fly short distances 218
can get quite different 93
can get quite difficult 46
can get quite elaborate 88
can get quite expensive 320
can get quite technical 64
can get rather expensive 71
can get really depressed 43
can get really expensive 46
can get really interesting 46
can hear about elephants 61
can lead quite naturally 84
can mean quite different 499
can mean rather different 48
can not abide criticism 72
can not abide medicines 50
can not adapt ourselves 164
can not adapt themselves 2742
can not admit ourselves 40
can not adopt effective 97
can not after reasonable 313
can not again undertake 56
can not agree altogether 102
can not agree precisely 65
can not agree themselves 56
can not align ourselves 68
can not align themselves 110
can not allow aggression 110
can not allow arbitrary 41
can not allow democracy 40
can not allow employees 57
can not allow everybody 52
can not allow exceptions 59
can not allow ourselves 6641
can not allow political 106
can not allow sentiment 78
can not allow themselves 3463
can not allow unlimited 78
can not alone decompose 47
can not alone determine 559
can not alone distinguish 42
can not alone establish 413
can not alone guarantee 444
can not alone represent 42
can not alter character 41
can not alter ourselves 59
can not alter themselves 95
can not amuse ourselves 60
can not amuse themselves 287
can not appear elsewhere 43
can not appear overnight 56
