cage forced open from 47
cage should have been 49
cake should spring back 86
cake upside down onto 55
calf drinks milk from 42
calf should have been 76
call around some time 66
call before coming over 197
call before your mind 97
call christ their lord 96
call england their home 78
call itself back into 49
call myself your most 105
call myself your very 42
call myself your wife 41
call nature have been 75
call options have been 65
call should come from 151
call should have been 770
call should have come 105
call should look like 53
call someone from your 51
call something good when 59
call sounds more like 119
calm myself down when 59
calm thought much good 57
came across during their 114
came across even more 141
came across from north 40
came across from their 40
came across from time 129
came across just such 205
came across many more 127
came across many other 139
came across many such 153
came across many years 49
came across more like 194
came across much more 122
came across only three 77
came across some good 74
came across some more 344
came across some other 121
came across some poems 47
came across some time 59
came across some very 887
came across some wild 77
came across some years 54
came across some young 55
came across these great 51
came across these jingling 60
came across three more 184
came across three other 46
came across three young 76
came across very much 83
came across very well 507
came across were from 47
came across were those 42
came across were very 80
came across what must 90
came across your book 127
came across your desk 56
came across your mind 42
came across your name 283
came almost five years 49
came almost four years 62
came almost three years 76
came another call from 132
came another even more 55
came another great wave 75
came another note from 202
came another roar from 44
came another ship from 40
came another shot from 64
came another time when 67
came another word into 88
came around cape horn 408
came around from time 129
came around last week 51
came around once more 622
came around only once 105
came around there were 53
came ashore from their 154
came before their eyes 289
came before their time 161
came before there were 43
came boldly down from 45
came boldly down into 40
came boldly forth from 87
came bouncing back from 63
came bouncing back into 71
came bounding back down 44
came bounding back from 70
came bounding back into 159
came bounding down from 164
came bounding into their 52
came broken into many 83
came bursting back into 78
came bursting forth from 77
came bursting into their 56
came bustling back into 108
came charging back down 46
came charging back into 136
came charging down from 151
came charging down upon 670
came charging into camp 41
came charging into their 49
came charging into town 42
came charging into view 50
came clearly into view 2179
came closer into view 199
came crashing back down 628
came crashing back into 217
came crashing down along 49
came crashing down among 79
came crashing down during 115
came crashing down from 673
came crashing down hard 125
came crashing down into 856
came crashing down just 87
came crashing down like 344
came crashing down onto 563
came crashing down over 390
came crashing down upon 3279
came crashing down when 517
came crashing into their 75
came creeping back along 82
came creeping back into 273
came creeping down from 76
came creeping forth like 43
came creeping forth upon 737
came crowding back into 179
came crowding back upon 194
came crowding thick upon 70
came crushing down upon 76
came direct from india 152
came direct from rome 214
came direct from their 164
came dragging some sort 43
came drifting back from 114
came drifting back into 83
came drifting down from 268
came drifting down into 106
came drifting down like 40
came drifting down upon 101
came drifting over from 56
came dropping down from 88
came dropping down like 63
came dropping down upon 72
came fairly down upon 40
came fairly into play 101
came fairly into view 142
came flashing back into 46
came flashing down from 48
came floating back down 63
came floating back from 94
came floating back into 110
came floating down from 702
came floating down into 63
came floating down like 85
came floating down upon 73
came floating into view 53
came flocking back from 43
came flocking down from 64
came flocking from their 129
came flooding back from 88
came flooding back into 1037
came flooding back like 228
came flooding back over 106
came flooding back upon 104
came flooding back when 138
came further news from 48
came heavily down upon 159
came hobbling along from 45
came hobbling upon their 44
came hurrying along from 49
came hurrying back down 42
came hurrying back from 443
came hurrying back into 132
came hurrying down from 466
came hurrying down into 56
came hurrying from their 66
came hurrying home from 93
