calcium into muscle cells 135
cancers have already spread 69
candles were already burning 101
candles were always burning 101
candles were placed under 41
capital from abroad could 93
capital from abroad which 82
capital from abroad would 87
capital from europe after 43
capital from pension funds 71
capital from public funds 54
capital from various parts 84
capital have become links 51
capital into larger units 50
capital were placed under 50
capital will remain forty 50
captain said something about 55
captain talk something about 72
captive from another tribe 302
capture fort william henry 409
capture more market share 530
capture those feelings which 77
capturing fort william henry 47
capturing more market share 60
caravan into marching order 64
careful when crossing roads 52
careful when deciding which 56
careful when deleting files 95
careful when handling brake 62
carpets made without child 44
carriage into another might 97
carried along through space 108
carried away almost every 47
carried away another thirty 63
carried away through space 74
carried from places where 64
carried great weight within 60
carried high enough above 177
carried into almost every 176
carried into another state 55
carried into another world 287
carried into deeper water 263
carried into effect about 154
carried into effect after 546
carried into effect either 338
carried into effect every 91
carried into effect fully 68
carried into effect later 49
carried into effect might 41
carried into effect shall 52
carried into effect since 103
carried into effect today 42
carried into effect under 1348
carried into effect until 2123
carried into effect where 79
carried into effect which 230
carried into effect while 135
carried into effect within 902
carried into effect would 532
carried into england shall 47
carried into england under 43
carried into english ports 179
carried into french ports 85
carried into modern times 190
carried into morals makes 46
carried into places where 44
carried into regions where 148
carried into various parts 56
carried more lilies still 56
carried much further after 42
carried much further since 96
carried much further under 87
carried much larger crews 45
carried over ground which 67
carried over niagara falls 48
carried over places where 119
carried over without change 309
carried sail without stint 53
carried some twenty miles 42
carried their drinking water 66
carried their secret signs 51
carried their swords drawn 58
carried these topics still 69
carried very little cargo 41
carried very little money 48
carried very little water 92
carrier task forces could 75
carrier task forces which 70
carrier task forces would 231
carrier when engaged within 110
carries even greater force 67
carries over without change 124
carries such hamper above 52
carries true enough after 42
carries very little water 96
cassava vein mosaic virus 191
castles were placed under 82
cavalry over winter roads 40
cavalry were placed under 210
cavalry were posted above 41
caverns those waters exude 113
censors will readily grant 40
censure john quincy adams 56
censure those crimes which 305
centers were placed under 62
centers were places where 43
central axes around which 51
central axis around which 722
central bank creates money 104
central bank credit would 65
central bank policy which 52
central bank prints money 58
central bank should adopt 57
central bank should focus 54
central bank should raise 47
central bank through which 74
central body around which 283
central body through which 90
central core around which 745
central core through which 51
central fact around which 168
central fire around which 125
central gray matter which 117
central great plains region 117
central heating system which 228
central heating system would 50
central hole through which 619
central ideas around which 102
central lens through which 52
central line around which 78
central mass around which 62
central means through which 342
central part around which 65
central pole around which 69
central pore through which 156
central post office where 64
central star around which 51
central tail feathers black 113
central tail feathers which 83
central theme around which 981
central thread around which 66
central truth around which 114
central tube through which 76
central unit around which 64
century have passed since 639
century having passed since 133
century into modern times 72
century leave little doubt 88
century were already aware 58
century were keenly aware 80
century were united under 42
century were without doubt 42
century when almost every 54
century when martin luther 159
certain acts therein named 75
certain bone marrow cells 50
certain card number which 85
certain core values which 56
certain great events which 52
certain great public works 56
certain idle visions which 87
certain line beyond which 133
certain means through which 74
certain media through which 42
certain more serious cases 41
