calcined bone fragments were 93
calculus must throughout have 83
calories from saturated fats 295
campaign also benefited from 79
campaign soon developed into 82
campaign will certainly work 84
capitals were sometimes meant 40
captives were scattered among 56
carbonic acid disengaged from 310
carbonic acid generated during 123
carbonic acid generated from 47
carbonic acid liberated from 168
carbonic acid separates into 103
cardinal vein umbilical vein 46
cassette tape recorders have 44
cassette tape recorders were 167
casually their daughters were 213
category best describes your 307
category very different from 80
catheters were implanted into 47
celestial beings descended from 87
censuses were conducted during 71
centered upon surmounting these 41
ceramics were collected from 63
ceramics were recovered from 399
chairman alan greenspan said 41
challenge very different from 55
chambers were converted into 78
chambers were separated from 81
channeling more resources into 63
channels very different from 83
channels were separated from 55
chapters fall logically into 43
chapters fall naturally into 51
chapters have benefited from 130
chapters have described many 53
chapters have described some 180
chapters have described what 83
chapters have discussed many 82
chapters have discussed some 154
chapters have discussed ways 43
chapters have discussed what 91
chapters have indicated some 86
chapters have presented data 60
chapters have presented many 57
chapters have presented some 77
chapters have previously been 102
chapters have suggested some 52
chapters other qualities have 84
chapters were developed from 51
chapters were separated from 66
chapters will elaborate upon 63
charcoal gray pinstripe suit 53
charcoal were collected from 42
charcoal were recovered from 129
chattering like malignant apes 108
chemists have developed many 44
children also benefited from 94
children also influence their 69
children came primarily from 47
children coming pleasantly from 83
children during preschool years 58
children during storybook reading 52
children fall naturally into 41
children feel alienated from 52
children feel different from 53
children flung themselves into 45
children flung themselves upon 47
children form themselves into 85
children free themselves from 90
children from countries such 47
children from depressed areas 98
children from different areas 101
children from different home 193
children from extremely poor 82
children from hazardous work 79
children from preschool years 66
children from surrounding areas 45
children have abandoned their 303
children have abdominal pain 47
children have benefited from 696
children have certainly been 82
children have completed high 44
children have completed their 1119
children have congenital heart 77
children have defective hearing 70
children have defective teeth 112
children have described their 44
children have developed into 69
children have developed many 49
children have developed more 108
children have developed some 263
children have developed their 253
children have developed these 47
children have different ideas 68
children have different ways 124
children have exhausted their 68
children have expressed much 118
children have expressed their 166
children have extremely high 51
children have forgotten their 63
children have generally been 429
children have graduated from 536
children have increasingly been 79
children have inherited from 132
children have inherited their 134
children have previously been 173
children have recovered from 108
children have repeatedly been 42
children have responded well 70
children have scattered over 51
children have sometimes been 416
children have television sets 59
children have themselves been 111
children have typically been 115
children hold themselves ready 51
children knew perfectly well 43
children know perfectly well 116
children learn primarily from 122
children like everybody else 93
children look different from 62
children must accompany their 41
children must construct their 54
children need additional help 90
children need protection from 325
children only gradually come 59
children show themselves able 42
children threw themselves down 106
children threw themselves into 271
children threw themselves upon 111
children throw themselves down 99
children throw themselves into 97
children took themselves away 61
children very different from 121
children weep sometimes when 43
children were acquitted from 144
children were alienated from 97
children were basically good 47
children were certainly more 92
children were collected during 44
children were collected from 148
children were collected into 54
children were conceived during 70
children were concerned there 51
children were converted into 51
children were currently living 46
children were delighted when 252
children were delivered from 105
children were delivered into 53
children were dependent upon 345
children were descended from 81
children were different from 546
children were dismissed from 273
children were dispersed among 93
children were especially fond 99
children were evacuated during 54
children were evacuated from 1072
children were extremely fond 53
children were extremely rare 49
children were extremely well 144
children were forbidden from 104
children were generally able 59
children were generally born 41
children were generally from 58
children were generally left 62
children were generally less 175
children were generally more 558
children were generally sent 67
children were generally very 75
children were generally well 231
children were graduated from 128
children were increasingly able 40
children were increasingly seen 61
children were kidnapped from 162
children were liberated from 46
children were naturally good 104
children were naturally very 46
children were organized into 310
children were perfectly well 85
children were preserved from 59
children were prevented from 587
children were primarily from 53
children were progressing well 62
children were protected from 456
children were reasonably well 136
children were recovered from 76
children were recruited from 424
children were recruited into 136
children were regularly sent 56
children were routinely sent 42
children were scattered along 116
children were scattered among 293
children were scattered over 429
children were separated from 3476
children were separated into 312
