cab outside the terminal 113
cam rotates at constant 45
can abandon the property 121
can abolish or prorogue 117
can absolve the subjects 194
can achieve an absolute 122
can achieve an accuracy 324
can achieve an accurate 164
can achieve an adequate 304
can achieve an authentic 51
can achieve an economic 98
can achieve an emotional 58
can achieve an enormous 71
can achieve an identity 71
can achieve an immediate 73
can achieve an improved 229
can achieve an increased 105
can achieve an infinite 63
can achieve an intimacy 53
can achieve an ultimate 59
can achieve in isolation 50
can achieve in practice 167
can achieve no distance 107
can achieve or maintain 127
can achieve the abolition 97
can achieve the absolute 119
can achieve the accuracy 41
can achieve the american 343
can achieve the benefits 286
can achieve the capacity 61
can achieve the complete 98
can achieve the distance 52
can achieve the economic 121
can achieve the essential 43
can achieve the expected 141
can achieve the financial 48
can achieve the fullness 56
can achieve the greatness 60
can achieve the intended 209
can achieve the opposite 82
can achieve the original 41
can achieve the outcomes 51
can achieve the personal 57
can achieve the potential 63
can achieve the purposes 141
can achieve the reduction 49
can achieve the required 1720
can achieve the security 50
can achieve the specific 40
can achieve the standard 223
can achieve the ultimate 355
can acquire an absolute 56
can acquire an accurate 75
can acquire an adequate 188
can acquire an education 160
can acquire an electron 48
can acquire an enormous 45
can acquire an identity 45
can acquire an increased 44
can acquire an interest 579
can acquire no interest 40
can acquire no property 774
can acquire or maintain 52
can acquire the capacity 453
can acquire the direction 57
can acquire the education 66
can acquire the infection 300
can acquire the parasite 48
can acquire the patience 40
can acquire the property 380
can acquire the relevant 63
can acquire the required 206
can acquire the resource 54
can acquire the services 83
can address an assembly 40
can address an audience 341
can address it directly 73
can address the audience 92
can address the challenge 97
can address the concerns 230
can address the critical 45
can address the emotional 58
can address the immediate 44
can address the multiple 66
can address the physical 53
can address the potential 54
can address the problems 752
can address the questions 222
can address the situation 148
can address the specific 242
can address the underlying 268
can adjourn the chambers 111
can advance an argument 62
can advance in holiness 47
can advance no argument 40
can advance the argument 112
can advance the interest 44
can advance the progress 116
can advance to eminence 93
can advance to positions 206
can advance to socialism 60
can against the children 48
can agitate an ambitious 64
can amplify or diminish 103
can amplify the benefits 40
can amplify the original 52
can analyze the chemical 53
can analyze the contents 105
can analyze the dynamics 93
can analyze the economic 82
can analyze the elements 56
can analyze the evidence 46
can analyze the financial 58
can analyze the movement 42
can analyze the nameless 162
can analyze the operation 81
can analyze the patterns 72
can analyze the potential 120
can analyze the probable 41
can analyze the problems 85
can analyze the relative 73
can analyze the sentence 56
can analyze the situation 724
can anybody be expected 84
can appoint an attorney 242
can appoint it otherwise 57
can appoint the property 194
can approve the proposed 89
can astound an american 48
can attempt an analysis 55
can attempt to alleviate 69
can attempt to allocate 56
can attempt to approach 94
can attempt to challenge 40
can attempt to classify 134
can attempt to conceive 71
can attempt to consider 80
can attempt to continue 43
can attempt to convince 249
can attempt to decipher 66
can attempt to delineate 63
can attempt to describe 1220
can attempt to diminish 44
can attempt to discover 389
can attempt to disprove 42
can attempt to equalize 48
can attempt to estimate 606
can attempt to evaluate 302
can attempt to exercise 64
can attempt to forecast 94
can attempt to generate 74
can attempt to identify 803
can attempt to indicate 100
can attempt to maintain 276
can attempt to maximize 159
can attempt to minimize 425
can attempt to mitigate 117
can attempt to mobilize 52
can attempt to motivate 52
can attempt to negotiate 273
can attempt to optimize 70
can attempt to organize 87
can attempt to overcome 330
can attempt to override 179
can attempt to persuade 510
can attempt to pinpoint 41
can attempt to preserve 98
can attempt to purchase 51
can attempt to quantify 120
can attempt to redefine 41
can attempt to redirect 43
can attempt to regulate 184
can attempt to remember 44
can attempt to restrict 81
can attempt to retrieve 63
can attempt to separate 240
can attempt to simulate 95
can attempt to strengthen 73
can attempt to suppress 61
can attempt to transfer 63
can attempt to transmit 66
can attract an audience 225
can attract an electron 63
can attract the attention 1445
can attract the interest 149
can augment or diminish 443
can augment the activity 42
can augment the response 63
can balance the benefits 41
can balance the negative 42
can balance the pressure 161
can bargain or negotiate 46
can because we invented 64
can believe in evolution 58
can believe in miracles 212
can believe in progress 59
can believe in whatever 67
can believe in yourself 178
can believe it possible 700
can believe the accounts 201
can believe the assertion 76
can believe the contrary 150
can believe the doctrine 71
can believe the evidence 243
can believe the historian 51
can believe the promises 55
can believe the tradition 58
can benefit an employer 46
can benefit by developing 97
can benefit the business 100
can benefit the children 77
can benefit the consumer 107
can benefit the customer 115
can benefit the employer 363
can benefit the majority 65
can benefit the prospect 63
can benefit the students 51
can between the contending 50
can briefly be mentioned 98
can briefly be outlined 68
can briefly be sketched 50
can broaden the horizons 116
can broaden the spectrum 54
can broadly be referred 82
can broadly be regarded 77
can capture an audience 109
can capture an electron 639
can capture the attention 595
can capture the audience 123
can capture the benefits 350
can capture the complete 41
can capture the dynamics 122
can capture the economic 58
can capture the essential 280
can capture the external 45
can capture the fullness 57
can capture the interest 178
can capture the movement 49
can capture the relevant 67
can capture the richness 162
can capture the totality 59
can capture the underlying 116
can channel the energies 60
can clarify the concepts 55
can clarify the diagnosis 159
can clarify the problems 71
can clarify the questions 47
can clarify the relative 59
can clarify the sentence 49
can clarify the situation 575
can cluster in families 54
can collect the evidence 58
can collect the interest 81
can collect the judgment 69
can collect the materials 112
can collect the original 45
can collect the proceeds 54
can collect the relevant 44
can collect the required 62
can combine an interest 131
can combine as elements 47
can combine the benefits 199
can combine the concepts 59
can combine the contents 52
can combine the elements 230
can combine the equations 124
can combine the functions 273
can combine the insights 46
can combine the materials 48
can combine the separate 72
can combine the virtuous 61
can combine to generate 137
can command an adequate 83
can command an audience 255
can command my attention 49
can command my services 154
can command the attention 950
can command the authority 60
can command the computer 285
can command the elements 288
can command the external 47
can command the financial 40
can command the interest 56
can command the majority 54
can command the personal 43
can command the presence 55
can command the services 1341
can command the situation 90
can commend it cordially 82
can commend to students 132
can compact the database 47
can compare in accuracy 59
can compare in atrocity 63
can compare in efficacy 41
can compare in grandeur 72
can compare in interest 206
can compare it directly 43
can compare or contrast 230
can compare the absolute 70
can compare the accuracy 73
can compare the apparent 55
can compare the baseline 104
can compare the benefits 99
can compare the capacity 47
can compare the computed 133
can compare the condition 90
can compare the contents 172
can compare the direction 40
can compare the distance 63
can compare the economic 83
can compare the evidence 47
can compare the evolution 44
can compare the expected 428
can compare the financial 82
can compare the internal 65
can compare the movement 48
can compare the observed 833
can compare the obtained 51
can compare the original 314
can compare the outcomes 83
can compare the patterns 89
can compare the physical 77
can compare the positions 75
can compare the possible 47
can compare the potential 113
can compare the pressure 88
can compare the progress 89
can compare the received 42
can compare the relative 2608
can compare the reported 44
can compare the response 179
can compare the sequence 41
can compare the situation 336
can compare the solutions 55
can compare the specific 50
can compare the standard 169
can compare the treatment 80
can compare the velocity 50
can compass the purchase 55
can compete in interest 82
can compute an estimate 239
can compute an expected 151
can compute in parallel 51
can compute the absolute 163
can compute the apparent 48
can compute the combined 45
can compute the complete 52
can compute the constant 74
can compute the critical 86
can compute the direction 79
can compute the discrete 48
can compute the distance 665
can compute the electric 93
can compute the electron 53
can compute the evolution 58
can compute the expected 3114
can compute the gradient 142
can compute the integral 150
can compute the interest 74
can compute the internal 88
can compute the magnetic 44
can compute the marginal 209
can compute the multiple 46
can compute the original 40
can compute the positions 54
can compute the possible 43
can compute the posterior 467
can compute the potential 179
can compute the pressure 302
can compute the probable 83
can compute the quantity 131
can compute the relative 407
can compute the relevant 66
can compute the required 624
can compute the residual 50
can compute the response 110
can compute the sequence 51
can compute the shortest 60
can compute the specific 55
can compute the standard 950
can compute the stresses 53
can compute the transfer 46
can compute the variances 51
can compute the velocity 282
can compute the vertical 59
can compute the weighted 169
can condemn the innocent 48
can conduct an analysis 106
can conduct an argument 64
can conduct an electric 522
can conduct an informal 56
can conduct my business 146
can conduct the analysis 96
can conduct the business 261
can conduct the ceremony 61
can conduct the electric 379
can conduct the operation 45
can confirm or challenge 48
can confirm or disprove 153
can confirm the accuracy 295
can confirm the assertion 57
can confirm the authority 149
can confirm the clinical 245
can confirm the condition 47
can confirm the diagnosis 4368
can confirm the efficacy 40
can confirm the identity 178
can confirm the presence 2072
can confirm the suspicion 74
can confirm the validity 268
can confirm thy nobility 99
can confuse the analysis 55
can confuse the audience 99
can confuse the clinical 123
can confuse the clinician 99
can confuse the computer 69
can confuse the consumer 45
can confuse the customer 46
can confuse the diagnosis 230
can confuse the listener 133
can confuse the situation 75
can conjure up memories 96
can conjure up pictures 83
can connect an external 157
can connect it directly 101
can connect the computer 77
can connect to external 81
can connect to internet 80
can connect to multiple 353
can connect to networks 49
can connect to services 46
can conquer the universe 72
can consent to treatment 315
can consist of anywhere 106
can consist of concrete 52
can consist of discrete 41
can consist of elements 104
can consist of hundreds 338
can consist of materials 59
can consist of multiple 2404
can consist of numerous 103
can consist of ordinary 51
can consist of physical 81
can consist of positive 44
can consist of separate 69
can consist of specific 42
can consist of standard 96
can consist of straight 147
can consist of thousands 151
can consist of variables 45
can consist of whatever 52
can consult an attorney 72
can consult the american 93
can consult the articles 59
can consult the glossary 113
can consult the original 609
can consult the relevant 119
can consume an enormous 133
can consume the majority 41
can contact me directly 133
can contact the american 1200
can contact the customer 72
can contact the hospital 70
can contact the physician 43
can contact the relevant 74
can contact the therapist 50
can contact us directly 70
can contain an accurate 64
can contain an embedded 130
can contain an enormous 117
can contain an infinite 244
can contain an instance 48
can contain the complete 53
can contain the conflict 45
can contain the contents 54
can contain the elements 50
can contain the fullness 93
can contain the infinite 70
can contain the potential 46
can contain the situation 58
can contain the standard 42
can contain the universe 50
can contest the validity 122
can control is yourself 378
can control my attitude 46
can control or dominate 57
can control or regulate 113
can control the accuracy 131
can control the activity 322
can control the aircraft 75
can control the airplane 55
can control the animation 87
can control the attitude 79
can control the audience 84
can control the bandwidth 43
can control the business 158
can control the channels 66
can control the chemical 46
can control the children 61
can control the computer 261
can control the condition 173
can control the contents 127
can control the contrast 92
can control the decisions 201
can control the delivery 89
can control the direction 1313
can control the disorder 77
can control the distance 189
can control the dynamics 90
can control the economic 176
can control the elections 48
can control the electric 83
can control the electron 70
can control the elements 343
can control the emotional 79
can control the evolution 90
can control the execution 342
can control the exercise 193
can control the expansion 42
can control the exposure 108
can control the external 182
can control the formation 147
can control the formatting 305
