cafe much frequented by 60
cake cool completely in 141
cake cool completely on 55
cake were discovered on 43
call down destruction on 201
call down punishment on 78
call forth associations of 133
call forth expressions of 483
call forth immediately the 51
call forth sentiments of 92
call forth tenderness on 115
call from providence to 64
call into circulation the 72
call into conference the 182
call into prominence the 164
call into requisition the 899
call more frequently on 58
call must correspond to 45
call other procedures or 103
call pure conceptions of 46
call such narratives to 62
call such perceptions by 72
call their countrymen to 49
call these approaches the 40
call these collections of 41
call these principles the 66
call these quantities the 63
call these sentiments by 55
call those principles the 52
call upon bystanders to 55
call upon experience to 49
call upon government to 979
call upon imagination to 55
call upon specialists in 65
call upon specialists to 46
call upon volunteers to 222
call your pediatrician if 117
call your pediatrician or 76
call your supervisor or 55
call your supervisor to 44
calm when confronted by 85
came also handsomely to 60
came away determined to 213
came away strengthened in 59
came back constantly to 77
came back determined to 775
came back downstairs he 47
came back downstairs in 78
came back downstairs to 363
came back eventually to 95
came back frequently to 102
came back immediately in 59
came back immediately to 355
came back registered to 100
came back triumphant to 63
came down decisively in 182
came down decisively on 215
came down essentially to 57
came down eventually to 43
came down forcefully on 59
came down frequently to 95
came down immediately to 176
came down personally to 146
came down ultimately to 50
came forth gracefully on 73
came from application of 61
came from associations of 45
came from canterbury to 41
came from charleston to 62
came from cincinnati to 206
came from comparison of 61
came from copenhagen to 60
came from department of 79
came from employment in 48
came from essentially the 151
came from everywhere as 42
came from everywhere at 263
came from everywhere in 383
came from everywhere on 71
came from everywhere to 1496
came from examination of 160
came from excavations at 73
came from excavations in 77
came from experience in 118
came from experience of 64
came from experiencing the 50
came from generations of 603
came from government or 76
came from heidelberg to 41
came from households in 189
came from households of 85
came from industries in 50
came from interviews of 46
came from investment in 56
came from lancashire to 45
came from localities in 104
came from louisville to 79
came from manchester in 48
came from manchester to 197
came from marseilles to 60
came from martinique in 41
came from martinique to 56
came from membership in 177
came from membership of 49
came from mesopotamia to 123
came from minneapolis to 51
came from mozambique to 44
came from newspapers in 42
came from northampton to 45
came from observation of 274
came from originally is 142
came from pittsburgh to 153
came from plantations in 88
came from professors in 44
came from professors of 40
came from proponents of 88
came from providence to 52
came from recognition of 103
came from researchers in 40
came from resistance to 44
came from retirement to 66
came from sacramento to 52
came from scandinavia in 56
came from scandinavia or 48
came from scandinavia to 78
