calculate accurately the expense 60
canonical impediment to marriage 80
canonical institution of bishops 86
canonical literature of judaism 108
capillary bronchitis or broncho 150
captivity protracted by adverse 63
carbonate peninsulas of florida 77
carefully calculated in advance 234
carefully calculated in relation 92
carefully calculated the chances 50
carefully calculated to achieve 135
carefully calculated to attract 69
carefully calculated to deprave 45
carefully calculated to enhance 56
carefully calculated to express 56
carefully calculated to impress 46
carefully calculated to prevent 55
carefully calculated to produce 196
carefully calculated to provide 136
carefully considered by congress 77
carefully considered by teachers 48
carefully considered in advance 1001
carefully considered in assessing 55
carefully considered in chapter 60
carefully considered in designing 279
carefully considered in preparing 75
carefully considered in relation 1244
carefully considered in respect 42
carefully considered in selecting 250
carefully considered in studies 44
carefully considered the details 51
carefully considered the effects 83
carefully considered the factors 40
carefully considered the following 40
carefully considered the general 134
carefully considered the grounds 48
carefully considered the language 54
carefully considered the opinions 42
carefully considered the petition 77
carefully considered the position 207
carefully considered the present 74
carefully considered the problem 217
carefully considered the question 1344
carefully considered the reports 49
carefully considered the request 76
carefully considered the results 75
carefully considered the several 55
carefully considered the subject 1443
carefully considered to achieve 79
carefully considered to prevent 99
carefully considered to provide 71
carefully contrasted the private 48
carefully controlled in relation 49
carefully controlled to achieve 262
carefully controlled to exclude 41
carefully controlled to increase 85
carefully controlled to prevent 1505
carefully controlled to produce 310
carefully controlled to protect 82
carefully controlled to provide 215
carefully cultivated by several 190
carefully cultivated or carried 41
carefully cultivated the support 61
carefully determined by several 49
carefully determined in advance 153
carefully evaporated to dryness 1010
carefully formulated in advance 148
carefully formulated to provide 45
carefully formulated to respond 65
carefully instructed in religion 97
carefully maintained the balance 45
carefully maintained to prevent 98
carefully neutralize the solution 70
carefully neutralizing the solution 40
carefully programmed in advance 73
carefully restricted to certain 51
carefully scrutinize the conduct 63
carefully structured to include 66
carefully structured to produce 44
carefully structured to promote 105
carefully structured to provide 146
carefully structured to reflect 56
carefully structured to replace 142
carefully supervised by trained 40
carefully supervised to prevent 159
caregiver appraisals of patient 62
caretaker government of general 116
caretaker government to conduct 79
casuistry sufficient to justify 152
catalytic activities of enzymes 180
catalytic activities of several 45
catalytic converters to control 415
catalytic destruction by reactions 136
catalytic efficiency of enzymes 247
catalytic mechanisms of enzymes 151
catalytic properties of enzymes 824
catalytic properties of zeolites 274
catalyzed hydrolysis of peptide 58
catalyzed hydrolysis of sucrose 233
catalyzes hydrolysis of peptide 95
causality assessment of adverse 122
causeless fluctuation of spirits 89
cautiously approached the subject 250
cautiously approached the village 81
cautiously evaporated to dryness 277
cautiously introduced the subject 88
centennial celebration of mexican 52
centuries controlled the general 82
ceremonial inferiority of machine 66
ceremonial ordinances of religion 45
ceremonial valediction of garrick 45
certainly accelerate the process 46
certainly appropriate to include 44
certainly calculated to attract 40
certainly calculated to impress 75
certainly calculated to increase 67
certainly calculated to inspire 207
certainly calculated to produce 201
certainly calculated to promote 44
certainly contribute to increase 85
certainly foredoomed to failure 98
certainly impossible to achieve 69
certainly impossible to believe 45
certainly impossible to explain 74
certainly impossible to imagine 121
certainly impossible to predict 58
certainly inadequate to explain 84
certainly influenced the decision 147
certainly influenced the outcome 71
certainly influences the quality 40
certainly introduces an element 45
certainly manifested an impulse 55
certainly productive of utility 42
certainly recognized the problem 58
certainly represents an advance 100
certainly represents an attempt 74
certainly represents an extreme 128
certainly represents the highest 59
certainly simplifies the problem 55
certainly strengthened the position 113
certainly successful in achieving 40
certainly sufficient to account 134
certainly sufficient to explain 55
certainly sufficient to justify 318
certainly sufficient to prevent 89
certainly sufficient to produce 52
certainly sufficient to provide 84
certainly sufficient to satisfy 86
certainly sufficient to support 104
certainly sufficient to warrant 143
certainly understood the concept 55
certainty equivalent is defined 42
challenged legislation or official 82
challenges separately or jointly 60
character attributed to certain 42
character calculated to prevent 106
character sufficient to justify 60
character sufficient to satisfy 72
chartered university in america 88
chemistry department at cornell 49
chemistry department at harvard 64
cherished institution of slavery 205
cherished possessions of mankind 46
cherished principles of freedom 130
cherished principles of liberty 135
cherished sentiments of respect 81
childbearing motivations of married 52
childhood dependence on parents 78
childhood experience in relation 108
childhood experience of listening 44
childhood experience of poverty 44
childhood experience of violence 47
childlike simplicity of chaucer 67
childlike simplicity of manners 84
chromatic properties of neurons 53
chromatin apparently in process 79
circulate falsehoods to destroy 111
circulating antibodies to adrenal 46
circulating antibodies to gastric 41
circulating antibodies to insulin 78
circulating metabolite of vitamin 173
civilized government is founded 42
civilized instrument of comfort 40
classical assumptions of perfect 74
classical categories of history 43
classical commentary of addison 40
classical definitions of tragedy 40
classical description an organic 62
classical description of radiation 54
classical economists in general 286
classical economists to explain 93
classical foundations of western 119
classical landscapes of poussin 40
classical literature in general 309
classical literature in germany 63
classical literature of ancient 139
classical literature of germany 127
classical mechanisms of defense 55
classical philosophy in general 169
classical philosophy of germany 45
classical philosophy of history 100
classical philosophy of science 247
classical principles of balance 72
classical principles of harmony 40
classroom activities of teachers 99
classroom activities to develop 111
classroom activities to promote 94
classroom activities to provide 54
classroom assessment of student 52
classroom experience of teachers 54
classroom instruction as related 82
classroom instruction in addition 46
classroom instruction in general 62
classroom instruction in history 58
classroom instruction in science 58
classroom management in general 42
classroom management of behavior 56
classroom observation of teachers 103
cognitive advantages of bilingual 150
cognitive approaches to behavior 56
cognitive approaches to language 442
cognitive approaches to problem 40
cognitive assessment of anxiety 88
cognitive assessment of limited 64
cognitive capacities in general 103
cognitive capacities of animals 112
cognitive capacities of decision 47
cognitive capacities of infants 68
cognitive competence in elderly 60
cognitive competence in preterm 136
cognitive competence to infants 86
cognitive complexity is related 43
cognitive complexity of bereaved 60
cognitive complexity of science 45
cognitive components of anxiety 92
cognitive components of behavior 160
cognitive components of emotions 73
cognitive components of skilled 120
cognitive correlates of vehicle 128
cognitive dissonance in relation 46
cognitive dissonance is aroused 54
cognitive dissonance is reduced 55
cognitive dissonance to explain 101
cognitive dysfunction in chronic 58
cognitive dysfunction in dementia 44
cognitive dysfunction in elderly 65
cognitive dysfunction or dementia 128
cognitive experience in general 103
cognitive impairment as measured 85
cognitive impairment in addition 40
cognitive impairment in chronic 541
cognitive impairment in dementia 246
cognitive impairment in elderly 695
cognitive impairment in general 139
cognitive impairment in medical 49
cognitive impairment in persons 57
cognitive impairment in primary 63
cognitive impairment in relapsing 97
cognitive impairment in relation 68
cognitive impairment is present 517
cognitive impairment is related 81
cognitive impairment is usually 43
cognitive impairment no dementia 73
