cake layer upside down 125
call after another from 76
call again another time 213
call again before leaving 59
call comes through from 132
call could hardly have 75
call every passion into 44
call first before coming 50
call jesus christ lord 159
call lords greater folk 791
call money market rate 56
call option holder will 52
call state militia into 45
call walking through their 41
call which sounds like 347
call would neither have 144
calm sleep whence none 42
came about mainly from 67
came about partly from 140
came about something else 215
came about something like 54
came about through john 41
came about through lack 56
came about through many 55
came about through more 46
came about through reading 60
came about through some 284
came about through such 104
came about through their 336
came about through these 69
came about through three 50
came about through trial 117
came about through what 305
came about through your 74
came about twelve years 51
came about twenty years 218
came about without much 62
came after dinner when 71
came after twelve years 57
came after twenty years 140
came close almost down 229
came driving heavily into 54
came either direct from 54
came every maiden unto 176
came every summer from 61
came gliding slowly along 63
came nearly twenty years 137
came night before last 63
came oddly enough from 46
came pouring through those 153
came rather slowly into 64
came right through from 41
came right through here 65
came rolling slowly down 107
came running across from 128
came running around from 118
came running through from 48
came running toward their 40
came seeking refuge from 65
came seeking relief from 47
came sighing heavily over 49
came thither except when 41
came tight enough upon 43
came under attack along 47
came under attack also 45
came under attack during 1265
came under attack early 187
came under attack even 72
came under attack from 14948
came under attack just 47
came under attack once 192
came under attack over 137
came under attack soon 57
came under attack were 65
came under attack when 540
came under cannon fire 53
came under danish rule 284
came under direct fire 356
came under direct rule 190
came under direct threat 114
came under english rule 571
came under ethiopian rule 57
came under fairly heavy 63
came under fierce fire 105
came under flanking fire 182
came under french rule 790
came under german fire 85
came under german rule 411
came under heavier fire 67
came under israeli rule 298
came under italian rule 171
came under jewish rule 44
came under mortar fire 389
came under muslim rule 698
came under norman rule 63
came under orders from 49
came under persian rule 293
came under polish rule 297
came under public fire 55
came under review during 61
came under russian rule 1047
came under serbian rule 56
came under serious fire 71
came under serious threat 304
came under severe fire 221
came under severe threat 90
came under sniper fire 445
came under soviet rule 373
came under strain during 79
came under strain from 64
came under strain when 64
came under withering fire 693
came walking slowly along 103
came walking slowly back 60
came walking slowly down 142
came wedging itself into 51
came which flowed from 41
came within cannon range 164
came within cannon shot 385
came within closer range 97
