cabin rudely finished . 47
cable access channels . 103
cable system channels . 54
cable system operator . 158
call another minister . 44
call another physician . 47
call arabic numerals . 42
call before midnight . 42
call campus security . 182
call center industry . 348
call center operation . 202
call center services . 263
call centre industry . 117
call centre services . 51
call design activity . 66
call double entendre . 42
call female greatness . 73
call further evidence . 144
call higher education . 116
call itself christian . 636
call itself socialist . 85
call lights promptly . 54
call modern progress . 63
call number sequence . 122
call public attention . 135
call public relations . 241
call sexual selection . 157
call special attention . 701
call trivial mistakes . 41
calling amiably meanwhile . 79
calling itself christian . 294
calling itself socialist . 147
calls expire worthless . 58
calls itself christian . 534
calls itself socialist . 117
calls special attention . 119
came across recently . 130
came almost suddenly . 69
came another disaster . 77
came another explosion . 54
came another messenger . 43
came another surprise . 407
came around midnight . 62
came before breakfast . 90
came before columbus . 84
came before jeffreys . 122
came before midnight . 42
came before politics . 60
came better prepared . 47
came special delivery . 61
came through education . 44
came through kentucky . 43
came through struggle . 43
came through unharmed . 169
came through unscathed . 1197
came without ceremony . 45
came without families . 41
came without incident . 44
came without objection . 80
camp almost anywhere . 54
camp before breakfast . 54
camp before daylight . 209
camp before midnight . 110
camp looked deserted . 53
camp seemed deserted . 93
camp without incident . 118
camps around washington . 119
camps inside pakistan . 40
canal already mentioned . 71
canal without anesthesia . 41
cane suffer severely . 63
canoes called pirogues . 41
caps turned backward . 50
care across cultures . 138
care became apparent . 54
care cancer patients . 70
care center director . 56
care policy decisions . 145
care reform movement . 138
care reform proposal . 381
care spending accounts . 141
care system functions . 88
care system operates . 141
care through medicaid . 264
care through medicare . 97
care training programs . 246
cargo carrying capacity . 304
cargo handling capacity . 55
cargo handling services . 70
carry angular momentum . 125
carry credit balances . 80
carry cruise missiles . 122
carry english property . 49
carry excess poundage . 40
carry greater authority . 45
carry greater prestige . 44
carry guided missiles . 97
carry heavier payloads . 53
carry larger payloads . 41
carry little authority . 63
carry little moisture . 55
carry little sediment . 86
carry nuclear missiles . 59
carry without overheating . 130
case almost hopeless . 156
case already mentioned . 435
case appears hopeless . 45
case became apparent . 73
case became friendly . 56
case became hopeless . 161
case became notorious . 51
case before mentioned . 186
case before operation . 43
case before proceeding . 50
case before treatment . 127
case driven approach . 143
