cabinet as minister without 537
cabinet of franklin pierce 90
cabinet of minerals belonging 54
cabinet so variously inlaid 1260
cadence of ordinary speech 46
calcium in coronary artery 47
calcium in skeletal muscle 171
calcium is actively pumped 47
calcium to maintain normal 44
calumny is conveyed through 43
calumny is sagacious enough 154
cancels the contract before 43
cancels the negative charge 44
cancels the positive charge 42
cancers in patients treated 97
cancers of epithelial origin 152
cancers of internal organs 152
candles on saturday nights 48
candles or electric lights 117
cannula is directed toward 46
cannula is inserted through 670
cannula is properly placed 41
canvass the relative merits 41
capable by chemical reaction 89
capable of abstract reasoning 568
capable of abstract thought 3711
capable of accurate reasoning 49
capable of accurate thought 107
capable of activating factor 126
capable of activating latent 64
capable of activating various 55
capable of actually carrying 48
capable of addressing issues 164
capable of addressing itself 184
capable of appetite without 65
capable of artistic creation 55
capable of assembling nuclear 43
capable of associating itself 56
capable of attracting another 41
capable of attracting crowds 44
capable of attracting oxygen 115
capable of attracting public 67
capable of brilliant relief 52
capable of brilliant spurts 57
capable of challenging existing 41
capable of chemical reaction 125
capable of coherent speech 180
capable of coherent thought 668
capable of collecting enough 41
capable of commanding armies 114
capable of commanding public 48
capable of commanding troops 66
capable of commending itself 54
capable of committing actual 80
capable of committing almost 65
capable of committing crimes 1525
capable of committing errors 87
capable of committing murder 754
capable of committing serious 92
capable of committing treason 113
capable of committing violent 68
capable of complete repair 54
capable of conceiving something 75
capable of concerning itself 48
capable of conducting abuses 50
capable of conducting combat 51
capable of conducting myself 42
capable of conducting public 110
capable of conferring rights 278
capable of conferring strength 43
capable of connecting itself 60
capable of conscious choice 73
capable of conscious thought 590
capable of conserving energy 44
capable of containing double 108
capable of containing eighty 442
capable of containing eleven 67
capable of containing enough 100
capable of containing liquid 144
capable of containing twelve 262
capable of containing twenty 587
capable of containing without 40
capable of continuing without 80
capable of converting ammonia 136
capable of converting carbon 66
capable of converting energy 114
capable of converting itself 52
capable of converting silver 43
capable of converting starch 922
capable of convincing anyone 73
capable of correcting errors 198
capable of correcting itself 89
capable of criminal intent 170
capable of critical thought 200
capable of definite answer 42
capable of delivering almost 54
capable of delivering atomic 359
capable of delivering better 110
capable of delivering energy 129
capable of delivering enough 300
capable of delivering greater 135
capable of delivering higher 299
capable of delivering larger 56
capable of delivering nuclear 2351
capable of delivering oxygen 121
capable of delivering public 54
capable of delivering pulses 79
capable of delivering weapons 241
capable of descending through 44
capable of describing events 49
capable of describing nature 41
capable of describing reality 49
capable of destroying almost 84
capable of destroying anyone 64
capable of destroying cancer 199
capable of destroying cities 83
capable of destroying disease 141
capable of destroying entire 546
capable of destroying incoming 192
capable of destroying invading 78
capable of destroying itself 563
capable of destroying soviet 344
capable of destroying target 46
capable of destroying tissue 190
capable of developing almost 46
capable of developing beyond 87
capable of developing enough 143
capable of developing further 334
capable of developing greater 183
