cafeteria plan under which 98
calamity from every point 40
calendar days after entry 89
calendar days within which 131
calories from added sugar 53
campaign three months later 41
campaign took place after 96
campaign took place under 69
campaign very often proving 55
campaign were still fresh 50
capacity many noble deeds 47
capstone will crack under 52
capsules four times daily 187
capsules three times daily 1680
captains make handy ships 44
captains were playing bowls 41
captains were still shoving 45
captives were every where 63
captives were still alive 75
captured from slave ships 69
captured last night after 59
captured some months later 42
captured soon after landing 53
captured their whole fleet 48
captured their whole force 40
captured three months later 65
captured three weeks later 56
captures have taken place 56
carbonic acid takes place 1098
carbonic acid which forms 48
carbonic acid which gives 40
carbonic acid which holds 135
carbonic acid which takes 107
carbonic acid which would 163
careless foot might spurn 110
careless talk costs lives 506
carriages over rough roads 68
carriages soon after began 102
carriages were driving round 142
carriages were often known 155
carriages were still flowing 58
carriers over whose lines 97
castaway were seated about 82
category into which people 61
censuses were taken every 100
ceremony also takes place 134
ceremony having taken place 231
ceremony only takes place 49
ceremony only waits until 57
ceremony taking place under 46
ceremony took place about 197
ceremony took place after 295
ceremony took place every 181
ceremony took place later 48
ceremony took place under 381
ceremony took place which 232
ceremony took place while 53
ceremony took place within 122
ceremony were still alive 40
cessation from evils until 55
challenge their thinking about 62
challenge your thinking about 223
chambers from which blood 44
championing your inner child 119
channels along which people 48
channels along which water 88
channels down which water 48
channels from which water 48
channels into which savings 45
channels into which water 62
channels over which cable 85
chapters were added after 48
chapters were added later 82
chapters were first given 42
charcoal from cooking fires 50
chattering teeth would allow 99
cheerful face under rough 120
cheerful good sense breaks 59
cheerful time talking about 41
cheerful young woman named 43
chemical into vital modes 60
chemical union takes place 1137
chemical union which takes 46
cherishing very large hopes 55
chessmen were walking about 77
chestnut tree under which 309
chestnut tree which stood 53
chickens were running about 90
chickens were still alive 43
children aged about eight 48
children aged under eight 62
children aged under seven 53
children born after april 88
children born after march 96
children born after world 187
children born within eight 110
children came running after 103
children came running round 43
children came yelling after 45
children during working hours 601
children from about eight 145
children from about seven 99
children from adult jails 104
children from child abuse 473
children from child labor 65
children from eight months 72
children from eight weeks 55
children from every class 147
children from every social 63
children from first grade 260
children from fourth grade 56
children from getting bored 49
children from getting frost 108
children from happy homes 85
children from homes rated 73
children from homes where 1884
children from homes which 200
children from knowing about 117
children from learning about 209
children from learning anything 46
children from lower class 334
children from lower social 1261
children from lower working 76
children from nearby farms 60
children from small towns 76
children from social class 144
children from talking about 154
children from thence hither 54
children from thinking about 53
children from upper class 56
children from urban slums 84
children from varying social 48
children from wealthy homes 188
children from working class 1221
children from working under 46
children grow small salad 100
children have asked about 67
children have basic needs 75
children have every reason 62
children have every right 193
children have grown older 358
children have grown since 41
children have lower rates 92
children have merry times 62
children have needs which 50
children have never ceased 78
children have never given 40
children have never known 546
children have never lived 91
children have never really 74
children have never taken 42
children have often asked 56
children have since grown 54
children have small round 47
children have strong needs 48
children have taken place 97
children home alone after 62
children into adult roles 75
children into homes where 49
children into thinking about 61
children into white homes 57
children into whose hands 91
children knew anything about 102
children know about writing 180
children know anything about 154
children learn about human 119
children learn about money 201
children learn about music 65
children learn about others 54
children learn about people 95
children learn about print 94
children learn about rules 42
children learn about social 121
children learn about words 50
children learn about writing 105
children learn first about 43
children learn sight words 44
children learn social roles 50
children like white people 42
children live within walking 79
children love noble deeds 85
children made april fools 66
children more often chose 56
children need fairy tales 84
children reach first grade 129
children reading below grade 228
children take turns drawing 200
children take turns finding 141
children take turns helping 55
children take turns holding 215
children take turns jumping 60
children take turns looking 49
children take turns picking 138
children take turns placing 150
children take turns playing 266
children take turns pulling 78
children take turns putting 128
children take turns reaching 53
children take turns rolling 126
children take turns shaking 74
children take turns sharing 51
children take turns sitting 61
children take turns telling 183
children take turns throwing 53
children take turns tossing 84
children take turns turning 57
children take turns walking 64
children take turns writing 91
children talk about books 68
children their first steps 42
children their first taste 70
children their mother tongue 219
children think about moral 108
children took place within 66
children took turns playing 72
children took turns sitting 46
children took turns staying 43
children took turns telling 46
children went about naked 54
children went naked until 64
children were about eight 62
children were about seven 43
children were about twice 59
children were again asked 129
children were again given 124
children were alone again 51
children were asked about 1180
children were asked again 48
children were asked either 41
children were asked first 155
children were asked where 140
children were asked which 471
children were below grade 104
children were bobbing about 73
children were burnt alive 283
children were crazy about 153
children were dancing about 92
children were dancing round 113
children were digging holes 59
children were eight times 44
children were either given 43
children were either grown 92
children were first asked 294
children were first given 220
children were first shown 190
children were first taken 87
children were found after 50
children were found alive 61
children were found daily 44
children were found growing 45
children were found playing 75
children were found still 47
children were found under 66
children were found within 64
children were found working 127
children were fully aware 131
children were fully grown 161
children were getting hungry 42
children were getting older 384
children were getting tired 174
children were given ample 43
children were given books 69
children were given candy 65
children were given daily 214
children were given eight 40
children were given either 254
children were given equal 80
children were given every 113
children were given extra 86
children were given first 44
children were given gifts 60
children were given large 48
children were given money 62
children were given names 245
children were given paper 162
children were given small 145
children were given tasks 103
children were given tests 204
children were growing older 198
children were happy about 80
children were holding hands 70
children were jumping about 53
children were later asked 84
children were later found 99
children were later given 67
children were learning about 373
children were looking after 60
children were milling about 98
children were named after 2569
children were nearly grown 656
children were nearly naked 79
children were nearly twice 47
children were never again 44
children were never asked 65
children were never aware 45
children were never found 107
children were never given 165
children were never known 41
children were never quite 63
children were never really 58
children were never taken 71
children were never tired 175
children were often asked 91
children were often beaten 108
children were often cared 68
children were often found 118
children were often given 373
children were often hungry 85
children were often named 113
children were often quite 128
children were often taken 340
children were often thrown 42
children were playing about 1722
children were playing alone 62
children were playing catch 146
children were playing games 368
children were playing house 50
children were playing nearby 314
children were playing round 348
children were playing under 269
children were playing while 40
children were quite aware 105
children were quite grown 42
children were quite happy 138
children were quite naked 85
children were quite small 348
children were quite upset 92
children were quite willing 93
children were rated lower 49
children were really learning 43
children were really playing 47
children were reared under 53
children were roaming about 46
children were rolling about 74
children were romping about 114
children were running about 1418
children were running after 118
children were running loose 137
children were running round 138
children were rushing about 78
children were sailing white 42
children were seated round 118
children were showing signs 120
children were shown films 66
children were shown pairs 63
children were sitting about 48
children were sitting cross 41
children were sitting round 266
children were sitting under 69
children were stark naked 64
children were still above 156
children were still alive 1272
children were still awake 326
children were still below 58
children were still dancing 40
children were still growing 85
children were still hungry 60
