call foreigners into italy 45
came decisively into action 68
came downstairs last night 94
came downstairs next morning 225
came immediately from heaven 48
came immediately into force 65
came originally from arabia 177
came originally from boeotia 40
came originally from china 1459
came originally from crete 340
came originally from egypt 528
came originally from either 98
came originally from ethiopia 75
came originally from heaven 42
came originally from italy 194
came originally from japan 172
came originally from latin 44
came originally from persia 302
came originally from plato 42
came originally from rural 73
came originally from russia 103
came originally from scythia 134
came originally from spain 581
came originally from thrace 93
came originally from tibet 47
came originally from wales 228
came relatively soon after 75
came yourselves into power 52
came yourselves soon after 143
care absolutely nothing about 382
care facilities have begun 47
care facilities were built 49
care relatively more about 122
cash collections from sales 585
cash withdrawals from banks 241
cast nativities best would 241
cell antibodies were found 56
cell carcinomas also occur 144
cell carcinomas were found 236
cell collections from breast 106
cell monolayers were fixed 51
cell populations from human 139
cell populations from which 103
cell populations were found 100
cell suspensions from human 52
cell suspensions from solid 226
cell suspensions were added 188
cell suspensions were fixed 45
cell suspensions were mixed 144
cheap vegetables slung round 46
cheat yourselves into thinking 136
city authorities have taken 45
city authorities take pains 52
city authorities were still 82
city government took place 60
city populations have grown 40
clear atmosphere their every 44
clear conscience have taken 140
clear credentials from above 42
clear directives from above 89
clear elementary ideas about 67
clear principles from which 78
clear principles upon which 56
come downstairs last night 54
come immediately into force 76
come originally from arabia 79
come originally from china 140
come originally from egypt 130
come originally from italy 44
come originally from persia 134
come originally from russia 42
come originally from spain 99
come ultimately from greek 48
coming apparently from every 63
coming apparently from under 40
coming generations will never 63
coming generations will study 63
coming immediately from heaven 47
cook immediately went below 249
coping strategies among older 462
coping strategies during first 41
coping strategies more often 66
coping strategies were found 123
coping strategies when faced 259
cord compression during labor 53
cord compression from tumor 97
core assumptions upon which 130
core industries like steel 94
core principles upon which 190
cost advantages over small 165
cost information upon which 42
cult activities took place 46
