cafe tables under the 76
cage should never be 86
cage through which the 93
cake should never be 43
cake without looking up 69
calf around which the 44
calf muscle cells in 60
call almost every thing 98
call another meeting at 99
call another meeting in 90
call another meeting of 791
call another meeting on 53
call another meeting to 235
call another store to 48
call before reaching the 603
call blocks until the 173
call center agent is 53
call center needs to 121
call center staff to 45
call common sense in 49
call common sense is 376
call common sense or 81
call common sense to 44
call feature gives the 171
call former times to 303
call heroic forms of 82
call itself after the 115
call itself broad in 57
call martin luther king 136
call michael angelo the 43
call myself thomas by 80
call myself worthy of 57
call number which is 112
call number would be 153
call options would be 145
call parity theorem is 54
call sanity might be 74
call should belong to 67
call should never be 203
call someone about the 41
call something which is 121
call special meeting of 230
call whether named in 48
call without delay at 80
call without delay on 47
call without either the 86
call without motion of 60
calm common sense of 40
calm enough about it 48
calm middle state of 55
calm summer evening at 43
calm summer night in 54
calm thought might be 101
calm through which he 94
calm waters within the 44
calm wisdom which he 45
came aboard after the 44
came aboard again on 56
came aboard while we 43
came across about the 65
came across after the 64
came across anything in 102
came across anything of 61
came across anything to 75
came across books on 76
came across cases in 90
came across cases of 300
came across herds of 141
came across kitty on 50
came across people in 46
came across people of 54
came across piles of 74
came across quite by 55
came across signs of 208
came across tales of 71
came across where the 45
came across would be 62
came almond glove or 85
came almost alone to 46
came almost close to 90
came almost daily in 51
came almost daily to 909
came almost under the 63
came almost within an 41
came almost within the 41
came amongst after the 72
came another batch of 65
came another blast of 67
came another burst of 352
came another change in 256
came another change of 215
came another class of 138
came another crash of 61
came another danger of 56
came another flash of 154
came another flood of 44
came another group of 343
came another knock at 555
came another knock on 176
came another layer of 98
came another order to 57
came another party of 154
came another period of 749
came another phase of 71
came another piece of 226
came another round of 238
came another shift in 56
came another shock in 45
came another shock to 58
came another sound of 48
came another spell of 111
came another storm of 57
came another streak of 55
came another train of 49
came another troop of 57
came around about the 55
came around after the 187
came around again at 52
came around again he 131
came around again in 273
came around again on 46
came around again the 154
came around again to 398
came around every so 51
came around front to 51
came around later in 57
came around later to 84
came around often to 43
came around pitying me 61
came around under the 89
came around wanting to 83
came ashore after the 98
came ashore close to 58
came ashore under the 135
came before arthur as 47
came before either the 42
came before night to 49
came behind jesus in 56
came blushing above the 138
came bounding after me 63
came bounding after us 51
came bounding naked to 66
came bounding round the 100
came bustling round the 42
came charging after me 113
came charging after the 61
came charging right at 52
came charging round the 74
came circling round the 51
came clearly under the 58
came clearly within the 237
came closer still to 151
came closer under the 47
came closer until he 91
came closer until it 61
came closer until the 49
came coasting round to 108
came crawling under the 61
came creeping round the 71
came creeping under the 59
came crowding about me 91
came crowding about the 92
came crowding about us 92
came crowding after us 117
came crowding round by 67
came crowding round me 140
came crowding round the 303
came crowding round to 227
came crowding round us 85
came damned close to 187
came deeply under the 91
came divers sorts of 96
came divers times to 175
came doubts about the 50
came drifting round the 57
came earlier under the 123
came eleven miles to 81
came fairly close in 89
came fairly close to 1502
came fairly easily to 89
came fairly often to 55
came fairly under the 71
came fairly within my 347
came fairly within the 159
came firmly under the 147
came firmly within the 40
came flitting about the 97
came floating round the 62
came flocking about me 341
came flocking about the 185
came flocking about us 335
came flocking round me 48
came flocking round the 114
came flocking round to 42
came flocking round us 49
came flocking thither as 122
came fondling about me 90
came freely under the 77
came fumbling about in 41
came greatly under the 96
came heavily round to 107
came heavily under the 149
came hovering about the 89
came hovering round the 65
came hurrying after me 265
came hurrying after the 53
came hurrying after us 63
came hurrying round the 156
came hurtling round the 97
came instead under the 60
came isabel spoke of 46
came itself nearly as 69
came itself under the 42
came lately under my 51
came lazily rolling in 47
came little puffs of 50
came little short of 465
came lurching about the 80
came lurching round the 45
came mainly after the 110
came mainly under the 75
came marching gayly up 69
came martin luther king 76
came mighty close to 480
came mostly after the 104
came mostly under the 40
cameo turned brown by 90
came parading round the 80
came partly under the 107
came prancing round the 92
came pressing round me 43
came pretty close in 103
came pretty close to 3257
came pretty easily to 42
came pretty nearly to 47
came pretty often to 52
came prowling about the 133
came prowling round the 198
came rattling round the 51
came readily under the 46
