caballeros of pure descent 73
calamities of their country 2106
calamities of their history 53
calamities of three hundred 74
calamities of your country 95
calamities on their country 58
calamities to their country 103
calculated as ethyl acetate 70
calculated as lost profits 41
calculated as ratio between 86
calculated at five hundred 99
calculated at four hundred 68
calculated at four thousand 58
calculated at three hundred 87
calculated at three millions 81
calculated at three thousand 81
calculated by adding together 5461
calculated by fast fourier 41
calculated by least squares 631
calculated by lord lindsay 199
calculated by making certain 51
calculated by mass balance 239
calculated by some formula 41
calculated by taking account 283
calculated by taking moments 233
calculated in these studies 94
calculated on such brevity 52
calculated the angle between 48
calculated the clear produce 78
calculated the odds against 244
calculated the ratio between 357
calculated the time between 60
calculated the wave function 55
calculated to bind together 455
calculated to curb restive 48
calculated to draw together 185
calculated to fall between 46
calculated to five decimal 88
calculated to four decimal 111
calculated to gain friends 122
calculated to gain popular 60
calculated to gain support 179
calculated to give comfort 478
calculated to give correct 57
calculated to give courage 61
calculated to give delight 71
calculated to give dignity 63
calculated to give duration 43
calculated to give general 630
calculated to give increasing 129
calculated to give maximum 111
calculated to give occasion 41
calculated to give offense 326
calculated to give optimum 106
calculated to give persons 41
calculated to give pleasure 960
calculated to give success 56
calculated to give support 108
calculated to give trouble 53
calculated to give umbrage 174
calculated to have carried 53
calculated to have dropped 79
calculated to have exactly 47
calculated to have maximum 85
calculated to have reduced 53
calculated to have weighed 99
calculated to have yielded 41
calculated to help forward 189
calculated to help matters 51
calculated to hold together 40
calculated to last several 45
calculated to lend support 49
calculated to make certain 71
calculated to make enemies 95
calculated to make friends 701
calculated to make himself 69
calculated to make mankind 152
calculated to make matters 98
calculated to make trouble 87
calculated to many decimal 90
calculated to mend matters 94
calculated to range between 124
calculated to save expense 126
calculated to send shivers 48
calculated to take account 477
calculated to tell against 50
calculated to three decimal 383
calculated to throw congress 44
calculated to vary between 89
calculated to work against 160
calculated to work wonders 47
calculated to your meridian 56
calculates the angle between 100
calculates the ending balance 53
calculates the loan payment 89
calculates the ratio between 149
calculates the time between 40
calculation by fast computing 227
calculation is also carried 48
calculation is best carried 218
calculation is done according 67
calculation is even simpler 50
calculation is made according 308
calculation is made exactly 45
calculation is more complex 867
calculation is much simpler 245
calculation is only correct 44
calculation is time consuming 102
calculation is very complex 103
calculation is very similar 296
calculation of body density 93
calculation of body surface 497
calculation of drug dosages 264
calculation of eddy current 113
calculation of form factors 83
calculation of least squares 43
calculation of lost profits 233
calculation of main effects 53
calculation of mass balance 63
calculation of more complex 95
calculation of risk factors 88
