calamity upon seven millions 54
calendar days after receipt 1535
calendar days after receiving 685
calendar days after service 180
calendar days after written 87
calendar during which muslims 116
calendar month after receiving 53
campaign ever waged against 74
campaign took place against 108
campaign took place between 160
capitals give equal profits 126
captives were often adopted 60
captives whom saint gregory 95
captured over eight thousand 42
captured some small vessels 52
carbonic acid still remaining 55
carbonic acid which animals 46
carbonic acid which escapes 352
carbonic acid which remains 58
carbonic acid which results 235
carbonic acid would increase 42
carriages were again ordered 45
carriers were badly damaged 51
carriers were often obliged 47
carriers were speaking together 165
carriers were still operating 42
category were given medical 44
catheters into blood vessels 49
cautioned their people against 44
celestial body whose position 44
celibacy leads weaker vessels 138
cemented into holes drilled 87
cemented tips taken together 48
ceremony took place according 63
ceremony took place between 183
ceremony took place outside 261
ceremony took place quietly 68
ceremony took place shortly 48
challenge facing latin america 132
challenge from civil society 94
chambers there looking towards 61
championing their cause against 52
champions were seven because 41
channels into which surplus 43
chapters were first printed 61
chapters were first written 125
chapters were never written 49
charters from petty princes 68
charters were often granted 54
chemical bond forms between 186
children aged under fifteen 77
children aged under sixteen 66
children born after january 162
children born after marriage 97
children born close together 101
children born under similar 41
children born within marriage 385
children born within wedlock 278
children came running towards 123
children even after divorce 42
children from adult society 108
children from burning buildings 105
children from cruel parents 65
children from either marriage 275
children from every country 56
children from every stratum 47
children from failing schools 80
children from first marriage 121
children from latin america 180
children from local schools 288
children from lower classes 159
children from nearby schools 52
children from playing outside 68
children from roman catholic 100
children from rural schools 70
children from social classes 134
children from speaking spanish 68
children from state schools 159
children from unfit parents 85
children from urban schools 53
children from weaker sections 57
children from white schools 139
children good table manners 42
children have close contact 48
children have daily contact 53
children have fewer behavior 47
children have fewer friends 42
children have lived together 43
children have never uttered 42
children have never visited 43
children have night terrors 73
children have varying degrees 142
children have working parents 52
children into adult society 48
children into close contact 84
children into local schools 71
children into white schools 253
children into white society 82
children know about emotions 74
children know about language 205
children know about numbers 51
children learn about animals 77
children learn about emotions 69
children learn about language 210
children learn about numbers 87
children learn about persons 53
children learn about science 71
children learn about written 108
children learn social behavior 43
children living below poverty 59
children living under similar 51
children make links between 51
children make right choices 51
children need extra support 56
children show varying degrees 49
children skip about tottering 53
children soon after marriage 310
children soon after puberty 44
children take music lessons 90
children take turns selecting 160
children their first lessons 249
children took dancing lessons 47
children took music lessons 56
children very close together 141
children very gaily dressed 43
children were about equally 120
children were about thirteen 49
children were above average 349
children were again allowed 83
