calcareous clay soils of 41
calcareous hard parts of 56
calcified mass within the 67
calculate areas under the 73
calculate their costs in 40
calculate their costs of 57
calculate their share of 86
calculate their value by 44
calculate their value in 61
calculate upon finding me 47
calculate upon finding the 44
calculate very easily the 58
calculate very nearly the 49
calculate what could be 54
calculate what kinds of 41
calculate what level of 71
calculate what might be 251
calculate what ought to 48
calculate what share of 61
calculate what value of 81
calculate what would be 2024
calculate your score on 92
calculating areas under the 73
calculating such period of 83
calculating their share of 47
calculating what could be 42
calculating what might be 74
calculating what ought to 52
calculating what would be 484
calendars upon which the 48
calendars were based on 239
calibrate other types of 83
calibrating other types of 71
callously toss aside the 53
calumnies from which no 55
cameramen were filming the 42
cameramen were setting up 65
campaigning took place in 116
campaigns during which he 47
campaigns during which the 66
campaigns ever known in 48
campaigns ever waged by 93
campaigns ever waged in 142
campaigns from which the 48
campaigns have begun to 104
campaigns have shown the 50
campaigns have sprung up 41
campaigns have taken on 57
campaigns have tried to 135
campaigns only after the 44
campaigns take place in 71
campaigns taking place in 81
campaigns took place at 71
campaigns took place in 657
campaigns took place on 45
campaigns urging people to 74
campaigns were about to 41
campaigns were aimed at 368
campaigns were based on 312
campaigns were begun in 71
campaigns were begun to 50
campaigns were bound to 41
campaigns were waged by 182
campaigns were waged in 287
campaigns were waged on 170
campaigns were waged to 147
campanile rising above the 40
candidate came close to 106
candidate dies after the 144
candidate even though he 200
candidate even though it 47
candidate even though the 107
candidate from either of 43
candidate from getting on 41
candidate from getting the 46
candidate from which to 74
candidate from winning the 90
candidate from within the 309
candidate having equal or 48
candidate here would be 46
candidate john kerry in 72
candidate must agree to 126
candidate must appeal to 167
candidate must belong to 93
candidate must either be 74
candidate must first be 143
candidate must raise at 55
candidate only after he 48
candidate only needs to 49
candidate ross perot in 170
candidate soon after the 40
candidate upon which to 41
candidate were pleasing to 42
candidate will often be 46
candidate will still be 53
canneries were built in 82
cannibals were about to 47
cannonade took place on 46
cannonading took place on 45
canonical form given by 79
canonical form shown in 57
canonical form where the 90
canonical form which is 101
canonical form would be 56
canonical word order in 236
canonical word order is 125
canonical word order of 123
canvassed from house to 159
capacitor bank which is 85
capacitor even after the 49
capacitor must equal the 96
capacitor will begin to 242
capacitor will block the 41
capacitor will build up 42
capacitor will cause the 117
capacitor will start to 107
capillary beds within the 225
capillary fringe above the 336
capillary from which the 227
capillary into which the 57
capillary just above the 45
capillary lining cells in 232
capillary rise above the 129
capillary rise method is 267
capillary rise would be 51
capillary tube above the 336
capillary tube below the 85
capillary tube could be 55
capillary tube method is 113
capillary tube method of 169
capillary tube sealed at 274
capillary tube shown in 112
capillary tube under the 172
capillary tube until it 123
capillary tube until the 336
capillary tube where the 176
capillary tube which is 1042
capillary tubing which is 108
capillary wall under the 55
capillary wall which is 48
capillary zone above the 225
capitation rate based on 53
captivity ever since the 45
captivity from which he 248
captivity from which the 72
captivity from which we 62
captivity have lived to 42
captivity into which he 111
captivity into which the 64
captivity must cause in 86
captivity took place in 50
carbonate from which it 52
carbonate from which the 223
carbonate were added to 467
carbonate were found in 40
carbonate were found to 150
carbonate when added to 53
carbonate will cause the 40
carcasses from which the 106
carcasses were found in 134
carcasses were found on 50
carcasses were found to 59
carcasses were piled up 55
carcinoma among users of 550
carcinoma cell growth by 271
carcinoma cell growth in 66
carcinoma cell lines as 57
carcinoma cell lines by 314
carcinoma cell lines in 719
carcinoma cell lines is 64
carcinoma cell lines of 160
carcinoma cell lines to 247
carcinoma were found in 154
carcinoma were found to 284
cardboard disc which is 41
cardboard from which the 75
cardboard sign taped to 96
cardboard upon which the 189
cardinals were about to 74
cardinals were named to 70
carefully adding drops of 46
carefully away until the 58
carefully back under the 45
carefully back where it 48
carefully been built up 63
carefully done study of 75
carefully done under the 51
carefully drew aside the 68
carefully even though he 46
carefully even though it 41
carefully even though the 52
carefully from about the 40
carefully from beneath the 78
carefully from cover to 284
carefully from drove to 85
carefully from father to 129
carefully from front to 49
carefully from house to 64
carefully from place to 54
carefully from point to 103
carefully from right to 43
carefully from seven or 85
carefully from start to 186
carefully from stone to 133
carefully from under the 190
carefully held aloft in 68
carefully into anything at 43
carefully into place on 45
carefully just above the 77
carefully just below the 47
carefully keep track of 306
carefully keep watch on 43
carefully kept alive as 88
carefully kept alive by 151
carefully kept alive in 70
carefully kept apart in 70
carefully kept below the 40
carefully kept count of 41
carefully kept since the 44
carefully kept track of 341
carefully kept under the 75
carefully kept until the 83
carefully kept within the 407
carefully laid aside as 48
carefully laid aside by 60
carefully laid aside in 68
carefully laid aside on 57
carefully laid aside the 125
carefully laid plans by 87
carefully laid plans go 76
carefully laid plans in 80
carefully laid plans of 955
carefully laid plans to 659
carefully laid under the 45
carefully look after it 57
carefully look after the 145
carefully made known by 50
carefully made known to 112
carefully made notes of 66
carefully made plans of 50
carefully made plans to 76
carefully made under the 87
carefully note where the 46
carefully noting where the 49
carefully pull apart the 60
carefully take stock of 64
carefully taking notes of 45
carefully taking stock of 78
carefully these words of 57
carefully think about it 53
carefully think about the 297
carefully those parts of 79
carefully took apart the 42
carefully took stock of 87
carefully went round the 41
carefully what could be 52
carefully what kinds of 176
carefully what might be 207
carefully what needs to 50
carefully what ought to 47
carefully what types of 64
carefully what would be 206
carefully when asked to 47
carefully when looking at 42
carefully when setting up 41
carefully when speaking to 62
carefully when talking to 63
caregiver also needs to 57
carnivore tooth marks on 139
carpenter shop until he 252
carpenter shop where he 70
carpenter shop where the 44
carpenter went after it 57
carpentry shop where he 56
carpetbag from under the 46
carryover will still be 51
cartilage from which it 58
cartilage from which the 156
cartilage into which the 41
cartilage just above the 409
cartilage just below the 212
cartilage just medial to 51
cartilage lies below the 59
cartilage lies within the 63
cartilage upon which the 60
cartilage were found in 63
cartilage were found to 43
cartridge case found in 71
cartridge from which the 48
castanets came stealing up 85
castaways making merry in 52
cataclysm from which the 91
catalepsy were cited in 76
catalysts were based on 44
catalysts were dried at 70
catalysts were found to 416
catalysts were shown to 71
catalytic role within the 50
cataracts were found in 92
cataracts were found to 51
catchment areas based on 94
catchment areas could be 46
catchment areas where the 65
catchment areas within the 139
catchment from which the 53
cathedrals were begun in 46
cathedrals were built as 124
cathedrals were built at 87
cathedrals were built by 285
cathedrals were built in 616
cathedrals were built of 53
cathedrals were built on 229
cathedrals were built or 43
cathedrals were built to 155
cauldrons were found in 56
causality from growth to 70
causality from money to 175
causality from which the 208
causality just where we 45
causality test based on 63
causality upon which the 54
causeways over which the 42
causeways upon which the 69
causeways were built to 66
cautionary note about the 1136
cautionary note might be 48
cautionary note needs to 261
cautionary tale about an 80
cautionary tale about the 3242
cautionary tale based on 50
cautionary tale warning of 43
cautionary word about the 156
cautiously along under the 231
cautiously drew aside the 71
cautiously from beneath the 80
cautiously from ledge to 71
cautiously from place to 48
cautiously from point to 52
cautiously from under the 163
cavalcade were getting to 76
cavaliers came thronging to 41
cavaliers have dared to 97
cavaliers were hardy in 85
cavaliers were slain in 86
cavaliers were sworn to 60
cavaliers were waiting to 117
cavaliers were within the 71
cavernous eyes staring in 41
cavernous room where the 65
cavernous wall about the 41
cavitation will occur at 79
cavitation will occur in 82
celebrate from morning to 59
celebrate mass daily in 169
celebrate once again the 90
celebrate some event in 56
celebrate some event of 42
celebrate some event or 53
celebrate such feasts as 43
celebrate their dance of 43
celebrate their deeds of 43
celebrate their defeat of 48
celebrate their place in 42
celebrate their rites in 132
celebrate their sense of 131
celebrate their unity in 60
celebrate their wedding at 63
celebrate their wedding in 157
celebrate these rites in 41
celebrity those which the 89
celebrity till after the 41
celebrity will claim the 47
cellulose cell walls in 57
cellulose cell walls of 387
cellulose from which it 129
cellulose from which the 42
cellulose must first be 50
cellulose wall which is 73
cellulose were found to 128
centrally acting drugs in 468
centrally acting drugs is 47
centrally acting drugs on 824
centrally firm sense of 163
centuries been aware of 48
centuries been based on 191
centuries been bound up 46
centuries been known as 273
centuries been known in 56
centuries been known to 168
centuries been lords of 54
centuries been ruled by 154
centuries been seeking to 44
centuries been shining in 55
centuries been under the 345
centuries came under the 59
centuries during which he 86
centuries during which it 1224
centuries during which no 122
centuries during which the 4727
centuries during which we 226
centuries even after the 184
centuries even though it 88
centuries even though the 104
centuries ever since the 72
centuries from about the 126
centuries from father to 181
centuries from homer to 199
centuries from moses to 81
centuries from plato to 44
centuries from which it 56
centuries from which the 62
centuries from which to 51
centuries from which we 75
centuries gave place to 79
centuries have added to 138
centuries have begun to 65
centuries have borne the 44
centuries have built up 188
centuries have found in 79
centuries have found it 77
centuries have found no 149
centuries have found the 48
centuries have given the 102
centuries have given to 147
centuries have given us 482
centuries have known the 45
centuries have lived in 200
centuries have piled up 84
centuries have shown to 71
centuries have shown us 54
centuries have taken the 72
centuries have tried to 510
centuries into which the 119
centuries just after the 72
centuries kept alive the 61
centuries over which it 69
centuries over which the 198
centuries there arose in 55
centuries there began to 44
centuries there could be 46
centuries there might be 46
centuries there seems to 304
centuries there would be 262
centuries took place in 327
centuries took place on 48
centuries upon which we 61
centuries were about to 54
centuries were added to 55
centuries were aware of 97
centuries were based on 585
centuries were bound to 59
centuries were built in 53
centuries were built of 40
centuries were found at 48
centuries were found in 142
centuries were found to 61
centuries were known as 114
centuries were known to 45
centuries were passing by 41
centuries were prone to 60
centuries were ruled by 44
centuries were spent in 155
centuries were still in 114
centuries were still to 248
centuries were taken up 69
centuries were times of 646
centuries were under the 63
centuries were willing to 47
centuries will never be 70
centurions five times the 60
ceremonial hall where the 40
ceremonial took place at 129
ceremonial took place in 122
ceremonial took place on 112
certainly acting under the 43
certainly acting within the 44
certainly also apply to 137
certainly also aware of 66
certainly also found in 63
certainly also occur in 60
certainly bears marks of 79
certainly been added by 63
certainly been added to 102
certainly been aided by 93
certainly been aware of 609
certainly been based on 53
certainly been built by 52
certainly been built in 68
certainly been cases in 68
certainly been cases of 76
certainly been drawn up 43
certainly been easier to 44
certainly been filed or 121
certainly been found in 314
certainly been found on 41
certainly been found to 147
certainly been given the 103
certainly been given to 207
certainly been known in 98
certainly been known to 606
certainly been lacking in 53
certainly been lucky in 48
certainly been moved by 56
certainly been noted by 54
certainly been noted in 45
certainly been privy to 107
certainly been quick to 65
certainly been right in 153
certainly been right to 53
certainly been shown by 54
certainly been shown in 40
certainly been shown to 262
certainly been speaking to 42
certainly been taken by 118
certainly been taken in 153
certainly been taken to 109
certainly been taken up 73
certainly been talking to 41
certainly been thinking of 69
certainly been times in 55
certainly been under the 89
certainly been willing to 129
certainly been within the 40
certainly best known as 46
certainly born under an 58
certainly came after the 56
certainly came close to 204
certainly came nearer to 67
certainly came under the 235
certainly came within the 150
certainly care about the 57
certainly cast doubt on 310
certainly clear about the 47
certainly come about in 76
certainly come again to 41
certainly come close to 163
certainly come nearer to 93
certainly come short of 48
certainly come under the 475
certainly come within the 433
certainly done right in 92
certainly ever since the 206
certainly fall below the 105
certainly fall short in 42
certainly fall short of 726
certainly fall under no 41
certainly fall under the 450
certainly fall within the 927
certainly feel bound to 138
certainly feel proud of 98
certainly feel shame at 59
certainly fell short of 668
certainly fell under the 75
certainly fell within the 207
certainly fits within the 108
certainly five times as 113
certainly four times as 94
certainly from about the 44
certainly from within the 47
certainly gave proof of 70
certainly give color to 45
certainly give pause to 141
certainly give place to 53
certainly give proof of 42
certainly good reason to 746
certainly great cause to 46
certainly great force in 232
certainly great merit in 87
certainly great reason to 216
certainly grew under the 238
certainly have acted as 431
certainly have acted in 133
certainly have added the 55
certainly have added to 529
certainly have aided in 41
certainly have aided the 48
certainly have aimed at 52
certainly have asked me 80
certainly have asked the 126
certainly have asked to 44
certainly have asked us 58
certainly have beaten the 65
certainly have beaten us 58
certainly have begun to 212
certainly have blown up 48
certainly have borne the 48
certainly have broke it 54
certainly have built the 58
certainly have built up 45
certainly have burst in 102
certainly have cause to 389
certainly have ceased to 177
certainly have cited it 41
certainly have drawn on 54
certainly have drawn the 140
certainly have earned it 67
certainly have earned the 152
certainly have ended as 86
certainly have ended by 57
certainly have ended in 1545
certainly have ended the 207
certainly have ended up 209
certainly have erred in 46
certainly have faced the 51
certainly have fixed the 73
certainly have found an 102
certainly have found at 42
certainly have found in 159
certainly have found it 1088
certainly have found me 86
certainly have found my 48
certainly have found no 417
certainly have found the 667
certainly have given an 126
certainly have given in 162
certainly have given it 553
certainly have given me 377
certainly have given my 75
certainly have given no 92
certainly have given the 902
certainly have given to 114
certainly have given up 294
certainly have given us 286
certainly have grown in 56
certainly have grown up 276
certainly have hanged up 48
certainly have hated the 76
certainly have hoped to 44
certainly have known at 58
certainly have known if 153
certainly have known it 444
certainly have known of 1080
certainly have known the 717
certainly have liked it 77
certainly have liked the 61
certainly have liked to 1073
certainly have lived in 156
certainly have lived to 46
certainly have loved to 71
certainly have moved in 92
