calico frocks and turbans 141
called active and passive 1178
called around him richard 44
called atheist and infidel 131
called before her marriage 84
called before his superior 45
called bosons and fermions 89
called brutus and cassius 244
called cancer and gangrene 49
called causes and effects 282
called chiefs and warriors 55
called common law marriage 136
called crowns and shillings 98
called demons and spirits 40
called divide and conquer 481
called doctor and student 96
called dorsal and ventral 270
called dungeons and dragons 191
called eastern and western 600
called elinor and marianne 347
called england and ireland 100
called essays and reviews 478
called family and friends 280
called fathers and brothers 47
called female sex hormone 43
called finery and injures 43
called france and germany 41
called friend had wounded 91
called genera and species 714
called headers and footers 99
called inside and outside 113
called latent heat because 50
called laughing gas because 65
called london and bristol 55
called loudly for justice 197
called loudly for redress 529
called loudly for silence 48
called loudly for solution 61
called loudly for vengeance 232
called middle east command 98
called modest and cautious 115
called nature and nurture 115
called orphic and bacchic 214
called plants and animals 91
called public and private 896
called quarks and leptons 174
called readers and writers 48
called realism and idealism 45
called rebels and enemies 114
called rhythms and measures 81
called rwanda and burundi 40
called sacred and profane 587
called sacred and secular 131
called saints and sinners 67
called samson and delilah 50
called simple and complex 175
called simple and natural 47
called soccer war between 143
called something that sounded 55
called stable with respect 50
called static and dynamic 353
called thieves and robbers 124
called thunder and lightning 1001
called tracks and sectors 70
called without his consent 43
callings desire and ability 51
calmly define our position 50
calmly pursuing his studies 50
camels loaded with baggage 54
camels loaded with treasure 57
camera lenses and filters 43
camera lenses are usually 43
campus police are visible 177
campus unrest and student 42
canals through its streets 44
cancer should not receive 52
cancer therapy and research 49
cancer treated with primary 51
cancer treated with radiation 417
cancer treated with radical 328
cancer treated with surgery 191
canned fruits and jellies 312
canned fruits and pickles 123
canned peaches and tomatoes 116
canned peaches for dessert 354
cannon flashing and thundering 51
cannon fodder and pillage 67
cannon loaded and pointed 66
cannon roared and bullets 41
cannon shells and bullets 167
cannon shells and machine 252
cannon shells and rockets 49
canons without his consent 127
capped towers and gorgeous 923
carbon anodes and cathodes 54
carbon copies are usually 42
carbon dioxide and absorbing 59
carbon dioxide and absorbs 336
carbon dioxide and acetate 299
carbon dioxide and acetone 571
carbon dioxide and acidity 91
carbon dioxide and aerosols 386
carbon dioxide and alcohol 4065
carbon dioxide and allowed 48
carbon dioxide and arterial 55
carbon dioxide and because 85
carbon dioxide and becomes 295
carbon dioxide and benzene 180
carbon dioxide and calcium 1278
carbon dioxide and carries 79
carbon dioxide and certain 372
carbon dioxide and climate 439
carbon dioxide and combine 45
carbon dioxide and consume 59
