cab in san francisco 71
cab to her apartment 247
cab to his apartment 189
can as yet determine 48
can as yet recognize 51
can at all appreciate 503
can at all influence 252
can at all interfere 196
can at all plausibly 95
can at all reasonably 153
can at all recommend 49
can at all represent 147
can at his discretion 247
can at its discretion 285
can be air freighted 41
can be all different 145
can be all explained 62
can be all important 242
can be all inclusive 176
can be and certainly 107
can be and doubtless 50
can be and generally 376
can be and increasingly 54
can be and regularly 107
can be and routinely 60
can be and sometimes 1578
can be and typically 168
can be any advantage 118
can be any agreement 144
can be any amusement 50
can be any arbitrary 1894
can be any arithmetic 349
can be any assurance 489
can be any atonement 71
can be any available 99
can be any certainty 329
can be any character 955
can be any collection 204
can be any commercial 42
can be any component 109
can be any conclusion 60
can be any connection 304
can be any container 66
can be any cordiality 86
can be any criticism 52
can be any different 359
can be any directory 146
can be any discussion 149
can be any effective 212
can be any effectual 66
can be any enjoyment 69
can be any expression 1611
can be any foundation 141
can be any frequency 70
can be any guarantee 78
can be any happiness 117
can be any hesitation 236
can be any indication 54
can be any knowledge 280
can be any measurable 49
can be any necessity 165
can be any nucleotide 226
can be any numerical 120
can be any objective 245
can be any obligation 71
can be any opposition 230
can be any parameter 47
can be any perfection 62
can be any permanent 261
can be any political 58
can be any practical 122
can be any primitive 103
can be any principle 47
can be any printable 66
can be any proportion 47
can be any protection 54
can be any reasonable 1043
can be any reference 79
can be any repetition 79
can be any resolution 76
can be any separation 54
can be any specified 174
can be any spiritual 111
can be any stability 43
can be any statement 248
can be any structure 79
can be any substance 152
can be any suggestion 81
can be any universal 89
can be any wholesome 70
can be both ambiguous 49
can be both arbitrary 40
can be both assertive 52
can be both beneficial 1008
can be both bewildering 43
can be both challenged 58
can be both cognitive 63
can be both competent 48
can be both conceived 41
can be both deceptive 50
can be both defensive 98
can be both dependent 86
can be both described 147
can be both desirable 113
can be both devastating 79
can be both developed 112
can be both diagnostic 601
can be both different 123
can be both difficult 962
can be both displayed 42
can be both distracting 70
can be both distressing 46
can be both effective 823
can be both efficient 412
can be both encouraging 91
can be both enjoyable 390
can be both estimated 48
can be both evaluated 43
can be both expensive 754
can be both explained 160
can be both expressed 130
can be both extensive 80
can be both extremely 246
can be both fascinating 238
can be both favorable 71
can be both formative 58
can be both frightening 591
can be both frustrating 1065
can be both functional 1022
