call attention once again 803
call instinct will merge 41
call yourself hard names 75
came bitterly upon jeanie 62
came directly from above 45
came directly from arabia 41
came directly from china 571
came directly from civil 93
came directly from farms 41
came directly from heaven 280
came directly from italy 108
came directly from japan 124
came directly from jesus 113
came directly from latin 189
came directly from paris 89
came directly from rural 75
came directly from russia 84
came directly from spain 289
came directly from state 112
came directly from thence 45
came directly from wales 41
came eighteen years later 67
came entirely from within 179
came formally into force 58
came fourteen years after 76
came fourteen years later 111
came mightily upon david 481
came overland from china 66
came promptly into action 59
came scattering along after 81
came softened from below 918
came specially from paris 51
came staggering back looking 94
came straight back again 104
came straight down again 49
came straight from heaven 476
came straight from paris 150
came straight from spain 49
came straight here after 100
came straight home after 220
came straight home again 62
came suddenly from every 59
came suddenly into focus 124
came suddenly into sight 240
came suddenly into still 283
came suddenly upon chief 71
came suddenly upon fresh 45
came suddenly upon sandy 81
came suddenly upon seven 45
came suddenly wide awake 74
came whispering like music 60
camp afforded great booty 61
care bestowed upon every 135
care provider must first 45
care provider will check 53
care services among older 148
care services have grown 143
care services more often 220
cars exported from japan 72
cars imported from japan 219
case differed from nixon 89
case differed from theirs 54
case involves nothing close 41
case managers were asked 88
case occurred soon after 84
case probably came first 45
case questions were asked 127
case recently came under 173
case recovery took place 51
case supposed there would 69
case therefore fell within 55
case warrants such action 45
cash advances from banks 65
cash discount even though 55
cash payments made under 90
cash payments took place 168
cash proceeds from asset 85
cash proceeds from issuing 222
cash proceeds from sales 163
cash proceeds from selling 176
cash receipts from crops 256
cash receipts from farming 868
cash receipts from gross 46
cash receipts from sales 2217
cash receipts from selling 116
cash received from issuing 150
cash received from sales 1434
cash received from selling 162
cash register tape shows 48
cash reserves fall below 99
cash reserves less total 42
cast contempt upon either 104
cease entirely during sleep 111
cell activity during motor 176
cell containing four atoms 51
cell contains four atoms 152
cell contains many small 41
cell contains only about 48
cell cultures from adult 117
cell cultures from chick 125
cell cultures from fetal 322
cell cultures from human 365
cell cultures have shown 286
cell cultures were fixed 110
cell cultures were found 115
cell cultures were grown 380
cell divisions during which 322
cell divisions have taken 169
cell divisions must occur 122
cell divisions take place 1328
cell divisions taking place 99
cell divisions took place 101
cell extracts from cells 50
cell extracts from human 102
cell fourteen days after 42
cell lymphoma cell lines 302
cell membrane from which 262
cell membrane into which 168
cell membrane more easily 123
cell migration during wound 590
cell receptor beta chain 1058
cell receptor gene usage 85
cell receptor zeta chain 394
cent carbolic acid kills 83
cent increased their share 54
cent interest rate ceiling 62
cent interest rate would 61
chap terrible much after 101
char unsigned char short 66
cheat children into learning 145
city children have never 175
city contains many large 50
city descending from heaven 107
city descends from heaven 55
city dwellers have moved 90
city elections from state 61
city extended over about 98
city increased from about 63
city officers were sworn 59
city officials have begun 93
city officials were asked 107
city officials were still 44
city officials were willing 113
clad children were playing 58
clay containing iron oxide 166
clay deposits were found 58
clay minerals were found 43
clear baseline from which 50
clear complete ideas under 57
clear direction from above 89
clear evidence upon which 53
clear mountain spring water 56
clear patterns were found 43
cloth imported from china 59
club movement among black 66
coal deposits were found 398
coal deposits were known 46
coal reserves were found 49
code receiver range error 139
coil containing many turns 46
coke obtained upon burning 63
cold carbonic acid water 112
cold mountain spring water 54
cold november rain calls 251
cold november wind blowing 49
cold shoulder ever since 60
come directly back hither 50
come directly from above 301
come directly from china 170
come directly from egypt 61
come directly from either 131
come directly from greek 41
come directly from heaven 237
come directly from italy 43
come directly from japan 66
come directly from jesus 116
come directly from latin 234
come directly from paris 55
come directly from people 94
come directly from rural 82
come directly from russia 58
come directly from spain 205
come directly from state 59
come directly from table 40
come directly from within 59
come directly home after 189
come directly into touch 63
come entirely from within 246
come overland from china 97
come properly into focus 41
come specially from paris 89
come straight back after 100
come straight back again 137
come straight down again 82
come straight from every 46
come straight from heaven 629
come straight from paris 235
come straight here after 89
come straight home after 1935
come straight home again 236
come strangely into vogue 80
come suddenly into focus 99
come suddenly into sight 72
coming directly from above 58
coming directly from china 60
coming directly from heaven 55
coming directly from japan 56
coming directly from jesus 53
coming directly from spain 263
coming directly from within 49
coming straight from heaven 84
coming straight home after 123
cool reception from henry 42
copy lawfully made under 279
cord contains three blood 40
cord posterior cord medial 229
cord segments from which 52
core includes such social 84
cost annually more money 81
cost anywhere from about 220
cost anywhere from fifty 109
cost anywhere from seven 99
cost anywhere from twice 45
cost includes such items 80
cost recovery from users 376
cost thousands their lives 102
coup actually took place 94
coup attempts took place 52
crop requires more labor 47
cups homemade beef stock 62
cyst containing clear fluid 181
cyst contains clear fluid 102
