cabled the navy department 130
cables or other conductors 108
cables to their respective 48
caches of other processors 66
cadres of their respective 50
called an edge dislocation 271
called an open subroutine 66
called by other procedures 139
called by some anatomists 117
called by some authorities 667
called by some economists 79
called by some geographers 46
called by some grammarians 452
called by some impressions 70
called by some particular 44
called by some researchers 67
called by some scientists 85
called by their appropriate 56
called by their conquerors 57
called by their countrymen 64
called by their detractors 119
called by their discoverer 189
called by their individual 49
called by their particular 73
called by their respective 344
called by their traditional 76
called by your application 116
called in from circulation 70
called in great excitement 134
called in some localities 173
called in their respective 149
called it into requisition 40
called me back immediately 92
called me from downstairs 90
called me into conference 88
called me more frequently 82
called me their benefactor 66
called on lady palmerston 65
called on less frequently 170
called on lord palmerston 151
called on more frequently 753
called on most frequently 135
called on their compatriots 78
called on their countrymen 166
called on their government 212
called on their respective 88
called on their supporters 269
called on three successive 58
called the acid dissociation 190
called the acid properties 58
called the best information 44
called the beta coefficient 145
called the bond dissociation 95
called the bond equivalent 60
called the core curriculum 74
called the deep transverse 95
called the disk controller 42
called the dose equivalent 235
called the drag coefficient 434
called the fair employment 64
called the file descriptor 48
called the film coefficient 58
called the fine adjustment 59
called the fire department 5239
called the five aggregates 93
called the flow coefficient 214
called the flux richardson 44
called the four evangelists 64
called the free application 86
called the free enterprise 176
called the free university 65
called the full employment 271
called the good combination 45
called the good government 122
called the great compromise 595
called the great cryptogram 55
called the great escarpment 205
called the great proletarian 157
called the great renunciation 86
called the great sympathetic 110
called the great tribulation 622
called the hall coefficient 440
called the health department 403
called the hill coefficient 62
called the holy brotherhood 136
called the holy inquisition 357
called the holy scriptures 638
called the home department 90
called the home observation 41
called the ideal mechanical 87
called the iron chancellor 60
called the land acquisition 133
called the land hemisphere 79
called the leading coefficient 191
called the lift coefficient 80
called the load resistance 77
called the lord chancellor 143
called the lord lieutenant 67
called the mass attenuation 80
called the mere mechanical 48
called the more mechanical 43
called the more traditional 46
called the most attractive 78
called the most benevolent 79
called the most celebrated 74
called the most consummate 46
called the most delightful 45
called the most democratic 148
called the most distinctly 40
called the most formidable 85
called the most frequently 62
called the most illustrious 70
called the most impressive 83
called the most influential 670
called the most productive 51
called the most profitable 45
called the most remarkable 402
called the most scientific 47
called the most segregated 155
called the most successful 617
called the news conference 72
called the north vietnamese 79
called the ones complement 47
called the open university 53
called the pair correlation 58
called the pass transistor 44
called the past participle 447
called the peace conference 60
called the pope antichrist 301
called the pure conceptions 44
called the radio corporation 87
called the rising circumflex 92
called the ritz combination 45
called the rosy periwinkle 103
called the said transferee 133
called the same phenomenon 128
called the self inductance 49
called the single difference 137
called the single integrated 52
called the slip coefficient 44
called the sole instrument 107
called the south vietnamese 54
called the three musketeers 113
called the three principles 120
called the vast assemblage 52
called the vice presidency 44
called the word superiority 47
called to give assistance 80
called to give information 473
called to give instruction 115
called to make amendments 64
called to make sacrifices 136
called to mind shakespeare 63
called to pass resolutions 62
called to some particular 88
called to take cognizance 93
called to teach philosophy 45
called to their assistance 3947
called to their conference 63
called to their respective 151
called to these assemblies 104
called to these statements 51
called to yale university 67
called up from downstairs 145
called up from northampton 163
called us into fellowship 187
called us more immediately 42
called us unto uncleanness 1440
callus or cell suspensions 145
