cage type induction motor 157
call back tomorrow morning 98
call during business hours 672
call from somebody named 183
call here tomorrow morning 85
call into exercise every 42
call into immediate action 41
call into vigorous action 397
call their children after 160
call those entities which 46
call when problems arise 117
call your attention again 1382
call your attention first 460
call your attention today 47
call your chemical people 91
call your children yours 48
call your computer dealer 42
call your physician right 61
call your ramparts might 92
came along somewhat later 161
came asking questions about 74
came back absurdly comic 44
came back saturday morning 49
came back saturday night 63
came back sometime later 82
came back somewhat later 50
came back staggering under 105
came back upstairs after 77
came even remotely close 177
came from affluent homes 82
came from american farms 43
came from business firms 58
came from business people 48
came from christian homes 242
came from christian lands 45
came from colorado springs 69
came from concerns about 57
came from counties which 46
came from cultured homes 54
came from cultures where 159
came from cultures which 47
came from directly above 377
came from directly below 164
came from directly beneath 58
came from divorced homes 67
came from domestic savings 83
came from elements within 52
came from families below 57
came from families headed 107
came from families where 2321
came from families which 1457
came from families whose 918
came from fortress monroe 56
came from friendly hands 67
came from gertrude stein 53
came from goodness knows 119
came from hamilton after 53
came from increased taxes 53
came from indirect taxes 472
came from kerosene lamps 223
came from mainland china 407
came from marshall field 63
came from michigan state 53
came from minority ethnic 74
came from opposite sides 321
came from ordinary people 116
came from personal savings 106
came from property taxes 358
came from quarters where 58
came from quarters which 59
came from religious homes 135
came from retained earnings 162
came from scotland about 197
came from scotland where 79
came from somerset house 46
came from troubled homes 110
came from unbroken homes 120
came from unstable homes 59
came from villages where 166
came from villages which 40
came from villages within 111
came from washington state 80
came from washington where 41
came here directly after 41
came home directly after 51
came home saturday morning 40
came home saturday night 182
came into absolute power 59
came into american hands 223
came into american homes 56
came into american ports 57
came into american usage 53
came into christian hands 89
came into collision about 59
came into collision again 54
came into collision while 60
came into conflict about 55
came into conflict after 67
came into conflict again 148
came into conflict first 199
came into conflict within 49
came into constant touch 44
came into currency about 46
came into currency after 68
came into immediate touch 40
came into intimate touch 148
came into japanese hands 79
came into operation about 218
came into operation after 671
came into operation again 173
came into operation later 68
came into operation shall 71
came into operation since 62
came into operation under 255
came into operation until 52
came into operation which 321
came into operation within 60
came into operation would 65
came into personal touch 381
came into politics after 52
came into practice after 72
came into sharpest focus 278
came into treatment after 54
came more directly under 571
came more properly within 82
came most directly under 77
came most suddenly round 46
came over saturday night 44
came these shameful words 67
came these terrible giants 87
came these terrible words 72
came three beautiful white 84
came upon dinosaur bones 93
came upon evidence which 41
card into succeeding cards 45
care nothing whatever about 779
care unit patients after 46
care what everyone thinks 101
care what happened after 436
care what ordinary people 151
caring nothing whatever about 84
cars from connecting lines 81
