call eloquent those who 65
call mightily upon god 48
call miracles were but 46
call pilgrims were going 45
call somebody else and 54
call sometime when you 41
call yourself what you 707
call yourself when you 197
calm descends like dew 87
calm domestic peace had 54
calm enthusiasm over her 43
calm everyone down and 283
calm yourself down and 623
calm yourself when you 209
came alongside there was 82
came clattering down and 63
came clattering forth and 71
came clattering upon them 69
came directly back with 307
came directly from god 5313
came directly from her 536
came directly from him 434
came directly from his 1470
came directly from its 149
came directly from new 371
came directly from one 262
came directly from our 137
came directly from that 550
came directly from them 76
came directly from this 287
came directly from you 101
came directly here this 44
came directly into his 132
came directly into our 82
came directly over and 46
came directly over our 62
came directly upon our 151
came directly upon them 100
came entirely from god 42
came entirely from her 89
came entirely from his 259
came entirely from one 100
came entirely from our 40
came entirely into his 55
came equipped only with 42
came fiercely upon them 78
came finished from her 55
came fluttering down and 144
came forcibly upon him 46
came formally into being 447
came furiously upon them 57
came hoarsely from his 61
came hollowly from his 95
came lawfully into his 66
came mightily upon him 1446
came mightily upon them 106
came overland from new 163
came pilgrims from all 106
came probably from that 47
came remained gazing and 67
came sauntering along with 43
came scampering back with 41
came scholars from all 62
came secretly into his 76
came secretly upon him 85
came staggering along with 56
came staggering back with 92
came straight away and 49
came straight away for 73
came straight back and 158
came straight back out 98
came straight back with 117
came straight down and 172
came straight from god 892
came straight from her 893
came straight from him 92
came straight from his 1830
came straight from new 67
came straight from one 134
came straight from our 73
came straight from that 149
came straight from this 45
came straight from you 66
came straight here and 130
came straight home and 319
came straight home with 47
came straight into her 89
came straight into his 104
came straight into our 48
came straight over and 297
came straight upon him 55
came straight upon sir 76
came strangely from her 58
came strangely from his 62
came strangely from one 194
came struggling from his 43
came students from all 108
came suddenly among them 47
came suddenly down and 49
came suddenly down with 44
came suddenly fair for 48
came suddenly from his 144
came suddenly into being 143
came suddenly into her 509
came suddenly into his 921
came suddenly into our 68
came suddenly over her 65
came suddenly over him 132
came suddenly over his 79
came suddenly upon each 56
came suddenly upon her 684
came suddenly upon him 2096
came suddenly upon his 325
came suddenly upon one 945
came suddenly upon our 64
came suddenly upon that 87
came suddenly upon them 2290
came suddenly upon this 160
came suddenly upon two 703
came sullenly from two 81
came unawares upon him 56
