cab drivers and others 40
can abandon his alibi 73
can abolish one sound 55
can abolish that title 50
can account for about 2412
can account for anything 252
can account for cases 142
can account for change 263
can account for changing 57
can account for crime 43
can account for cross 133
can account for either 408
can account for every 1418
can account for facts 81
can account for human 303
can account for known 41
can account for large 346
can account for learning 187
can account for local 94
can account for major 134
can account for moral 83
can account for nearly 420
can account for people 83
can account for quite 75
can account for racial 53
can account for rapid 46
can account for short 61
can account for small 79
can account for social 202
can account for taste 64
can account for varying 68
can account for where 51
can account for women 78
can achieve all kinds 51
can achieve all sorts 74
can achieve and enjoy 73
can achieve and still 60
can achieve and where 43
can achieve and which 101
can achieve any given 72
can achieve any level 77
can achieve any point 177
can achieve both goals 143
can achieve her goals 64
can achieve his goals 298
can achieve its goals 1185
can achieve our goals 527
can achieve our vision 44
can achieve that level 111
can achieve that state 98
can achieve that which 156
can achieve things which 74
can achieve this change 61
can achieve this easily 76
can achieve this either 214
can achieve this feeling 81
can achieve this level 452
can achieve this power 43
can achieve this quite 45
can achieve this sense 43
can achieve this state 378
can achieve this unity 72
can achieve this vision 42
can achieve this within 53
can achieve two goals 111
can acquire and apply 105
can acquire and enjoy 50
can acquire and store 168
can acquire and track 127
can acquire any glory 42
can acquire any right 274
can acquire any title 70
can acquire any value 48
can acquire new genes 45
can acquire new meanings 117
can acquire new words 40
can acquire that skill 40
can acquire this habit 49
can acquire this power 133
can acquire this skill 137
can address and solve 70
can address any issue 46
can address that issue 107
can address this issue 1102
can adjourn this meeting 41
can advance any claim 55
can advance our thinking 40
can agitate and alarm 45
can analyze and judge 40
can analyze and solve 85
can analyze them later 49
can attract all kinds 45
can attract and please 42
can attract and repel 109
can attract any class 47
can attract one piece 44
can bargain for lower 55
can beautify and adorn 43
can because you never 77
can because you ought 87
can believe and trust 460
can believe and which 60
can believe any longer 178
can believe that about 56
can believe that after 108
can believe that anything 128
can believe that either 379
can believe that every 177
can believe that george 57
can believe that homer 66
can believe that human 93
can believe that jesus 477
can believe that negro 44
can believe that others 97
can believe that people 144
can believe that story 92
can believe that under 72
can believe that which 196
can believe that worse 248
can believe they breathe 44
can believe they would 60
can believe this story 98
can believe you equal 71
can benefit all people 75
can benefit both sides 215
can benefit one party 60
can between his hands 440
can between his knees 71
can between his palms 59
can between his thighs 48
can blossom and thrive 46
can broaden our vision 43
can capture and store 424
can certify that steady 44
can clarify and focus 41
can clarify our thinking 238
can clarify this issue 175
can clarify this point 541
can cluster and crawl 144
can collect all kinds 48
can collect all sorts 67
can collect and avail 180
can collect and cause 72
can collect and focus 127
can collect and remit 44
can collect and share 50
can collect and spend 54
can collect and store 682
can collect and study 50
can collect any debts 85
can collect any money 59
can collect his money 62
can collect its debts 43
can collect them later 46
can collide with atoms 42
can combine both types 120
can combine with about 144
can combine with acids 188
can combine with atoms 74
can combine with bases 93
can combine with either 839
can combine with metal 44
can combine with nouns 50
can combine with others 276
can combine with verbs 92
can combine with water 1011
can combine with which 78
can comfort and cheer 43
can command any price 87
can command that which 117
can command this power 86
can compare and judge 133
can compare for beauty 53
can compare them easily 89
can compare them later 49
can compare this model 50
can compare this period 43
can compare this value 229
can compare two strings 113
can compare with anything 48
can compare with china 42
can compare with either 224
can compare with glory 48
can compare with music 45
can compare with others 47
can compare with theirs 210
can compare with yours 178
can compass and fathom 58
can compete for binding 394
can compete for funds 67
can compete for light 86
can compete for power 101
can compete for space 42
can compete with anything 76
can compete with cable 41
can compete with china 128
can compete with david 40
can compete with either 125
can compete with every 41
can compete with human 53
can compete with italy 43
can compete with japan 203
can compete with large 250
can compete with local 95
can compete with older 46
can compete with others 323
can compete with people 49
can compete with state 50
can compete with steel 99
can compete with water 173
can compete with weeds 61
can compete with white 42
can compute and allow 63
can compute and store 49
can compute for every 41
can compute its value 101
can compute this value 81
can concede this point 131
can conduct our lives 52
can confess that jesus 50
can confide and trust 107
can confine our search 55
can confirm this finding 57
can confirm this point 52
can connect and share 48
can connect any input 58
can connect two nodes 49
can connect with others 456
can connect with people 304
can conquer any enemy 54
can conquer ten times 88
can conquer this world 56
can consist with moral 61
can console and soothe 51
can consult him about 62
can consult with others 72
can consult you about 41
can consume and enjoy 43
can consume and still 84
can contact them about 62
can contact them again 57
can contact them later 97
can contact you about 60
can contact you easily 55
can contact you later 64
can contain all kinds 215
can contain all sorts 179
can contain all types 81
can contain and still 130
can contain any ascii 50
can contain any legal 69
can contain any valid 403
can contain any value 150
can contain both files 128
can contain both types 87
can contain ten times 40
can contain two kinds 75
can contain two types 206
can control all types 40
can control and alter 103
can control and avoid 52
can control and change 949
can control and check 44
can control and create 45
can control and guide 296
can control and limit 201
can control and order 43
can control and others 100
can control and shape 406
can control and which 298
can control his breathing 85
can control his hands 82
can control his people 54
can control his power 45
can control his tongue 223
can control his world 48
can control how often 323
can control how others 50
can control its action 74
can control its costs 58
can control its growth 51
can control its speed 215
can control our breathing 147
can control our lives 447
can control our minds 106
can control our moods 50
can control our thinking 99
can control our words 54
can control that which 103
can control this setting 93
can convert this cooling 58
can convert this value 109
can correct any error 104
can correct his error 91
can correct its error 60
can correct one error 121
can correct that error 68
can correct them later 107
can correct this abuse 41
can correct this error 289
can correct this fault 98
can counsel and guide 45
can counter this trend 61
can declare and create 53
can decline and still 68
can delight and charm 44
can deliver him saved 48
can deliver his people 57
can deliver its rated 81
can deposit his money 77
can depress and raise 49
can deserve that title 74
can destroy all forms 41
can destroy all human 83
can destroy and create 69
can destroy and which 51
can destroy its seeming 52
can destroy its unity 41
can destroy its value 399
can destroy our hopes 41
can destroy our lives 91
can destroy our souls 61
can destroy our towns 77
can destroy our world 107
can destroy red blood 134
can destroy red cells 41
can destroy that right 337
can destroy that which 144
can destroy this noble 88
can destroy this world 48
can develop all kinds 141
can develop all sorts 78
can develop and adapt 96
can develop and apply 338
can develop and begin 49
can develop and build 120
can develop and carry 151
can develop and cause 339
can develop and change 762
can develop and create 69
can develop and enjoy 47
can develop and exist 55
can develop and hatch 107
can develop and offer 144
can develop and print 214
can develop and share 187
can develop and spread 160
can develop and thrive 186
can develop and train 54
can develop and where 60
can develop and which 87
can develop his skill 58
can develop its power 83
can develop new forms 111
can develop new limbs 45
can develop our sense 45
can develop that sense 61
can develop this point 93
can develop this power 89
can develop this sense 100
can develop this skill 313
can develop two types 46
can develop with either 84
can diagnose and solve 78
can dictate his terms 111
can dictate its terms 85
can dictate our terms 44
can dignify and adorn 46
can disable this option 147
can discard that which 73
can discern all about 52
can discern and judge 48
can discern her royal 52
can discern that which 55
can discern two basic 105
can discern two broad 119
can discern two kinds 100
can discern two major 125
can discern two types 78
can discuss and agree 145
can discuss and argue 69
can discuss and share 205
can discuss and solve 70
can discuss and write 43
can discuss any issue 47
can discuss any topic 138
can discuss his plans 43
can discuss our plans 74
can discuss that after 63
can discuss that later 1679
can discuss that point 44
can discuss them later 139
can discuss this after 74
can discuss this again 118
can discuss this issue 198
can discuss this later 1481
can discuss this point 89
can discuss this topic 80
can discuss with others 82
can display all kinds 43
can display all sorts 44
can display and change 115
can display and print 878
can display and store 53
can display his skill 55
can display its power 40
can display this dialog 214
can display web pages 210
can display with grace 69
can dispute any human 46
can dispute her right 42
can dispute his claim 77
can dispute his right 121
can dispute his title 60
can dispute our right 41
can dispute that henry 48
can disrupt our lives 72
can distort our sense 45
can distort our thinking 116
can distort our vision 53
can disturb our inner 41
can dribble and shoot 46
can educate and guide 70
can educate and train 246
can educate his taste 48
can educate our people 84
can educate them about 146
can educate you about 158
can elevate him above 106
can elevate our minds 49
can embrace all forms 41
can enforce any order 106
can enforce any point 62
can enforce his cause 142
can enforce his claim 227
can enforce his right 704
can enforce its claim 73
can enforce its right 49
can enforce its rules 83
can enforce its terms 42
can enforce that right 268
can enforce this right 168
can enforce with pains 51
can enhance its beauty 72
can enhance its image 63
can enhance its power 55
can enhance its value 158
can enhance our lives 236
can enhance our sense 138
can enlarge and cause 41
can enlarge and weaken 41
can enlarge its opening 96
can enlarge its scope 62
can enlarge our vision 74
can enslave any human 116
can entrust our lives 45
can examine and alter 53
can examine and change 241
can examine and cross 106
can examine and judge 225
can examine and study 118
can examine how people 66
can examine them later 61
can examine this issue 138
can exchange and share 168
can exchange for goods 57
can exchange for money 197
can exchange with others 52
can exclude all others 156
can execute and judge 213
can execute this macro 53
can execute this method 40
can execute this query 40
can exhibit both types 43
can exhibit two types 67
can explain all about 107
can explain all cases 170
can explain all forms 79
can explain all human 302
can explain all kinds 42
can explain all social 48
can explain all sorts 44
can explain all types 75
can explain and apply 44
can explain and guide 55
can explain and prove 49
can explain and which 99
can explain any given 65
can explain but which 52
can explain his action 56
can explain how human 69
can explain how people 204
can explain its power 56
can explain that easily 51
can explain that later 78
can explain that people 46
can explain that which 165
can explain that while 101
can explain this change 178
can explain this easily 49
can explain this finding 250
can explain this point 95
can explain this quite 51
can explain this shift 63
can explain this state 61
can explain this trend 71
can explain this whole 74
can explain why firms 107
can explain why human 69
can explain why large 49
can explain why people 747
can explain why women 176
can explain why yield 49
can explode and cause 114
can explore and create 63
can explore and enjoy 107
can explore and share 42
can explore his world 48
can explore how people 42
can explore this issue 126
can express all kinds 77
