cabs were soon engaged 105
cake into four pieces 59
cake into three layers 107
cake into three pieces 66
calf having been maimed 42
calf must have something 40
call back from someone 40
call back their troops 58
call came from across 67
call came from another 121
call came from behind 267
call came from beyond 87
call came from inside 125
call came from london 115
call came from someone 83
call came from without 41
call came just before 213
call date when prices 52
call down upon itself 102
call down upon myself 100
call even your graves 84
call forth even greater 55
call forth from memory 47
call forth great leaders 76
call forth great virtue 83
call forth into active 67
call forth into actual 77
call forth more effort 90
call forth some amount 78
call forth such feelings 66
call forth such number 696
call forth such powers 100
call forth tears enough 89
call forth tears without 320
call forth their energy 60
call forth their latent 89
call forth their mental 49
call forth their powers 116
call forth their united 108
call forth their utmost 128
call forth these feelings 351
call forth these powers 50
call forth those powers 74
call forth your actors 176
call forth your strength 42
call from jack warner 44
call from some exulting 121
call from some simple 235
call from south africa 368
call from their graves 229
call from their leaders 94
call from your broker 193
call from your brother 225
call from your client 152
call from your doctor 117
call from your friend 523
call from your lawyer 93
call from your office 668
call from your school 48
call from your sister 193
call from your teacher 47
call into play almost 45
call into play forces 135
call into play various 48
call just came through 107
call must pass through 85
call pitt into office 117
call some other doctor 48
call some other member 62
call some time before 40
call tame wild pigeons 44
call these bare events 160
call these free states 64
call these mere events 62
call these same grated 93
call these three groups 60
call these three stages 73
call those arts vulgar 438
call three days before 51
call upon lord camden 59
call upon miss bronte 52
call upon other nations 790
call upon other states 373
call upon some friend 103
call upon some member 128
call upon south africa 110
call upon such person 754
call upon their allies 144
call upon their brother 44
call upon their fellow 393
call upon their hearers 95
call upon their mothers 112
call upon their powers 58
call upon their readers 113
call upon their strength 128
call upon these forces 45
call upon when needed 148
call upon your brother 416
call upon your friend 269
call upon your hearers 74
call upon your memory 45
call upon your powers 58
call upon your sister 126
call upon your spirit 46
call upon your strength 55
call well their orders 89
call will come through 41
call will most likely 44
call your best friend 970
call your girl friend 42
call your lady friend 40
call your most serious 107
calm down soon enough 131
calm their angry feelings 51
calm when those around 133
calm your mind before 40
came along bent double 87
came along down further 92
came along from behind 44
came along just before 275
came along more slowly 106
came along soon enough 108
came along very slowly 116
came also from another 136
came also from england 116
came also from france 55
came also into angelic 40
came also many causes 41
came among these indians 90
came away from berlin 79
came away from boston 45
came away from church 48
came away from drinking 48
came away from england 242
came away from europe 41
came away from france 76
came away from geneva 54
came away from london 169
came away from meetings 89
came away from moscow 52
came away from school 52
came away from vienna 51
came away having learned 50
came away just before 47
came away much pleased 113
came away well pleased 203
came back down carrying 44
came back down stairs 85
came back down through 275
came back down toward 54
came back from abroad 1200
came back from across 177
came back from africa 911
came back from alaska 179
came back from albany 93
came back from algeria 93
came back from another 376
came back from around 61
came back from austria 152
came back from battle 146
came back from behind 328
came back from beirut 86
came back from berlin 1013
came back from beyond 186
came back from boarding 171
came back from bombay 90
came back from boston 421
came back from brazil 218
came back from canada 714
came back from cannes 57
came back from canton 43
came back from carrying 81
came back from ceylon 41
came back from chapel 46
came back from checking 159
came back from church 3085
came back from combat 63
came back from cyprus 45
came back from dallas 118
came back from delphi 48
came back from denver 95
came back from dinner 731
came back from dropping 54
came back from dublin 299
came back from england 3013
came back from europe 4571
came back from fetching 59
came back from fighting 460
came back from france 3372
came back from gathering 79
came back from geneva 434
came back from greece 263
came back from havana 70
came back from hawaii 215
came back from hungary 59
came back from inside 104
came back from kansas 89
came back from little 42
came back from london 6023
came back from madras 47
came back from madrid 240
came back from manila 199
came back from market 208
came back from meetings 49
came back from mexico 1767
came back from moscow 1708
came back from munich 628
came back from naples 110
came back from nigeria 91
came back from norway 128
came back from office 92
came back from ordering 40
came back from oregon 73
came back from ottawa 62
came back from oxford 447
came back from panama 77
came back from patrol 247
came back from phoenix 46
came back from poland 163
came back from prague 133
came back from prison 343
came back from pursuing 55
came back from quebec 56
came back from recess 74
came back from saigon 54
came back from school 9231
came back from scouting 49
came back from searching 60
came back from seattle 90
came back from shooting 188
came back from shopping 1088
came back from siberia 169
came back from sicily 205
came back from spending 104
came back from studying 136
came back from summer 175
came back from sunday 87
came back from supper 157
came back from sweden 125
came back from swimming 108
came back from sydney 104
came back from tangier 84
came back from tennis 51
came back from training 161
came back from turkey 100
came back from venice 150
came back from vienna 331
came back from visiting 825
came back from visits 67
came back from warsaw 113
